Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Aaron Ramsdale,eng ENG,GK,24-327,29.0,2,0.07,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gabriel Dos Santos,br BRA,DF,25-108,28.9,20,0.69,17,0,0,2,0,1,2,0.07,2,0,0,0,0,0,Matches
Bukayo Saka,eng ENG,FW,21-213,27.0,125,4.62,85,22,3,8,5,2,22,0.81,16,4,0,1,0,1,Matches
Martin Ødegaard,no NOR,MF,24-110,26.6,136,5.12,101,15,2,11,5,2,14,0.53,12,0,0,2,0,0,Matches
Granit Xhaka,ch SUI,MF,30-191,26.4,94,3.56,84,1,4,2,2,1,13,0.49,13,0,0,0,0,0,Matches
Martinelli,br BRA,FW,21-292,26.0,105,4.03,74,8,8,9,4,2,14,0.54,8,0,1,5,0,0,Matches
William Saliba,fr FRA,DF,22-013,26.8,14,0.52,11,2,1,0,0,0,2,0.07,2,0,0,0,0,0,Matches
Ben White,eng ENG,DF,25-180,24.9,56,2.24,48,7,0,0,1,0,11,0.44,10,1,0,0,0,0,Matches
Thomas Partey,gh GHA,MF,29-297,21.3,61,2.86,52,2,1,2,1,3,5,0.23,5,0,0,0,0,0,Matches
Oleksandr Zinchenko,ua UKR,DF,26-112,19.3,48,2.49,43,0,0,3,1,1,4,0.21,3,0,0,1,0,0,Matches
Gabriel Jesus,br BRA,FW,26-003,14.6,63,4.3,30,1,11,8,10,3,10,0.68,6,0,1,1,2,0,Matches
Eddie Nketiah,eng ENG,FW,23-311,11.1,28,2.52,13,0,6,6,3,0,3,0.27,2,0,0,0,1,0,Matches
Leandro Trossard,be BEL,FW,28-123,6.0,19,3.15,12,5,0,1,1,0,6,0.99,5,1,0,0,0,0,Matches
Takehiro Tomiyasu,jp JPN,DF,24-152,7.4,10,1.36,8,2,0,0,0,0,2,0.27,2,0,0,0,0,0,Matches
Kieran Tierney,sct SCO,DF,25-305,5.9,11,1.86,9,0,1,1,0,0,3,0.51,3,0,0,0,0,0,Matches
Jorginho,it ITA,MF,31-107,4.3,8,1.87,7,0,0,0,0,1,1,0.23,1,0,0,0,0,0,Matches
Fabio Vieira,pt POR,"MF,FW",22-311,4.6,17,3.69,12,1,2,2,0,0,3,0.65,3,0,0,0,0,0,Matches
Rob Holding,eng ENG,DF,27-198,2.2,3,1.35,1,0,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Albert Sambi Lokonga,be BEL,MF,23-166,2.2,4,1.82,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Mohamed Elneny,eg EGY,MF,30-269,1.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Emile Smith Rowe,eng ENG,"FW,MF",22-252,1.4,8,5.85,5,1,0,2,0,0,1,0.73,1,0,0,0,0,0,Matches
Reiss Nelson,eng ENG,FW,23-117,1.2,11,9.34,7,0,2,1,1,0,3,2.55,2,0,0,1,0,0,Matches
Cédric Soares,pt POR,DF,31-218,0.3,1,3.1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jakub Kiwior,pl POL,DF,23-050,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Marquinhos,br BRA,MF,19-364,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ethan Nwaneri,eng ENG,FW,16-016,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,25.2,29.0,844,29.1,625,67,42,59,35,16,119,4.1,96,6,2,11,3,1,
Opponent Total,,,27.4,29.0,394,13.59,282,44,18,22,21,7,45,1.55,35,4,1,1,3,1,
