Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Aaron Ramsdale,eng ENG,GK,24-327,29.0,561,814,68.9,14180,9667,140,146,95.9,274,280,97.9,147,384,38.3,0,0.0,0.0,0.0,0,21,2,0,7,Matches
Gabriel Dos Santos,br BRA,DF,25-108,28.9,1670,1866,89.5,29809,10566,669,709,94.4,867,921,94.1,113,190,59.5,0,0.2,0.5,-0.2,3,135,2,0,128,Matches
Bukayo Saka,eng ENG,FW,21-213,27.0,831,1119,74.3,12062,2849,514,591,87.0,227,294,77.2,56,120,46.7,10,6.6,4.6,3.4,61,40,50,11,82,Matches
Martin Ødegaard,no NOR,MF,24-110,26.6,1111,1383,80.3,17314,4980,579,658,88.0,393,474,82.9,89,140,63.6,7,6.9,6.6,0.1,64,101,77,4,210,Matches
Granit Xhaka,ch SUI,MF,30-191,26.4,1159,1372,84.5,18980,4921,562,631,89.1,465,538,86.4,96,118,81.4,5,4.4,3.6,0.6,40,124,36,3,171,Matches
Martinelli,br BRA,FW,21-292,26.0,722,961,75.1,11221,2243,386,454,85.0,251,304,82.6,57,112,50.9,3,6.4,5.5,-3.4,45,30,34,5,84,Matches
William Saliba,fr FRA,DF,22-013,26.8,1698,1865,91.0,29692,11617,715,767,93.2,844,905,93.3,108,144,75.0,1,1.2,0.3,-0.2,6,111,3,0,99,Matches
Ben White,eng ENG,DF,25-180,24.9,1426,1710,83.4,23852,8006,671,738,90.9,640,733,87.3,88,167,52.7,3,2.1,2.8,0.9,21,174,33,10,196,Matches
Thomas Partey,gh GHA,MF,29-297,21.3,1359,1567,86.7,23808,7297,620,683,90.8,562,631,89.1,146,198,73.7,0,1.3,1.9,-1.3,22,184,19,2,176,Matches
Oleksandr Zinchenko,ua UKR,DF,26-112,19.3,1381,1598,86.4,22342,6391,696,752,92.6,564,647,87.2,86,120,71.7,2,1.4,2.2,0.6,18,159,35,4,192,Matches
Gabriel Jesus,br BRA,FW,26-003,14.6,367,452,81.2,5380,1171,200,234,85.5,128,144,88.9,18,29,62.1,5,2.9,1.8,2.1,23,24,13,1,40,Matches
Eddie Nketiah,eng ENG,FW,23-311,11.1,192,237,81.0,2689,337,123,142,86.6,55,64,85.9,7,9,77.8,1,1.1,1.3,-0.1,7,7,6,0,15,Matches
Leandro Trossard,be BEL,FW,28-123,6.0,202,267,75.7,3382,794,100,113,88.5,71,90,78.9,23,37,62.2,7,3.6,2.3,3.4,14,11,18,3,31,Matches
Takehiro Tomiyasu,jp JPN,DF,24-152,7.4,384,474,81.0,6453,2036,173,200,86.5,171,199,85.9,30,56,53.6,1,0.6,0.2,0.4,4,41,6,2,51,Matches
Kieran Tierney,sct SCO,DF,25-305,5.9,266,355,74.9,4911,1505,110,127,86.6,128,156,82.1,24,49,49.0,1,0.3,0.4,0.7,4,28,6,1,29,Matches
Jorginho,it ITA,MF,31-107,4.3,292,346,84.4,4972,1479,126,144,87.5,125,142,88.0,29,38,76.3,0,0.1,0.4,-0.1,3,38,7,0,53,Matches
Fabio Vieira,pt POR,"MF,FW",22-311,4.6,191,233,82.0,2842,654,109,118,92.4,64,76,84.2,8,20,40.0,2,2.3,1.1,-0.3,9,19,6,1,27,Matches
Rob Holding,eng ENG,DF,27-198,2.2,128,146,87.7,2536,953,52,57,91.2,55,59,93.2,18,24,75.0,0,0.0,0.0,0.0,0,6,0,0,10,Matches
Albert Sambi Lokonga,be BEL,MF,23-166,2.2,132,140,94.3,2321,539,59,62,95.2,60,63,95.2,11,12,91.7,0,0.0,0.1,0.0,1,17,1,0,12,Matches
Mohamed Elneny,eg EGY,MF,30-269,1.3,57,60,95.0,1031,224,23,23,100.0,27,29,93.1,6,6,100.0,0,0.0,0.0,0.0,0,3,2,0,2,Matches
Emile Smith Rowe,eng ENG,"FW,MF",22-252,1.4,58,67,86.6,796,179,34,37,91.9,21,24,87.5,2,3,66.7,1,0.6,0.5,0.4,5,2,3,0,4,Matches
Reiss Nelson,eng ENG,FW,23-117,1.2,57,66,86.4,727,117,36,39,92.3,15,17,88.2,2,4,50.0,2,0.5,0.4,1.5,6,1,4,2,2,Matches
Cédric Soares,pt POR,DF,31-218,0.3,19,24,79.2,257,54,10,10,100.0,8,10,80.0,0,3,0.0,0,0.0,0.0,0.0,0,0,0,0,3,Matches
Jakub Kiwior,pl POL,DF,23-050,0.1,6,6,100.0,100,47,3,3,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Marquinhos,br BRA,MF,19-364,0.0,2,3,66.7,34,5,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Ethan Nwaneri,eng ENG,FW,16-016,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,25.2,29.0,14271,17131,83.3,241691,78631,6711,7440,90.2,6019,6804,88.5,1164,1983,58.7,51,42.3,36.3,8.7,356,1276,363,49,1624,
Opponent Total,,,27.4,29.0,8498,11334,75.0,150673,57376,3929,4560,86.2,3440,4143,83.0,886,1926,46.0,16,20.5,17.6,-4.5,180,588,146,35,680,
