Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Gabriel Dos Santos,br BRA,DF,25-090,27,2430.0,90.0,100.0,27.0,27,90.0,27,0,,0,2.44,62.0,25.0,37.0,1.37,,52.2,26.3,26.0,0.96,,Matches
Aaron Ramsdale,eng ENG,GK,24-309,27,2430.0,90.0,100.0,27.0,27,90.0,27,0,,0,2.44,62.0,25.0,37.0,1.37,,52.2,26.3,26.0,0.96,,Matches
William Saliba,fr FRA,DF,21-360,27,2415.0,89.0,99.4,26.8,27,89.0,26,0,,0,2.44,61.0,25.0,36.0,1.34,-4.66,51.9,26.2,25.7,0.96,-0.73,Matches
Bukayo Saka,eng ENG,FW,21-195,27,2313.0,86.0,95.2,25.7,27,86.0,17,0,,0,2.44,58.0,25.0,33.0,1.28,-1.79,49.3,24.9,24.4,0.95,-0.23,Matches
Martin Ødegaard,no NOR,MF,24-092,26,2216.0,85.0,91.2,24.6,26,85.0,10,0,,0,2.42,58.0,24.0,34.0,1.38,0.12,48.8,24.8,24.0,0.98,0.16,Matches
Granit Xhaka,ch SUI,MF,30-173,27,2204.0,82.0,90.7,24.5,26,85.0,19,1,7.0,0,2.44,54.0,23.0,31.0,1.27,-1.12,45.0,23.6,21.4,0.87,-0.94,Matches
Martinelli,br BRA,FW,21-274,27,2170.0,80.0,89.3,24.1,26,83.0,14,1,23.0,0,2.44,57.0,20.0,37.0,1.53,1.53,46.9,23.6,23.3,0.97,0.06,Matches
Ben White,eng ENG,DF,25-162,27,2073.0,77.0,85.3,23.0,25,81.0,11,2,27.0,0,2.44,54.0,17.0,37.0,1.61,1.61,43.8,21.3,22.5,0.98,0.1,Matches
Thomas Partey,gh GHA,MF,29-279,22,1771.0,81.0,72.9,19.7,20,86.0,15,2,26.0,0,2.59,49.0,13.0,36.0,1.83,1.69,39.2,19.7,19.5,0.99,0.12,Matches
Oleksandr Zinchenko,ua UKR,DF,26-094,20,1590.0,80.0,65.4,17.7,19,83.0,7,1,18.0,0,2.35,39.0,16.0,23.0,1.3,-0.2,34.3,17.4,16.9,0.96,-0.02,Matches
Gabriel Jesus,br BRA,FW,25-350,15,1233.0,82.0,50.7,13.7,14,87.0,7,1,14.0,0,2.67,32.0,11.0,21.0,1.53,0.33,25.8,11.5,14.3,1.04,0.17,Matches
Eddie Nketiah,eng ENG,FW,23-293,23,1001.0,44.0,41.2,11.1,9,90.0,8,14,14.0,2,2.35,23.0,13.0,10.0,0.9,-0.8,22.9,12.7,10.2,0.92,-0.08,Matches
Takehiro Tomiyasu,jp JPN,DF,24-134,21,663.0,32.0,27.3,7.4,6,77.0,3,15,14.0,2,2.38,17.0,11.0,6.0,0.81,-0.76,14.4,9.0,5.3,0.72,-0.33,Matches
Leandro Trossard,be BEL,FW,28-105,9,389.0,43.0,16.0,4.3,5,61.0,0,4,21.0,0,2.11,11.0,6.0,5.0,1.16,-0.25,8.4,4.4,3.9,0.91,-0.06,Matches
Kieran Tierney,sct SCO,DF,25-287,18,499.0,28.0,20.5,5.5,4,78.0,2,14,13.0,9,2.89,12.0,5.0,7.0,1.26,-0.14,10.3,4.8,5.5,0.99,0.04,Matches
Jorginho,it ITA,MF,31-089,5,347.0,69.0,14.3,3.9,4,79.0,3,1,32.0,3,1.8,8.0,6.0,2.0,0.52,-0.99,6.3,3.3,3.0,0.79,-0.2,Matches
Fabio Vieira,pt POR,"MF,FW",22-293,17,410.0,24.0,16.9,4.6,2,86.0,0,15,16.0,8,2.24,11.0,3.0,8.0,1.76,0.46,9.9,3.9,6.0,1.31,0.41,Matches
Albert Sambi Lokonga,be BEL,MF,23-148,6,198.0,33.0,8.1,2.2,2,82.0,1,4,9.0,12,2.5,3.0,3.0,0.0,0.0,-1.49,4.0,1.7,2.2,1.01,0.05,Matches
Mohamed Elneny,eg EGY,MF,30-251,5,113.0,23.0,4.7,1.3,1,90.0,1,4,6.0,4,3.0,2.0,2.0,0.0,0.0,-1.44,2.6,1.3,1.4,1.09,0.14,Matches
Emile Smith Rowe,eng ENG,"FW,MF",22-234,7,108.0,15.0,4.4,1.2,0,,0,7,15.0,5,2.57,1.0,2.0,-1.0,-0.83,-2.31,1.8,1.2,0.6,0.47,-0.51,Matches
