Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Ezri Konsa,eng ENG,DF,25-147,25.9,0,7,0,0.0,0.27,0.0,0.0,,8.5,0,0,0,0.8,0.8,0.12,-0.8,-0.8,Matches
Emiliano Martínez,ar ARG,GK,30-198,24.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ollie Watkins,eng ENG,FW,27-079,23.8,9,57,31,54.4,2.39,1.3,0.14,0.26,12.2,0,1,1,10.3,9.5,0.17,-1.3,-1.5,Matches
Tyrone Mings,eng ENG,DF,30-006,24.0,0,3,1,33.3,0.12,0.04,0.0,0.0,10.2,0,0,0,0.5,0.5,0.15,-0.5,-0.5,Matches
Douglas Luiz,br BRA,MF,24-314,21.7,3,23,8,34.8,1.06,0.37,0.13,0.38,25.0,3,0,0,1.8,1.8,0.08,1.2,1.2,Matches
Leon Bailey,jm JAM,"FW,MF",25-222,17.9,4,43,13,30.2,2.41,0.73,0.09,0.31,17.6,2,0,0,4.8,4.8,0.11,-0.8,-0.8,Matches
Jacob Ramsey,eng ENG,"MF,FW",21-295,18.6,3,16,8,50.0,0.86,0.43,0.19,0.38,18.1,0,0,0,2.0,2.0,0.12,1.0,1.0,Matches
John McGinn,sct SCO,MF,28-152,18.9,0,27,7,25.9,1.43,0.37,0.0,0.0,23.0,0,0,0,1.7,1.7,0.06,-1.7,-1.7,Matches
Matty Cash,pl POL,DF,25-224,18.2,0,7,1,14.3,0.38,0.05,0.0,0.0,26.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Emi Buendía,ar ARG,"MF,FW",26-084,18.1,5,34,8,23.5,1.87,0.44,0.15,0.63,16.3,1,0,0,4.7,4.7,0.14,0.3,0.3,Matches
Boubacar Kamara,fr FRA,MF,23-116,16.9,0,4,1,25.0,0.24,0.06,0.0,0.0,29.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Lucas Digne,fr FRA,DF,29-242,14.3,1,7,3,42.9,0.49,0.21,0.14,0.33,20.3,3,0,0,0.3,0.3,0.05,0.7,0.7,Matches
Ashley Young,eng ENG,DF,37-253,14.2,1,8,2,25.0,0.56,0.14,0.13,0.5,27.2,0,0,0,0.2,0.2,0.03,0.8,0.8,Matches
Danny Ings,eng ENG,FW,30-239,9.2,6,25,12,48.0,2.73,1.31,0.16,0.33,15.5,0,2,2,5.3,3.8,0.15,0.7,0.2,Matches
Philippe Coutinho,br BRA,"MF,FW",30-280,8.8,1,21,8,38.1,2.4,0.91,0.05,0.13,21.6,2,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches
Álex Moreno,es ESP,DF,29-284,6.4,0,7,2,28.6,1.09,0.31,0.0,0.0,19.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Leander Dendoncker,be BEL,MF,27-338,4.1,0,1,0,0.0,0.25,0.0,0.0,,23.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Calum Chambers,eng ENG,"DF,MF",28-058,2.6,0,1,0,0.0,0.38,0.0,0.0,,29.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Robin Olsen,se SWE,GK,33-070,2.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Diego Carlos,br BRA,DF,30-004,2.0,0,4,0,0.0,2.01,0.0,0.0,,15.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
Jan Bednarek,pl POL,DF,26-341,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ludwig Augustinsson,se SWE,DF,28-332,0.9,0,2,1,50.0,2.34,1.17,0.0,0.0,12.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Jhon Durán,co COL,FW,19-096,0.8,0,7,2,28.6,8.87,2.54,0.0,0.0,19.8,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
Bertrand Traoré,bf BFA,FW,27-194,0.6,0,3,0,0.0,5.09,0.0,0.0,,16.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Cameron Archer,eng ENG,"FW,MF",21-241,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Morgan Sanson,fr FRA,MF,28-213,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.6,27.0,33,307,108,35.2,11.37,4.0,0.1,0.28,18.1,11,3,3,35.2,32.9,0.11,-2.2,-2.9,
Opponent Total,,,27.1,27.0,35,315,107,34.0,11.67,3.96,0.1,0.29,16.1,12,4,5,40.9,37.0,0.12,-5.9,-6.0,
