Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Jefferson Lerma,co COL,"MF,DF",28-145,26,26,2278.0,25.3,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,1.6,1.6,0.6,2.2,13.0,86.0,21.0,0.12,0.0,0.12,0.12,0.12,0.06,0.02,0.09,0.06,0.09,Matches
Adam Smith,eng ENG,DF,31-324,26,26,2200.0,24.4,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.5,0.5,0.7,1.2,18.0,69.0,21.0,0.0,0.04,0.04,0.0,0.04,0.02,0.03,0.05,0.02,0.05,Matches
Philip Billing,dk DEN,"MF,FW",26-281,26,24,1951.0,21.7,6.0,1.0,7.0,6.0,0.0,0.0,5.0,0.0,2.8,2.8,2.1,4.9,27.0,54.0,65.0,0.28,0.05,0.32,0.28,0.32,0.13,0.1,0.23,0.13,0.23,Matches
Marcos Senesi,ar ARG,DF,25-313,23,22,1878.0,20.9,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.2,1.2,0.4,1.6,5.0,37.0,2.0,0.1,0.0,0.1,0.1,0.1,0.06,0.02,0.08,0.06,0.08,Matches
Dominic Solanke,eng ENG,"FW,MF",25-186,22,21,1878.0,20.9,3.0,4.0,7.0,3.0,0.0,0.0,1.0,0.0,4.4,4.4,2.5,6.9,36.0,28.0,103.0,0.14,0.19,0.34,0.14,0.34,0.21,0.12,0.33,0.21,0.33,Matches
Chris Mepham,wls WAL,DF,25-134,21,19,1749.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.3,0.3,0.2,0.5,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Lewis Cook,eng ENG,MF,26-044,21,17,1516.0,16.8,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,2.2,2.4,9.0,55.0,8.0,0.0,0.12,0.12,0.0,0.12,0.01,0.13,0.14,0.01,0.14,Matches
Neto,br BRA,GK,33-243,17,17,1485.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jordan Zemura,zw ZIM,DF,23-125,19,17,1454.0,16.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,1.9,2.2,39.0,45.0,48.0,0.0,0.06,0.06,0.0,0.06,0.02,0.11,0.14,0.02,0.14,Matches
Marcus Tavernier,eng ENG,"MF,FW",23-362,17,16,1367.0,15.2,3.0,4.0,7.0,3.0,0.0,0.0,1.0,0.0,2.5,2.5,2.2,4.6,50.0,36.0,100.0,0.2,0.26,0.46,0.2,0.46,0.16,0.14,0.3,0.16,0.3,Matches
