Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Jefferson Lerma,co COL,"MF,DF",28-144,24.3,851,1048,81.2,13288,4767,424,484,87.6,348,396,87.9,47,102,46.1,0,0.6,1.2,-0.6,9,75,13,1,81,Matches
Adam Smith,eng ENG,DF,31-323,23.6,698,921,75.8,11946,5387,338,383,88.3,284,360,78.9,65,143,45.5,1,0.6,0.9,0.4,7,57,18,11,67,Matches
Philip Billing,dk DEN,"MF,FW",26-280,20.7,491,648,75.8,7238,1883,272,326,83.4,154,192,80.2,32,62,51.6,1,2.1,1.5,-1.1,15,30,5,2,49,Matches
Marcos Senesi,ar ARG,DF,25-312,19.9,689,880,78.3,13772,6232,226,258,87.6,367,422,87.0,85,165,51.5,0,0.2,0.2,-0.2,3,51,2,1,36,Matches
Dominic Solanke,eng ENG,"FW,MF",25-185,19.9,210,308,68.2,2761,648,133,174,76.4,56,73,76.7,10,14,71.4,4,2.4,1.4,1.6,11,14,6,0,27,Matches
Chris Mepham,wls WAL,DF,25-133,19.4,628,766,82.0,11889,4462,211,238,88.7,357,397,89.9,56,111,50.5,0,0.2,0.5,-0.2,3,30,2,0,31,Matches
Lewis Cook,eng ENG,MF,26-043,16.8,515,655,78.6,8664,2697,246,280,87.9,208,242,86.0,46,83,55.4,2,2.2,2.0,-0.2,21,50,11,8,55,Matches
Jordan Zemura,zw ZIM,DF,23-124,16.2,423,594,71.2,6117,3247,242,284,85.2,133,187,71.1,23,55,41.8,1,1.9,2.1,-0.9,18,32,12,5,45,Matches
Neto,br BRA,GK,33-242,15.5,285,472,60.4,9388,7884,58,60,96.7,88,91,96.7,137,318,43.1,0,0.0,0.0,0.0,0,9,1,0,0,Matches
Marcus Tavernier,eng ENG,"MF,FW",23-361,15.2,359,525,68.4,5780,1528,199,242,82.2,111,156,71.2,34,84,40.5,4,2.2,1.0,1.8,15,22,8,3,36,Matches
Kieffer Moore,wls WAL,FW,30-222,12.4,186,317,58.7,2565,459,103,165,62.4,54,84,64.3,10,18,55.6,0,0.3,0.4,-0.3,4,16,5,0,20,Matches
Ryan Christie,sct SCO,"MF,FW",28-024,11.8,293,365,80.3,4603,1102,156,186,83.9,102,112,91.1,22,40,55.0,0,1.0,1.1,-1.0,14,29,12,1,47,Matches
Lloyd Kelly,eng ENG,DF,24-163,11.0,414,526,78.7,8158,3539,126,143,88.1,225,249,90.4,52,111,46.8,2,0.1,0.4,1.9,3,29,3,2,15,Matches
Mark Travers,ie IRL,GK,23-304,10.5,244,324,75.3,7221,5230,83,83,100.0,82,83,98.8,78,157,49.7,0,0.0,0.0,0.0,0,4,0,0,0,Matches
Jaidon Anthony,eng ENG,"MF,FW",23-107,10.5,286,393,72.8,4174,1198,168,194,86.6,79,111,71.2,21,40,52.5,0,0.6,0.8,-0.6,10,17,14,5,41,Matches
Jack Stephens,eng ENG,DF,29-050,7.0,153,197,77.7,3136,1197,46,53,86.8,83,100,83.0,22,36,61.1,0,0.2,0.1,-0.2,3,8,1,1,11,Matches
Dango Ouattara,bf BFA,MF,21-035,6.4,91,147,61.9,1470,555,50,71,70.4,28,43,65.1,9,18,50.0,3,1.4,0.5,1.6,6,11,7,5,6,Matches
Ryan Fredericks,eng ENG,DF,30-159,5.9,149,220,67.7,2139,735,85,96,88.5,55,88,62.5,4,15,26.7,0,0.1,0.3,-0.1,1,5,6,1,15,Matches
Hamed Junior Traorè,ci CIV,"FW,MF",23-030,3.4,76,125,60.8,1334,558,33,45,73.3,30,47,63.8,8,21,38.1,0,0.8,0.8,-0.8,10,7,8,3,16,Matches
Joe Rothwell,eng ENG,MF,28-066,4.4,114,136,83.8,1849,565,57,61,93.4,41,46,89.1,10,19,52.6,1,0.4,0.8,0.6,5,9,5,0,12,Matches
Jack Stacey,eng ENG,DF,26-346,3.3,72,126,57.1,1054,369,41,52,78.8,26,47,55.3,3,12,25.0,0,0.0,0.0,0.0,0,6,1,1,2,Matches
Ben Pearson,eng ENG,MF,28-073,3.2,108,134,80.6,1814,501,50,58,86.2,45,55,81.8,8,15,53.3,0,0.0,0.0,0.0,0,8,0,0,5,Matches
