Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Jefferson Lerma,co COL,"MF,DF",28-145,25.3,3,21,4,19.0,0.83,0.16,0.14,0.75,15.8,0,0,0,1.6,1.6,0.08,1.4,1.4,Matches
Adam Smith,eng ENG,DF,31-324,24.4,0,4,1,25.0,0.16,0.04,0.0,0.0,14.0,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Matches
Philip Billing,dk DEN,"MF,FW",26-281,21.7,6,25,14,56.0,1.15,0.65,0.24,0.43,18.8,4,0,0,2.8,2.8,0.11,3.2,3.2,Matches
Marcos Senesi,ar ARG,DF,25-313,20.9,2,5,2,40.0,0.24,0.1,0.4,1.0,7.0,0,0,0,1.2,1.2,0.24,0.8,0.8,Matches
Dominic Solanke,eng ENG,"FW,MF",25-186,20.9,3,47,18,38.3,2.25,0.86,0.06,0.17,13.6,0,0,0,4.4,4.4,0.1,-1.4,-1.4,Matches
Chris Mepham,wls WAL,DF,25-134,19.4,0,6,2,33.3,0.31,0.1,0.0,0.0,11.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Lewis Cook,eng ENG,MF,26-044,16.8,0,5,0,0.0,0.3,0.0,0.0,,28.0,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Neto,br BRA,GK,33-243,16.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jordan Zemura,zw ZIM,DF,23-125,16.2,0,4,0,0.0,0.25,0.0,0.0,,12.9,0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches
Marcus Tavernier,eng ENG,"MF,FW",23-362,15.2,3,27,10,37.0,1.78,0.66,0.11,0.3,16.9,2,0,0,2.5,2.5,0.09,0.5,0.5,Matches
Kieffer Moore,wls WAL,FW,30-223,12.4,4,17,6,35.3,1.37,0.48,0.24,0.67,11.0,0,0,0,3.2,3.2,0.19,0.8,0.8,Matches
Lloyd Kelly,eng ENG,DF,24-164,12.0,0,2,0,0.0,0.17,0.0,0.0,,8.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Ryan Christie,sct SCO,"MF,FW",28-025,11.8,1,18,6,33.3,1.52,0.51,0.06,0.17,14.1,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Matches
Mark Travers,ie IRL,GK,23-305,10.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jaidon Anthony,eng ENG,"MF,FW",23-108,11.2,3,19,10,52.6,1.7,0.9,0.16,0.3,19.3,2,0,0,2.0,2.0,0.11,1.0,1.0,Matches
Jack Stephens,eng ENG,DF,29-051,8.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Dango Ouattara,bf BFA,MF,21-036,7.4,0,15,4,26.7,2.03,0.54,0.0,0.0,11.7,0,0,0,2.4,2.4,0.16,-2.4,-2.4,Matches
Ryan Fredericks,eng ENG,DF,30-160,5.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Joe Rothwell,eng ENG,MF,28-067,5.0,0,1,1,100.0,0.2,0.2,0.0,0.0,29.6,1,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Hamed Junior Traorè,ci CIV,"MF,FW",23-031,3.7,0,3,0,0.0,0.8,0.0,0.0,,22.8,1,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Jack Stacey,eng ENG,DF,26-347,3.3,0,1,0,0.0,0.3,0.0,0.0,,16.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Ben Pearson,eng ENG,MF,28-074,3.2,0,2,1,50.0,0.63,0.31,0.0,0.0,25.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Antoine Semenyo,gh GHA,"FW,MF",23-071,2.6,0,2,0,0.0,0.77,0.0,0.0,,18.1,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
Siriki Dembélé,ci CIV,"FW,MF",26-193,1.2,0,2,2,100.0,1.64,1.64,0.0,0.0,16.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
Junior Stanislas,eng ENG,MF,33-113,0.7,0,1,0,0.0,1.48,0.0,0.0,,24.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Matías Viña,uy URU,"MF,DF",25-130,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
David Brooks,wls WAL,DF,25-254,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jamal Lowe,jm JAM,"MF,FW",28-241,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Owen Bevan,wls WAL,DF,19-144,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Emiliano Marcondes,dk DEN,MF,28-010,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.0,27.0,25,227,81,35.7,8.41,3.0,0.11,0.31,15.5,11,0,0,23.4,23.4,0.11,1.6,1.6,
Opponent Total,,,27.2,27.0,51,450,139,30.9,16.67,5.15,0.1,0.32,17.0,12,6,7,47.6,42.2,0.1,3.4,2.8,
