Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
David Raya,es ESP,GK,27-185,27.0,9,0.33,6,3,0,0,0,0,1,0.04,0,1,0,0,0,0,Matches
Bryan Mbeumo,cm CMR,FW,23-224,23.2,68,2.92,44,20,3,0,1,0,9,0.39,8,1,0,0,0,0,Matches
Mathias Jensen,dk DEN,MF,27-077,23.0,75,3.27,35,33,1,3,2,1,9,0.39,5,2,0,1,0,1,Matches
Rico Henry,eng ENG,DF,25-254,25.7,30,1.17,27,0,0,1,1,1,3,0.12,3,0,0,0,0,0,Matches
Ben Mee,eng ENG,DF,33-179,25.4,20,0.79,14,0,1,4,1,0,0,0.0,0,0,0,0,0,0,Matches
Ivan Toney,eng ENG,FW,27-003,24.9,49,1.97,28,2,3,4,12,0,7,0.28,3,0,1,0,3,0,Matches
Ethan Pinnock,jm JAM,DF,29-294,19.0,13,0.68,9,2,0,2,0,0,4,0.21,4,0,0,0,0,0,Matches
Vitaly Janelt,de GER,"MF,DF",24-313,17.6,36,2.05,30,1,2,2,0,1,3,0.17,3,0,0,0,0,0,Matches
Christian Nørgaard,dk DEN,MF,29-009,15.4,29,1.88,21,1,1,4,2,0,7,0.45,3,0,0,3,1,0,Matches
Aaron Hickey,sct SCO,DF,20-282,12.8,11,0.86,7,1,0,2,1,0,1,0.08,0,0,0,1,0,0,Matches
Yoane Wissa,cd COD,FW,26-197,13.1,26,1.99,20,0,1,1,3,1,5,0.38,3,0,0,0,1,1,Matches
Josh Dasilva,eng ENG,MF,24-147,12.5,36,2.89,31,1,2,1,1,0,5,0.4,4,0,0,0,1,0,Matches
Mads Roerslev,dk DEN,DF,23-268,10.4,12,1.16,12,0,0,0,0,0,1,0.1,1,0,0,0,0,0,Matches
Kristoffer Ajer,no NOR,DF,24-336,8.5,4,0.47,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mathias Jørgensen,dk DEN,DF,32-330,8.3,3,0.36,2,1,0,0,0,0,1,0.12,0,1,0,0,0,0,Matches
Pontus Jansson,se SWE,DF,32-034,5.9,1,0.17,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",22-259,5.8,17,2.93,13,3,0,0,1,0,1,0.17,1,0,0,0,0,0,Matches
Frank Onyeka,ng NGA,MF,25-077,5.6,15,2.67,10,0,0,1,4,0,5,0.89,4,0,0,0,1,0,Matches
Shandon Baptiste,gd GRN,MF,24-345,5.0,11,2.19,8,0,1,0,2,0,2,0.4,1,0,0,0,1,0,Matches
Keane Lewis-Potter,eng ENG,"FW,MF",22-025,3.6,8,2.24,2,0,2,4,0,0,2,0.56,0,0,0,2,0,0,Matches
Kevin Schade,de GER,"FW,MF",21-112,2.1,8,3.75,6,0,2,0,0,0,3,1.41,2,0,1,0,0,0,Matches
Saman Ghoddos,ir IRN,"MF,FW",29-194,1.0,3,2.87,0,2,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Sergi Canós,es ESP,"FW,DF",26-045,0.9,3,3.51,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Mads Bech Sørensen,dk DEN,"DF,MF",24-071,0.2,1,4.29,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Halil Dervişoğlu,tr TUR,MF,23-101,0.1,1,11.25,0,0,0,1,0,0,1,11.25,0,0,0,1,0,0,Matches
Squad Total,,,26.8,27.0,489,18.11,332,70,19,32,32,4,70,2.59,45,5,2,8,8,2,
Opponent Total,,,27.2,27.0,705,26.11,542,49,35,49,20,10,56,2.07,39,6,3,6,1,1,
