Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
David Raya,es ESP,GK,27-184,26,26,2340.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.3,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Bryan Mbeumo,cm CMR,FW,23-223,26,26,2003.0,22.3,5.0,3.0,8.0,4.0,1.0,1.0,4.0,0.0,6.6,5.8,4.0,9.8,39.0,61.0,160.0,0.22,0.13,0.36,0.18,0.31,0.29,0.18,0.48,0.26,0.44,Matches
Mathias Jensen,dk DEN,MF,27-076,26,26,1993.0,22.1,4.0,4.0,8.0,4.0,0.0,0.0,3.0,0.0,1.6,1.6,2.6,4.2,19.0,98.0,54.0,0.18,0.18,0.36,0.18,0.36,0.07,0.12,0.19,0.07,0.19,Matches
Rico Henry,eng ENG,DF,25-253,25,25,2226.0,24.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,2.2,3.5,36.0,72.0,79.0,0.0,0.08,0.08,0.0,0.08,0.05,0.09,0.14,0.05,0.14,Matches
Ben Mee,eng ENG,DF,33-178,25,25,2198.0,24.4,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,1.8,1.8,0.2,2.0,3.0,45.0,11.0,0.12,0.0,0.12,0.12,0.12,0.07,0.01,0.08,0.07,0.08,Matches
Ivan Toney,eng ENG,FW,27-002,24,24,2149.0,23.9,16.0,4.0,20.0,11.0,5.0,5.0,9.0,0.0,14.7,10.8,3.6,14.4,8.0,56.0,120.0,0.67,0.17,0.84,0.46,0.63,0.62,0.15,0.77,0.45,0.6,Matches
Ethan Pinnock,jm JAM,DF,29-293,18,18,1620.0,18.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,1.8,0.7,2.5,1.0,32.0,9.0,0.06,0.0,0.06,0.06,0.06,0.1,0.04,0.14,0.1,0.14,Matches
Vitaly Janelt,de GER,"MF,DF",24-312,26,17,1583.0,17.6,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,2.2,2.2,1.1,3.2,11.0,60.0,22.0,0.17,0.06,0.23,0.17,0.23,0.12,0.06,0.18,0.12,0.18,Matches
Christian Nørgaard,dk DEN,MF,29-008,16,15,1294.0,14.4,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,1.3,1.3,3.1,4.4,2.0,54.0,6.0,0.07,0.21,0.28,0.07,0.28,0.09,0.21,0.3,0.09,0.3,Matches
Aaron Hickey,sct SCO,DF,20-281,14,13,1066.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.2,0.3,26.0,49.0,31.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.01,0.03,Matches
Josh Dasilva,eng ENG,MF,24-146,25,12,1091.0,12.1,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.4,2.4,47.0,52.0,46.0,0.25,0.16,0.41,0.25,0.41,0.08,0.11,0.19,0.08,0.19,Matches
Yoane Wissa,cd COD,FW,26-196,26,11,1118.0,12.4,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,3.9,3.9,2.2,6.1,16.0,21.0,75.0,0.4,0.16,0.56,0.4,0.56,0.31,0.18,0.49,0.31,0.49,Matches
Mads Roerslev,dk DEN,DF,23-267,15,10,934.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.3,8.0,16.0,31.0,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.13,0.03,0.13,Matches
Kristoffer Ajer,no NOR,DF,24-335,9,9,763.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10.0,31.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,Matches
Mathias Jørgensen,dk DEN,DF,32-329,13,8,745.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.1,0.5,1.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.06,0.06,0.06,Matches
Pontus Jansson,se SWE,DF,32-033,8,6,528.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Frank Onyeka,ng NGA,MF,25-076,14,4,505.0,5.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.9,3.0,20.0,11.0,0.0,0.18,0.18,0.0,0.18,0.06,0.1,0.16,0.06,0.16,Matches
Shandon Baptiste,gd GRN,MF,24-344,13,4,439.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.7,0.9,8.0,32.0,19.0,0.0,0.0,0.0,0.0,0.0,0.04,0.15,0.19,0.04,0.19,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",22-258,15,3,462.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.8,1.3,5.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,0.1,0.15,0.25,0.1,0.25,Matches
Keane Lewis-Potter,eng ENG,"FW,MF",22-024,10,3,321.0,3.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.2,1.7,8.0,6.0,39.0,0.0,0.28,0.28,0.0,0.28,0.14,0.35,0.49,0.14,0.49,Matches
Kevin Schade,de GER,"FW,MF",21-111,7,1,162.0,1.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,1.0,7.0,3.0,15.0,0.0,0.56,0.56,0.0,0.56,0.3,0.27,0.57,0.3,0.57,Matches
Saman Ghoddos,ir IRN,"MF,FW",29-193,10,0,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.32,0.36,0.04,0.36,Matches
Sergi Canós,es ESP,"FW,DF",26-044,5,0,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,4.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.11,0.09,0.11,Matches
Mads Bech Sørensen,dk DEN,"DF,MF",24-070,4,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
