Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
David Raya,es ESP,GK,27-200,28,2520.0,90.0,100.0,28.0,28,90.0,28,0,,0,1.54,46.0,37.0,9.0,0.32,,40.7,37.4,3.4,0.12,,Matches
Bryan Mbeumo,cm CMR,FW,23-239,28,2170.0,78.0,86.1,24.1,28,78.0,4,0,,0,1.54,40.0,32.0,8.0,0.33,0.07,33.0,31.7,1.3,0.05,-0.5,Matches
Mathias Jensen,dk DEN,MF,27-092,28,2151.0,77.0,85.4,23.9,28,77.0,9,0,,0,1.54,38.0,32.0,6.0,0.25,-0.48,31.9,30.9,1.0,0.04,-0.54,Matches
Rico Henry,eng ENG,DF,25-269,27,2406.0,89.0,95.5,26.7,27,89.0,23,0,,0,1.48,43.0,37.0,6.0,0.22,-2.14,38.6,36.3,2.3,0.08,-0.79,Matches
Ben Mee,eng ENG,DF,33-194,27,2378.0,88.0,94.4,26.4,27,88.0,25,0,,1,1.59,44.0,31.0,13.0,0.49,3.03,39.1,34.1,5.0,0.19,1.24,Matches
Ivan Toney,eng ENG,FW,27-018,26,2329.0,90.0,92.4,25.9,26,90.0,23,0,,0,1.5,41.0,34.0,7.0,0.27,-0.67,37.4,33.9,3.5,0.14,0.21,Matches
Ethan Pinnock,jm JAM,DF,29-309,20,1800.0,90.0,71.4,20.0,20,90.0,20,0,,0,1.65,31.0,25.0,6.0,0.3,-0.07,29.4,27.8,1.6,0.08,-0.14,Matches
Vitaly Janelt,de GER,"MF,DF",24-328,26,1583.0,61.0,62.8,17.6,17,78.0,9,9,28.0,0,1.58,25.0,24.0,1.0,0.06,-0.71,26.3,21.4,4.8,0.27,0.41,Matches
Christian Nørgaard,dk DEN,MF,29-024,18,1474.0,82.0,58.5,16.4,17,85.0,11,1,29.0,0,1.78,30.0,18.0,12.0,0.73,0.99,25.2,21.9,3.3,0.2,0.19,Matches
Aaron Hickey,sct SCO,DF,20-297,16,1246.0,78.0,49.4,13.8,15,81.0,6,1,30.0,2,1.38,24.0,22.0,2.0,0.14,-0.35,19.7,18.9,0.8,0.06,-0.13,Matches
Yoane Wissa,cd COD,FW,26-212,28,1190.0,43.0,47.2,13.2,12,73.0,1,16,19.0,0,1.54,21.0,14.0,7.0,0.53,0.39,20.9,16.1,4.8,0.36,0.46,Matches
Josh Dasilva,eng ENG,MF,24-162,27,1139.0,42.0,45.2,12.7,12,68.0,0,15,21.0,1,1.48,24.0,14.0,10.0,0.79,0.86,20.2,14.3,5.9,0.47,0.63,Matches
Mads Roerslev,dk DEN,DF,23-283,15,934.0,62.0,37.1,10.4,10,86.0,9,5,16.0,10,2.0,18.0,11.0,7.0,0.67,0.56,14.8,14.4,0.4,0.04,-0.13,Matches
Kristoffer Ajer,no NOR,DF,24-351,9,763.0,85.0,30.3,8.5,9,85.0,6,0,,6,1.11,7.0,14.0,-7.0,-0.83,-1.65,9.4,11.1,-1.6,-0.19,-0.45,Matches
Mathias Jørgensen,dk DEN,DF,32-345,13,745.0,57.0,29.6,8.3,8,83.0,6,5,16.0,10,1.85,12.0,12.0,0.0,0.0,-0.46,12.8,13.3,-0.5,-0.06,-0.25,Matches
Pontus Jansson,se SWE,DF,32-049,10,619.0,62.0,24.6,6.9,7,86.0,6,3,5.0,3,1.6,17.0,13.0,4.0,0.58,0.34,9.6,11.8,-2.3,-0.33,-0.6,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",22-274,17,594.0,35.0,23.6,6.6,5,66.0,0,12,22.0,8,1.35,13.0,10.0,3.0,0.45,0.17,11.2,9.7,1.5,0.23,0.15,Matches
Frank Onyeka,ng NGA,MF,25-092,14,505.0,36.0,20.0,5.6,4,65.0,0,10,25.0,5,1.43,8.0,8.0,0.0,0.0,-0.4,7.5,9.1,-1.6,-0.28,-0.51,Matches
Shandon Baptiste,gd GRN,MF,24-360,14,454.0,32.0,18.0,5.0,4,68.0,0,10,18.0,4,1.14,7.0,6.0,1.0,0.2,-0.15,6.4,5.2,1.2,0.23,0.14,Matches
Keane Lewis-Potter,eng ENG,"FW,MF",22-040,10,321.0,32.0,12.7,3.6,3,61.0,0,7,20.0,9,1.5,10.0,4.0,6.0,1.68,1.56,7.2,4.1,3.2,0.89,0.88,Matches
Kevin Schade,de GER,"FW,MF",21-127,8,192.0,24.0,7.6,2.1,1,64.0,0,7,18.0,2,1.88,4.0,2.0,2.0,0.94,0.67,4.1,2.1,2.0,0.95,0.9,Matches
Saman Ghoddos,ir IRN,"MF,FW",29-209,11,100.0,9.0,4.0,1.1,0,,0,11,9.0,13,1.27,1.0,5.0,-4.0,-3.6,-4.08,1.7,3.6,-1.8,-1.65,-1.84,Matches
Sergi Canós,es ESP,"FW,DF",26-060,5,77.0,15.0,3.1,0.9,0,,0,5,15.0,7,1.6,0.0,2.0,-2.0,-2.34,-2.74,0.8,1.7,-1.0,-1.13,-1.29,Matches
Mads Bech Sørensen,dk DEN,"DF,MF",24-086,4,21.0,5.0,0.8,0.2,0,,0,4,5.0,3,2.0,1.0,0.0,1.0,4.29,4.0,0.3,0.3,0.0,0.15,0.03,Matches
Halil Dervişoğlu,tr TUR,MF,23-116,1,8.0,8.0,0.3,0.1,0,,0,1,8.0,1,1.0,1.0,0.0,1.0,11.25,10.96,0.1,0.1,0.0,-0.25,-0.37,Matches
Matthew Cox,eng ENG,GK,19-336,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches
Tristan Crama,fr FRA,MF,21-146,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Charlie Goode,eng ENG,DF,27-243,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Michael Olakigbe,eng ENG,FW,18-343,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Finley Stevens,wls WAL,DF,19-358,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Thomas Strakosha,al ALB,GK,28-015,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
Ryan Trevitt,eng ENG,MF,20-022,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Yehor Yarmoliuk,ua UKR,MF,19-033,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Squad Total,,,26.9,28,2520.0,90.0,100.0,28.0,308,83.0,186,122,19.0,130,1.54,46.0,37.0,9.0,0.32,,40.7,37.4,3.4,0.12,,
Opponent Total,,,27.2,28,2520.0,90.0,100.0,28.0,308,83.0,186,122,19.0,156,1.0,37.0,46.0,-9.0,-0.32,,37.4,40.7,-3.4,-0.12,,
