Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
David Raya,es ESP,GK,27-203,29.0,1325,965,1242,83,1,1,1325,1,1,100.0,0,0.0,798,4686,3057,0,0,0,0,0,598,0,Matches
Bryan Mbeumo,cm CMR,FW,23-242,24.8,973,17,143,290,552,86,972,57,30,52.6,23,40.4,568,3080,1245,45,18,16,54,44,639,180,Matches
Mathias Jensen,dk DEN,MF,27-095,24.6,1469,36,309,659,514,29,1469,48,19,39.6,21,43.8,670,2586,1010,21,20,1,43,26,760,60,Matches
Rico Henry,eng ENG,DF,25-272,27.7,1188,88,369,464,374,27,1188,36,19,52.8,13,36.1,559,2634,1279,38,29,9,41,37,596,91,Matches
Ben Mee,eng ENG,DF,33-197,27.4,1606,218,855,638,121,48,1606,7,7,100.0,0,0.0,859,3416,1739,5,9,3,15,1,879,13,Matches
Ivan Toney,eng ENG,FW,27-021,26.9,1030,43,120,450,466,130,1025,42,11,26.2,23,54.8,513,2037,560,10,17,5,83,36,738,131,Matches
Ethan Pinnock,jm JAM,DF,29-312,21.0,1092,243,672,333,90,38,1092,3,1,33.3,0,0.0,413,1693,934,1,2,0,2,6,497,10,Matches
Christian Nørgaard,dk DEN,MF,29-027,17.2,920,73,301,476,150,38,920,15,6,40.0,8,53.3,389,1254,540,3,8,2,12,9,443,7,Matches
Vitaly Janelt,de GER,"MF,DF",24-331,17.6,900,48,253,477,177,26,900,20,9,45.0,10,50.0,461,1931,918,11,14,1,13,11,516,22,Matches
Aaron Hickey,sct SCO,DF,20-300,14.0,680,39,211,326,149,14,680,33,10,30.3,15,45.5,399,2129,1198,28,12,1,10,7,404,32,Matches
Yoane Wissa,cd COD,FW,26-215,13.4,407,13,58,158,201,41,407,38,17,44.7,14,36.8,245,1246,532,17,8,6,31,21,267,82,Matches
Josh Dasilva,eng ENG,MF,24-165,13.0,645,12,122,288,244,26,645,44,25,56.8,12,27.3,458,2839,1338,49,33,6,25,24,480,49,Matches
Mads Roerslev,dk DEN,DF,23-286,11.2,379,49,158,125,97,12,379,6,2,33.3,3,50.0,168,755,269,8,7,1,13,9,190,33,Matches
Kristoffer Ajer,no NOR,DF,24-354,8.5,412,45,184,167,64,9,412,7,1,14.3,4,57.1,213,1123,613,10,5,0,3,8,231,12,Matches
Mathias Jørgensen,dk DEN,DF,32-348,8.3,422,64,210,193,20,7,422,1,0,0.0,1,100.0,215,858,509,1,1,0,2,1,221,1,Matches
Pontus Jansson,se SWE,DF,32-052,7.9,383,74,241,133,9,5,383,2,2,100.0,0,0.0,185,693,284,1,1,0,2,1,213,0,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",22-277,7.3,355,8,67,177,115,15,355,14,6,42.9,6,42.9,182,678,373,6,7,1,10,3,205,30,Matches
Frank Onyeka,ng NGA,MF,25-095,5.6,233,18,67,109,58,13,233,11,2,18.2,6,54.5,120,419,188,3,5,1,7,6,126,11,Matches
Shandon Baptiste,gd GRN,MF,24-363,5.4,285,10,65,148,78,6,285,12,6,50.0,2,16.7,197,901,428,8,12,3,14,7,189,21,Matches
Keane Lewis-Potter,eng ENG,"FW,MF",22-043,3.6,138,4,24,48,69,18,138,14,4,28.6,10,71.4,93,652,336,8,6,3,11,8,91,39,Matches
Kevin Schade,de GER,"FW,MF",21-130,2.5,106,2,15,34,61,21,106,19,8,42.1,9,47.4,48,583,229,11,6,6,6,3,62,21,Matches
Saman Ghoddos,ir IRN,"MF,FW",29-212,1.1,70,7,20,28,25,1,70,2,0,0.0,2,100.0,28,68,34,0,1,0,3,1,27,3,Matches
Sergi Canós,es ESP,"FW,DF",26-063,0.9,57,1,13,25,20,2,57,6,4,66.7,2,33.3,29,206,111,4,2,0,0,0,36,7,Matches
Mads Bech Sørensen,dk DEN,"DF,MF",24-089,0.2,14,1,4,8,2,0,14,0,0,,0,,2,3,0,0,0,0,0,0,5,0,Matches
Halil Dervişoğlu,tr TUR,MF,23-119,0.1,1,0,0,0,1,0,1,0,0,,0,,2,13,0,0,0,1,0,1,2,0,Matches
Squad Total,,,26.9,29.0,15090,2078,5723,5837,3658,613,15084,438,190,43.4,184,42.0,7814,36483,17724,288,223,66,400,270,8415,855,
Opponent Total,,,27.2,29.0,18652,1739,5228,8135,5460,728,18650,530,275,51.9,196,37.0,10493,56247,29141,596,514,126,440,255,12111,1213,
