Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Lewis Dunk,eng ENG,DF,31-136,27.0,20,0.74,19,0,0,1,0,0,2,0.07,2,0,0,0,0,0,Matches
Pascal Groß,de GER,"MF,DF",31-295,26.2,104,3.96,69,29,1,4,0,1,9,0.34,8,1,0,0,0,0,Matches
Solly March,eng ENG,"FW,DF",28-260,25.9,106,4.09,71,8,14,7,4,2,10,0.39,8,0,1,1,0,0,Matches
Moisés Caicedo,ec ECU,MF,21-155,25.1,63,2.51,58,0,1,3,1,0,4,0.16,4,0,0,0,0,0,Matches
Alexis Mac Allister,ar ARG,MF,24-103,23.0,70,3.05,50,6,5,4,4,1,7,0.3,6,0,1,0,0,0,Matches
Robert Sánchez,es ESP,GK,25-139,22.0,1,0.05,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pervis Estupiñán,ec ECU,DF,25-075,19.4,64,3.29,59,1,2,0,2,0,6,0.31,5,0,0,0,1,0,Matches
Joël Veltman,nl NED,DF,31-081,20.9,27,1.29,23,3,0,0,0,1,3,0.14,3,0,0,0,0,0,Matches
Adam Webster,eng ENG,DF,28-092,17.6,15,0.85,14,1,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
Leandro Trossard,be BEL,"FW,MF",28-123,14.6,51,3.49,39,0,7,4,1,0,9,0.62,5,0,3,0,1,0,Matches
Kaoru Mitoma,jp JPN,"FW,MF",25-321,16.1,68,4.22,53,0,9,3,3,0,11,0.68,7,0,2,1,1,0,Matches
Danny Welbeck,eng ENG,FW,32-131,15.1,37,2.45,26,0,3,3,4,1,8,0.53,5,0,1,0,2,0,Matches
Adam Lallana,eng ENG,"MF,FW",34-331,8.0,22,2.75,22,0,0,0,0,0,2,0.25,2,0,0,0,0,0,Matches
Levi Colwill,eng ENG,DF,20-039,7.1,8,1.12,6,1,0,1,0,0,1,0.14,1,0,0,0,0,0,Matches
Evan Ferguson,ie IRL,FW,18-169,6.0,9,1.51,8,0,0,1,0,0,2,0.33,2,0,0,0,0,0,Matches
Jason Steele,eng ENG,GK,32-231,5.0,3,0.6,3,0,0,0,0,0,1,0.2,1,0,0,0,0,0,Matches
Tariq Lamptey,gh GHA,DF,22-188,5.0,14,2.78,12,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Deniz Undav,de GER,"FW,MF",26-261,2.9,11,3.84,6,0,0,5,0,0,1,0.35,0,0,0,1,0,0,Matches
Enock Mwepu,zm ZAM,"FW,MF",25-095,2.4,7,2.96,6,0,1,0,0,0,2,0.85,1,0,1,0,0,0,Matches
Billy Gilmour,sct SCO,MF,21-299,1.8,3,1.66,3,0,0,0,0,0,1,0.55,1,0,0,0,0,0,Matches
Jeremy Sarmiento,ec ECU,MF,20-294,2.0,10,5.11,6,0,1,2,1,0,2,1.02,2,0,0,0,0,0,Matches
Jan Paul van Hecke,nl NED,DF,22-302,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Julio César Enciso,py PAR,"FW,MF",19-073,2.1,10,4.79,4,0,3,3,0,0,2,0.96,0,0,1,1,0,0,Matches
Facundo Buonanotte,ar ARG,"FW,MF",18-104,0.6,3,4.74,3,0,0,0,0,0,1,1.58,1,0,0,0,0,0,Matches
Andrew Moran,ie IRL,FW,19-173,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Yasin Ayari,se SWE,MF,19-182,0.1,2,16.36,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.4,27.0,728,26.96,563,49,48,41,21,6,85,3.15,65,1,10,4,5,0,
Opponent Total,,,27.3,27.0,442,16.37,307,41,28,31,26,9,53,1.96,32,2,5,7,6,1,
