Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Lewis Dunk,eng ENG,DF,31-118,25,2249.0,90.0,100.0,25.0,25,90.0,24,0,,0,1.68,46.0,31.0,15.0,0.6,0.6,42.7,28.8,13.9,0.56,1.11,Matches
Pascal Groß,de GER,"MF,DF",31-277,25,2181.0,87.0,96.9,24.2,25,87.0,19,0,,0,1.68,45.0,31.0,14.0,0.58,-0.73,41.7,28.6,13.0,0.54,-0.57,Matches
Solly March,eng ENG,"FW,DF",28-242,25,2150.0,86.0,95.6,23.9,25,86.0,14,0,,0,1.68,43.0,30.0,13.0,0.54,-1.26,41.2,27.4,13.9,0.58,0.56,Matches
Moisés Caicedo,ec ECU,MF,21-137,24,2089.0,87.0,92.8,23.2,23,89.0,20,1,34.0,0,1.75,43.0,27.0,16.0,0.69,1.25,39.4,25.6,13.9,0.6,0.57,Matches
Robert Sánchez,es ESP,GK,25-121,22,1980.0,90.0,88.0,22.0,22,90.0,22,0,,3,1.59,39.0,29.0,10.0,0.45,-1.21,36.0,26.5,9.5,0.43,-1.05,Matches
Alexis Mac Allister,ar ARG,MF,24-085,22,1904.0,87.0,84.6,21.2,21,89.0,18,1,29.0,0,1.64,36.0,26.0,10.0,0.47,-0.83,36.7,22.5,14.2,0.67,0.76,Matches
Pervis Estupiñán,ec ECU,DF,25-057,22,1577.0,72.0,70.1,17.5,19,80.0,10,3,18.0,1,1.68,35.0,24.0,11.0,0.63,0.09,30.7,21.7,9.0,0.51,-0.15,Matches
Joël Veltman,nl NED,DF,31-063,23,1718.0,75.0,76.4,19.1,18,85.0,13,5,39.0,1,1.7,33.0,20.0,13.0,0.68,0.34,34.1,19.3,14.7,0.77,0.91,Matches
Adam Webster,eng ENG,DF,28-074,20,1498.0,75.0,66.6,16.6,17,88.0,14,3,1.0,1,1.75,29.0,20.0,9.0,0.54,-0.18,30.8,17.0,13.9,0.83,0.83,Matches
Leandro Trossard,be BEL,"FW,MF",28-105,16,1315.0,82.0,58.4,14.6,16,82.0,5,0,,1,1.5,23.0,23.0,0.0,0.0,-1.44,20.5,19.4,1.1,0.08,-1.15,Matches
Danny Welbeck,eng ENG,FW,32-113,19,1258.0,66.0,55.9,14.0,14,82.0,7,5,23.0,0,1.68,20.0,17.0,3.0,0.21,-0.87,21.8,15.4,6.4,0.46,-0.22,Matches
Kaoru Mitoma,jp JPN,"FW,MF",25-303,20,1270.0,64.0,56.4,14.1,13,86.0,7,7,22.0,2,1.75,29.0,15.0,14.0,0.99,0.9,26.9,16.2,10.7,0.76,0.47,Matches
Adam Lallana,eng ENG,"MF,FW",34-313,16,722.0,45.0,32.1,8.0,12,55.0,0,4,15.0,0,1.56,16.0,10.0,6.0,0.75,0.22,12.0,10.7,1.3,0.16,-0.58,Matches
Levi Colwill,eng ENG,DF,20-021,8,553.0,69.0,24.6,6.1,6,90.0,6,2,7.0,9,2.25,14.0,8.0,6.0,0.98,0.5,7.1,10.3,-3.1,-0.51,-1.41,Matches
Evan Ferguson,ie IRL,FW,18-151,10,466.0,47.0,20.7,5.2,5,71.0,0,5,22.0,2,1.8,15.0,3.0,12.0,2.32,2.17,12.2,4.2,8.0,1.55,1.25,Matches
Tariq Lamptey,gh GHA,DF,22-170,20,453.0,23.0,20.1,5.0,3,60.0,1,17,16.0,3,1.6,6.0,7.0,-1.0,-0.2,-1.0,7.5,6.5,1.0,0.2,-0.44,Matches
Jason Steele,eng ENG,GK,32-213,3,270.0,90.0,12.0,3.0,3,90.0,3,0,,22,2.33,7.0,2.0,5.0,1.67,1.21,6.8,2.4,4.4,1.48,1.05,Matches
Deniz Undav,de GER,"FW,MF",26-243,11,249.0,23.0,11.1,2.8,2,65.0,0,9,13.0,12,1.27,2.0,1.0,1.0,0.36,-0.27,6.2,1.2,5.0,1.8,1.39,Matches
Enock Mwepu,zm ZAM,"FW,MF",25-077,6,213.0,36.0,9.5,2.4,2,73.0,0,4,17.0,0,2.17,5.0,4.0,1.0,0.42,-0.2,4.2,2.8,1.4,0.59,0.03,Matches
Billy Gilmour,sct SCO,MF,21-281,7,163.0,23.0,7.2,1.8,2,73.0,1,5,3.0,10,1.71,4.0,4.0,0.0,0.0,-0.65,3.3,3.4,-0.2,-0.08,-0.69,Matches
Jeremy Sarmiento,ec ECU,MF,20-276,9,176.0,20.0,7.8,2.0,1,61.0,0,8,14.0,11,2.33,9.0,2.0,7.0,3.58,3.23,3.9,2.5,1.4,0.74,0.2,Matches
Jan Paul van Hecke,nl NED,DF,22-284,3,83.0,28.0,3.7,0.9,1,77.0,0,2,3.0,16,1.67,1.0,2.0,-1.0,-1.08,-1.75,1.6,0.9,0.7,0.76,0.21,Matches
Julio César Enciso,py PAR,"FW,MF",19-055,7,151.0,22.0,6.7,1.7,0,,0,7,22.0,11,2.14,4.0,3.0,1.0,0.6,0.0,1.9,3.1,-1.2,-0.7,-1.35,Matches
Facundo Buonanotte,ar ARG,"FW,MF",18-086,3,50.0,17.0,2.2,0.6,0,,0,3,17.0,3,2.0,2.0,1.0,1.0,1.8,1.23,1.3,0.6,0.6,1.17,0.63,Matches
Andrew Moran,ie IRL,FW,19-155,1,12.0,12.0,0.5,0.1,0,,0,1,12.0,5,3.0,0.0,1.0,-1.0,-7.5,-8.14,0.1,0.8,-0.7,-5.5,-6.09,Matches
Steven Alzate,co COL,MF,24-192,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Yasin Ayari,se SWE,MF,19-164,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
James Furlong,ie IRL,DF,20-285,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Jack Hinshelwood,eng ENG,MF,17-342,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Neal Maupay,fr FRA,"FW,MF",26-217,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Odeluga Offiah,eng ENG,DF,20-144,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Ed Turns,wls WAL,DF,20-152,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
Squad Total,,,27.4,25,2250.0,90.0,100.0,25.0,275,84.0,184,92,17.0,133,1.68,46.0,31.0,15.0,0.6,,42.8,28.9,13.9,0.56,,
Opponent Total,,,27.3,25,2250.0,90.0,100.0,25.0,275,84.0,184,92,17.0,124,1.08,31.0,46.0,-15.0,-0.6,,28.9,42.8,-13.9,-0.56,,
