Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Kai Havertz,de GER,"FW,MF",23-281,22.0,47,2.14,40,2,1,3,1,0,4,0.18,3,0,0,1,0,0,Matches
Thiago Silva,br BRA,DF,38-178,20.1,12,0.6,11,1,0,0,0,0,2,0.1,2,0,0,0,0,0,Matches
Mason Mount,eng ENG,"MF,FW",24-068,18.1,56,3.09,42,9,2,2,1,0,7,0.39,5,0,0,1,1,0,Matches
Kepa Arrizabalaga,es ESP,GK,28-167,18.5,1,0.05,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Marc Cucurella,es ESP,DF,24-240,15.9,23,1.44,17,6,0,0,0,0,3,0.19,2,1,0,0,0,0,Matches
Kalidou Koulibaly,sn SEN,DF,31-272,16.9,19,1.13,16,0,0,1,0,2,3,0.18,3,0,0,0,0,0,Matches
Raheem Sterling,eng ENG,"FW,MF",28-101,14.9,52,3.5,45,0,2,2,3,0,2,0.13,2,0,0,0,0,0,Matches
Ruben Loftus-Cheek,eng ENG,"MF,DF",27-055,14.0,27,1.93,22,0,3,1,1,0,2,0.14,2,0,0,0,0,0,Matches
Jorginho,it ITA,MF,31-089,14.2,29,2.04,29,0,0,0,0,0,2,0.14,2,0,0,0,0,0,Matches
Mateo Kovačić,hr CRO,MF,28-317,13.0,44,3.39,38,1,0,4,0,1,2,0.15,2,0,0,0,0,0,Matches
César Azpilicueta,es ESP,DF,33-203,12.3,18,1.46,18,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
Trevoh Chalobah,eng ENG,DF,23-257,11.2,5,0.45,3,0,0,1,1,0,1,0.09,1,0,0,0,0,0,Matches
Reece James,eng ENG,"DF,MF",23-101,10.4,32,3.06,23,4,3,1,1,0,3,0.29,2,0,0,0,1,0,Matches
Conor Gallagher,eng ENG,"MF,FW",23-041,10.5,31,2.95,21,4,3,2,0,1,3,0.29,2,0,1,0,0,0,Matches
Ben Chilwell,eng ENG,"DF,MF",26-088,9.7,26,2.67,14,11,0,0,1,0,4,0.41,2,1,0,0,1,0,Matches
Edouard Mendy,sn SEN,GK,31-018,8.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Christian Pulisic,us USA,"FW,DF",24-182,7.7,22,2.88,20,0,0,2,0,0,3,0.39,3,0,0,0,0,0,Matches
Benoît Badiashile,fr FRA,DF,21-358,7.1,11,1.56,10,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Enzo Fernández,ar ARG,MF,22-061,6.9,17,2.46,15,0,0,1,1,0,3,0.43,3,0,0,0,0,0,Matches
João Félix,pt POR,"FW,MF",23-129,5.7,16,2.79,7,2,1,3,3,0,1,0.17,1,0,0,0,0,0,Matches
Hakim Ziyech,ma MAR,"FW,MF",30-000,6.4,23,3.62,18,3,1,0,1,0,1,0.16,1,0,0,0,0,0,Matches
Wesley Fofana,fr FRA,DF,22-092,6.2,6,0.97,6,0,0,0,0,0,2,0.32,2,0,0,0,0,0,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,33-274,4.9,6,1.22,4,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Denis Zakaria,ch SUI,MF,26-119,3.8,2,0.53,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Lewis Hall,eng ENG,"DF,MF",18-192,3.4,12,3.55,7,2,0,1,2,0,0,0.0,0,0,0,0,0,0,Matches
Mykhailo Mudryk,ua UKR,FW,22-073,2.9,8,2.74,4,0,1,1,2,0,1,0.34,1,0,0,0,0,0,Matches
Armando Broja,al ALB,FW,21-190,3.3,4,1.22,2,0,0,0,2,0,2,0.61,1,0,0,0,1,0,Matches
Noni Madueke,eng ENG,FW,21-009,2.0,7,3.46,4,0,2,1,0,0,0,0.0,0,0,0,0,0,0,Matches
N'Golo Kanté,fr FRA,MF,31-355,1.9,7,3.64,7,0,0,0,0,0,1,0.52,1,0,0,0,0,0,Matches
Carney Chukwuemeka,eng ENG,"MF,FW",19-150,2.6,7,2.72,5,0,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Datro Fofana,ci CIV,FW,20-087,0.7,5,7.38,1,0,4,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Omari Hutchinson,eng ENG,FW,19-140,0.3,1,3.91,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.3,27.0,576,21.33,452,45,23,29,20,7,53,1.96,44,2,1,2,4,0,
Opponent Total,,,27.3,27.0,524,19.41,377,43,29,36,26,13,38,1.41,20,3,3,8,2,2,
