Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Kai Havertz,de GER,"FW,MF",23-280,21.0,510,632,80.7,6316,1261,327,392,83.4,133,149,89.3,12,17,70.6,1,3.0,2.3,-2.0,28,33,16,2,58,Matches
Thiago Silva,br BRA,DF,38-177,20.1,1462,1619,90.3,27724,11096,536,565,94.9,776,809,95.9,139,216,64.4,2,0.4,0.6,1.6,4,90,10,0,82,Matches
Mason Mount,eng ENG,"MF,FW",24-067,18.1,579,769,75.3,8638,2224,344,401,85.8,165,216,76.4,44,83,53.0,2,3.0,2.8,-1.0,30,54,26,5,97,Matches
Kepa Arrizabalaga,es ESP,GK,28-166,17.5,545,642,84.9,11799,6944,201,203,99.0,223,224,99.6,119,213,55.9,0,0.0,0.0,0.0,0,5,0,0,0,Matches
Marc Cucurella,es ESP,DF,24-239,15.9,942,1124,83.8,14242,4349,520,561,92.7,341,390,87.4,50,98,51.0,2,0.4,0.7,1.6,8,62,9,6,56,Matches
Kalidou Koulibaly,sn SEN,DF,31-271,15.9,1039,1199,86.7,18236,7133,463,490,94.5,482,529,91.1,77,145,53.1,1,0.4,0.4,0.6,6,73,7,1,66,Matches
Raheem Sterling,eng ENG,"FW,MF",28-100,14.9,363,489,74.2,4609,1028,225,268,84.0,98,134,73.1,14,24,58.3,2,3.5,2.5,-1.5,26,19,25,7,42,Matches
Ruben Loftus-Cheek,eng ENG,"MF,DF",27-054,13.9,612,721,84.9,9099,2295,365,412,88.6,211,234,90.2,26,34,76.5,0,1.2,1.5,-1.2,11,61,10,0,70,Matches
Jorginho,it ITA,MF,31-088,14.2,749,884,84.7,11991,3508,379,421,90.0,301,348,86.5,51,74,68.9,0,0.4,0.4,-0.4,7,87,9,0,80,Matches
César Azpilicueta,es ESP,DF,33-202,12.3,661,818,80.8,9845,3411,370,401,92.3,267,326,81.9,14,59,23.7,0,1.0,1.0,-1.0,10,31,16,4,59,Matches
Trevoh Chalobah,eng ENG,DF,23-256,11.1,603,682,88.4,11099,3224,219,246,89.0,331,356,93.0,47,65,72.3,0,0.1,0.1,-0.1,1,27,1,0,32,Matches
Mateo Kovačić,hr CRO,MF,28-316,12.1,716,839,85.3,11754,3596,357,400,89.3,294,322,91.3,46,77,59.7,1,1.3,1.2,-0.3,12,98,13,1,95,Matches
Conor Gallagher,eng ENG,"MF,FW",23-040,10.2,425,537,79.1,6500,1587,230,263,87.5,154,182,84.6,23,47,48.9,1,2.1,1.4,-1.1,18,43,14,5,60,Matches
Reece James,eng ENG,"DF,MF",23-100,9.4,632,734,86.1,9906,2633,353,376,93.9,215,250,86.0,49,72,68.1,1,1.6,1.4,-0.6,11,35,13,2,59,Matches
