Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Kai Havertz,de GER,"FW,MF",23-296,27,2068.0,77.0,82.1,23.0,24,84.0,14,3,21.0,1,1.37,25.0,25.0,0.0,0.0,0.2,31.8,30.2,1.6,0.07,0.29,Matches
Thiago Silva,br BRA,DF,38-193,21,1812.0,86.0,71.9,20.1,20,86.0,19,1,84.0,1,1.29,20.0,22.0,-2.0,-0.1,-0.23,23.6,25.9,-2.3,-0.11,-0.47,Matches
Kepa Arrizabalaga,es ESP,GK,28-182,20,1755.0,88.0,69.6,19.5,20,88.0,19,0,,6,1.4,20.0,18.0,2.0,0.1,0.46,26.6,23.0,3.6,0.18,0.55,Matches
Mason Mount,eng ENG,"MF,FW",24-083,23,1631.0,71.0,64.7,18.1,20,77.0,7,3,28.0,1,1.35,18.0,21.0,-3.0,-0.17,-0.37,22.3,23.3,-1.0,-0.06,-0.21,Matches
Marc Cucurella,es ESP,DF,24-255,22,1514.0,69.0,60.1,16.8,19,77.0,9,3,15.0,2,1.27,17.0,19.0,-2.0,-0.12,-0.21,20.5,25.0,-4.5,-0.27,-0.71,Matches
Kalidou Koulibaly,sn SEN,DF,31-287,20,1610.0,81.0,63.9,17.9,18,86.0,15,2,29.0,4,1.4,20.0,21.0,-1.0,-0.06,-0.06,23.2,21.5,1.7,0.1,0.22,Matches
Ruben Loftus-Cheek,eng ENG,"MF,DF",27-070,20,1314.0,66.0,52.1,14.6,17,73.0,6,3,24.0,2,1.45,16.0,20.0,-4.0,-0.27,-0.5,17.6,21.5,-3.9,-0.26,-0.59,Matches
Raheem Sterling,eng ENG,"FW,MF",28-116,19,1338.0,70.0,53.1,14.9,16,77.0,5,3,35.0,1,1.37,17.0,16.0,1.0,0.07,0.22,17.9,17.4,0.5,0.03,0.03,Matches
Jorginho,it ITA,MF,31-104,18,1279.0,71.0,50.8,14.2,15,81.0,8,3,23.0,2,1.61,16.0,12.0,4.0,0.28,0.64,17.0,16.4,0.5,0.04,0.04,Matches
Mateo Kovačić,hr CRO,MF,28-332,20,1248.0,62.0,49.5,13.9,12,82.0,6,8,33.0,1,1.4,13.0,17.0,-4.0,-0.29,-0.5,17.6,18.7,-1.2,-0.08,-0.2,Matches
