Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Kai Havertz,de GER,"FW,MF",23-299,24.0,1062,37,93,429,549,145,1061,53,15,28.3,34,64.2,617,3119,1209,49,26,27,73,33,791,185,Matches
Kepa Arrizabalaga,es ESP,GK,28-185,20.5,780,611,767,13,0,0,780,0,0,,0,,462,2098,1218,0,0,0,1,0,411,0,Matches
Thiago Silva,br BRA,DF,38-196,20.1,1829,276,948,847,38,18,1829,3,2,66.7,0,0.0,1151,5312,3046,4,9,0,4,1,1321,1,Matches
Mason Mount,eng ENG,"MF,FW",24-086,18.1,958,17,109,411,449,56,958,31,15,48.4,13,41.9,523,2705,1404,47,34,11,36,28,667,113,Matches
Marc Cucurella,es ESP,DF,24-258,17.8,1445,61,452,657,346,12,1445,14,5,35.7,6,42.9,768,3124,1762,29,19,2,14,5,883,59,Matches
Kalidou Koulibaly,sn SEN,DF,31-290,18.9,1598,159,749,795,61,19,1598,6,4,66.7,2,33.3,1035,4475,2317,10,8,0,10,2,1150,4,Matches
Ruben Loftus-Cheek,eng ENG,"MF,DF",27-073,14.6,925,35,168,498,271,39,925,51,24,47.1,20,39.2,553,3059,1725,44,22,9,20,19,669,78,Matches
Raheem Sterling,eng ENG,"FW,MF",28-119,14.9,661,3,48,195,428,83,661,68,25,36.8,38,55.9,483,2818,1410,55,38,33,38,39,556,136,Matches
Jorginho,it ITA,MF,31-107,14.2,1026,36,273,577,178,8,1024,12,5,41.7,4,33.3,546,2331,1090,13,27,1,14,9,706,10,Matches
Mateo Kovačić,hr CRO,MF,28-335,14.9,1183,24,224,755,215,9,1183,25,11,44.0,9,36.0,805,4404,2069,28,31,1,21,18,908,22,Matches
Reece James,eng ENG,"DF,MF",23-119,12.4,1056,33,217,498,347,21,1056,33,18,54.5,8,24.2,636,3422,1870,47,24,8,12,10,736,99,Matches
César Azpilicueta,es ESP,DF,33-221,12.3,950,66,332,387,236,18,950,9,5,55.6,4,44.4,458,1959,1163,17,14,0,8,3,574,60,Matches
Ben Chilwell,eng ENG,"DF,MF",26-106,11.6,852,14,201,322,332,25,852,17,7,41.2,9,52.9,480,2485,1342,34,26,7,19,15,542,114,Matches
Trevoh Chalobah,eng ENG,DF,23-275,11.2,794,78,392,348,56,10,794,4,2,50.0,1,25.0,473,1721,896,9,6,0,5,4,543,9,Matches
Conor Gallagher,eng ENG,"MF,FW",23-059,10.9,738,23,144,349,256,32,738,38,16,42.1,17,44.7,447,2349,904,27,32,9,21,24,494,51,Matches
Enzo Fernández,ar ARG,MF,22-079,8.9,869,26,193,544,139,8,869,16,8,50.0,7,43.8,603,2430,981,9,13,1,13,9,665,15,Matches
João Félix,pt POR,"FW,MF",23-147,7.7,368,0,22,167,183,34,368,45,20,44.4,20,44.4,252,1655,885,31,30,9,14,8,293,61,Matches
Edouard Mendy,sn SEN,GK,31-036,8.5,286,247,283,3,0,0,286,1,0,0.0,1,100.0,160,744,399,0,0,0,0,0,148,0,Matches
Christian Pulisic,us USA,"FW,DF",24-200,7.8,383,3,46,155,190,36,383,37,11,29.7,17,45.9,266,1925,951,32,27,12,26,8,292,64,Matches
Benoît Badiashile,fr FRA,DF,22-011,7.1,657,69,330,318,15,7,657,2,0,0.0,2,100.0,453,2176,1318,9,1,0,1,1,482,1,Matches
Wesley Fofana,fr FRA,DF,22-110,7.2,578,35,206,316,58,7,578,5,2,40.0,1,20.0,405,2458,1496,19,12,0,5,6,423,9,Matches
Hakim Ziyech,ma MAR,"FW,MF",30-018,6.4,416,8,61,163,195,12,416,27,12,44.4,12,44.4,254,1166,481,13,13,4,6,13,295,56,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,33-292,4.9,124,6,15,54,58,16,124,5,3,60.0,2,40.0,76,475,229,7,6,3,9,4,91,22,Matches
