Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Marc Guéhi,eng ENG,DF,22-264,28.0,19,0.68,15,1,0,2,1,0,1,0.04,1,0,0,0,0,0,Matches
Vicente Guaita,es ESP,GK,36-083,27.0,1,0.04,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Cheick Doucouré,ml MLI,MF,23-085,23.5,49,2.09,38,0,2,4,2,3,4,0.17,2,0,0,1,0,1,Matches
Jeffrey Schlupp,gh GHA,"MF,FW",30-101,23.4,37,1.58,32,0,2,2,1,0,3,0.13,2,0,0,0,1,0,Matches
Tyrick Mitchell,eng ENG,DF,23-214,23.1,27,1.17,22,1,2,0,0,2,3,0.13,3,0,0,0,0,0,Matches
Wilfried Zaha,ci CIV,"FW,MF",30-144,22.9,77,3.36,48,0,9,4,16,0,6,0.26,5,0,0,1,0,0,Matches
Joachim Andersen,dk DEN,DF,26-307,22.4,14,0.62,13,1,0,0,0,0,1,0.04,0,1,0,0,0,0,Matches
Michael Olise,fr FRA,"FW,MF",21-112,21.6,92,4.27,47,26,8,4,5,2,6,0.28,2,4,0,0,0,0,Matches
Jordan Ayew,gh GHA,"FW,MF",31-204,21.4,56,2.62,39,0,6,4,4,3,4,0.19,2,0,0,1,1,0,Matches
Eberechi Eze,eng ENG,"MF,FW",24-278,20.3,75,3.7,45,17,5,2,4,2,8,0.39,4,1,3,0,0,0,Matches
Nathaniel Clyne,eng ENG,DF,31-363,18.2,18,0.99,16,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Joel Ward,eng ENG,DF,33-156,16.6,9,0.54,7,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Odsonne Édouard,fr FRA,FW,25-077,15.1,38,2.51,27,0,1,9,1,0,3,0.2,3,0,0,0,0,0,Matches
Jean-Philippe Mateta,fr FRA,FW,25-279,7.8,7,0.9,3,0,0,2,2,0,1,0.13,0,0,0,0,1,0,Matches
Albert Sambi Lokonga,be BEL,MF,23-163,5.2,4,0.77,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Luka Milivojević,rs SRB,MF,31-361,4.6,2,0.43,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Will Hughes,eng ENG,MF,27-351,4.8,6,1.26,4,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Chris Richards,us USA,DF,23-006,4.0,2,0.5,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
James Tomkins,eng ENG,DF,34-005,3.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Joseph Whitworth,eng ENG,GK,19-033,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Naouirou Ahamada,fr FRA,"MF,FW",21-005,1.0,2,1.94,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Jaïro Riedewald,nl NED,"DF,FW",26-206,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Malcolm Ebiowei,eng ENG,"MF,FW",19-211,0.4,1,2.65,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
James McArthur,sct SCO,MF,35-178,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
David Ozoh,,FW,17-307,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.6,29.0,536,18.48,364,50,36,35,39,12,40,1.38,24,6,3,3,3,1,
Opponent Total,,,27.3,29.0,661,22.79,489,64,30,39,33,6,66,2.28,52,2,5,6,1,0,
