Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Vicente Guaita,es ESP,GK,36-068,26.0,867,762,865,2,0,0,867,0,0,,0,,490,2580,1658,0,0,0,1,0,366,0,Matches
Marc Guéhi,eng ENG,DF,22-249,26.0,1700,284,958,710,41,16,1700,11,6,54.5,1,9.1,949,4158,2372,8,6,0,11,5,1108,2,Matches
Cheick Doucouré,ml MLI,MF,23-070,21.5,1118,67,329,636,165,7,1118,15,11,73.3,4,26.7,539,2663,1310,13,20,0,19,17,642,10,Matches
Jeffrey Schlupp,gh GHA,"MF,FW",30-086,21.6,945,57,237,516,208,30,945,39,20,51.3,14,35.9,477,2216,942,23,17,8,24,22,561,46,Matches
Tyrick Mitchell,eng ENG,DF,23-199,21.1,1202,79,451,507,255,17,1202,20,10,50.0,7,35.0,513,2060,929,16,13,3,23,14,602,54,Matches
Wilfried Zaha,ci CIV,"FW,MF",30-129,21.5,847,10,88,328,445,103,845,111,43,38.7,54,48.6,589,3781,1580,59,35,40,84,77,660,195,Matches
Joachim Andersen,dk DEN,DF,26-292,21.4,1595,299,918,624,58,26,1595,7,4,57.1,3,42.9,870,4221,2156,5,4,2,8,2,1021,6,Matches
Jordan Ayew,gh GHA,"FW,MF",31-189,20.6,900,40,144,424,356,48,900,91,34,37.4,38,41.8,521,3182,1386,51,27,17,70,56,611,110,Matches
Michael Olise,fr FRA,"FW,MF",21-097,19.7,1173,17,159,490,544,47,1173,91,37,40.7,38,41.8,660,4010,2054,67,46,19,62,31,776,140,Matches
Eberechi Eze,eng ENG,"MF,FW",24-263,19.2,994,13,157,500,363,42,994,77,42,54.5,29,37.7,563,3320,1607,43,38,17,45,31,642,69,Matches
Nathaniel Clyne,eng ENG,DF,31-348,18.2,966,44,313,472,184,3,966,12,5,41.7,5,41.7,419,1767,896,14,10,1,12,3,527,29,Matches
Joel Ward,eng ENG,DF,33-141,14.6,823,81,348,328,151,11,823,6,4,66.7,1,16.7,332,1247,584,7,9,0,13,5,419,24,Matches
Odsonne Édouard,fr FRA,"FW,MF",25-062,13.5,474,21,54,232,193,60,474,33,10,30.3,21,63.6,243,1200,490,20,17,15,38,37,337,62,Matches
Jean-Philippe Mateta,fr FRA,FW,25-264,7.7,234,15,34,99,103,31,234,7,3,42.9,4,57.1,123,546,202,6,8,2,22,14,157,35,Matches
Albert Sambi Lokonga,be BEL,MF,23-148,5.2,293,19,103,153,38,0,293,5,1,20.0,2,40.0,151,736,341,2,2,0,3,4,186,2,Matches
Will Hughes,eng ENG,MF,27-336,4.4,226,13,54,113,64,6,226,2,0,0.0,2,100.0,101,531,309,6,4,1,6,4,111,9,Matches
Chris Richards,us USA,DF,22-356,4.0,208,41,109,80,19,5,208,0,0,,0,,82,327,162,2,1,0,2,1,105,1,Matches
Luka Milivojević,rs SRB,MF,31-346,3.9,221,18,80,106,38,1,221,0,0,,0,,115,477,152,1,2,0,3,5,126,2,Matches
James Tomkins,eng ENG,DF,33-355,2.7,160,22,111,45,4,1,160,1,1,100.0,0,0.0,87,326,189,1,1,0,2,1,103,1,Matches
Joseph Whitworth,eng ENG,GK,19-018,1.0,48,43,48,0,0,0,48,0,0,,0,,24,89,45,0,0,0,0,0,29,0,Matches
Naouirou Ahamada,fr FRA,"MF,FW",20-355,0.9,61,0,12,33,16,4,61,2,1,50.0,1,50.0,30,175,70,1,2,1,4,0,37,11,Matches
Jaïro Riedewald,nl NED,"DF,FW",26-191,0.5,42,6,16,16,10,0,42,0,0,,0,,17,73,46,1,1,0,0,0,22,1,Matches
Malcolm Ebiowei,eng ENG,"MF,FW",19-196,0.4,21,0,1,8,12,2,21,5,2,40.0,3,60.0,14,107,30,2,1,0,5,0,15,9,Matches
James McArthur,sct SCO,MF,35-163,0.1,9,0,2,6,1,0,9,0,0,,0,,6,26,13,0,0,0,1,1,8,0,Matches
David Ozoh,,FW,17-292,0.0,4,0,0,0,4,0,4,0,0,,0,,2,1,1,0,0,0,1,0,4,0,Matches
Squad Total,,,27.6,27.0,15131,1951,5591,6428,3272,460,15129,535,234,43.7,227,42.4,7917,39819,19524,348,264,126,459,330,9175,818,
Opponent Total,,,27.3,27.0,18459,1639,5588,8322,4697,751,18457,457,179,39.2,203,44.4,11238,57618,29830,466,401,107,427,302,12518,1238,
