Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
James Tarkowski,eng ENG,DF,30-138,29.0,1092,1336,81.7,22034,8522,361,410,88.0,584,663,88.1,140,242,57.9,1,1.8,1.6,-0.8,12,78,2,0,79,Matches
Alex Iwobi,ng NGA,"MF,FW",26-338,28.5,921,1207,76.3,16235,5066,434,508,85.4,348,436,79.8,111,174,63.8,6,4.0,3.2,2.0,47,106,43,12,143,Matches
Jordan Pickford,eng ENG,GK,29-030,28.0,581,992,58.6,19028,14714,131,132,99.2,185,189,97.9,258,660,39.1,1,0.1,0.3,0.9,2,40,1,0,1,Matches
Vitaliy Mykolenko,ua UKR,"DF,MF",23-312,24.0,835,1100,75.9,13297,5218,444,502,88.4,312,407,76.7,58,127,45.7,0,1.2,0.9,-1.2,17,77,21,11,88,Matches
Amadou Onana,be BEL,MF,21-233,23.9,700,844,82.9,11174,2484,370,418,88.5,261,303,86.1,48,72,66.7,1,2.1,1.5,-1.1,16,64,10,0,58,Matches
Demarai Gray,eng ENG,"FW,MF",26-282,23.3,515,744,69.2,8845,1961,253,285,88.8,180,236,76.3,63,159,39.6,1,3.5,3.6,-2.5,34,29,17,6,42,Matches
Idrissa Gana Gueye,sn SEN,MF,33-192,20.9,814,958,85.0,13179,3507,411,448,91.7,341,382,89.3,47,81,58.0,1,1.0,0.7,0.0,8,85,4,0,76,Matches
Conor Coady,eng ENG,DF,30-040,21.9,972,1149,84.6,20673,7966,268,286,93.7,548,588,93.2,148,257,57.6,1,0.3,0.5,0.7,4,71,3,1,40,Matches
Dwight McNeil,eng ENG,"FW,MF",23-135,18.8,446,661,67.5,7477,2275,232,274,84.7,145,194,74.7,52,126,41.3,2,3.7,3.4,-1.7,29,30,19,10,46,Matches
Séamus Coleman,ie IRL,DF,34-177,17.0,532,699,76.1,8579,3422,273,312,87.5,212,266,79.7,37,88,42.0,0,0.3,0.5,-0.3,2,31,13,6,50,Matches
Anthony Gordon,eng ENG,FW,22-041,12.2,193,280,68.9,2905,625,110,135,81.5,66,89,74.2,11,27,40.7,0,0.6,0.5,-0.6,8,8,11,2,19,Matches
Abdoulaye Doucouré,ml MLI,MF,30-095,11.0,312,395,79.0,4122,979,184,223,82.5,107,127,84.3,5,10,50.0,2,1.3,0.8,0.7,13,21,7,0,31,Matches
