Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
James Tarkowski,eng ENG,DF,30-138,29.0,1,22,7,31.8,0.76,0.24,0.05,0.14,9.0,0,0,0,2.0,2.0,0.09,-1.0,-1.0,Matches
Alex Iwobi,ng NGA,"MF,FW",26-338,28.5,1,26,9,34.6,0.91,0.32,0.04,0.11,20.4,0,0,0,1.9,1.9,0.07,-0.9,-0.9,Matches
Jordan Pickford,eng ENG,GK,29-030,28.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Vitaliy Mykolenko,ua UKR,"DF,MF",23-312,24.0,0,9,3,33.3,0.37,0.12,0.0,0.0,21.5,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Amadou Onana,be BEL,MF,21-233,23.9,1,30,6,20.0,1.26,0.25,0.03,0.17,16.5,0,0,0,2.7,2.7,0.09,-1.7,-1.7,Matches
Demarai Gray,eng ENG,"FW,MF",26-282,23.3,4,46,19,41.3,1.97,0.81,0.04,0.11,20.1,7,2,2,5.3,3.7,0.08,-1.3,-1.7,Matches
Idrissa Gana Gueye,sn SEN,MF,33-192,20.9,0,6,3,50.0,0.29,0.14,0.0,0.0,24.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Conor Coady,eng ENG,DF,30-040,21.9,1,4,2,50.0,0.18,0.09,0.25,0.5,8.5,0,0,0,0.8,0.8,0.21,0.2,0.2,Matches
Dwight McNeil,eng ENG,"FW,MF",23-135,18.8,3,26,5,19.2,1.39,0.27,0.12,0.6,19.9,1,0,0,1.3,1.3,0.05,1.7,1.7,Matches
Séamus Coleman,ie IRL,DF,34-177,17.0,1,5,1,20.0,0.29,0.06,0.2,1.0,20.5,0,0,0,0.3,0.3,0.06,0.7,0.7,Matches
Anthony Gordon,eng ENG,FW,22-041,12.2,3,26,16,61.5,2.14,1.32,0.12,0.19,16.6,1,0,0,3.3,3.3,0.13,-0.3,-0.3,Matches
Abdoulaye Doucouré,ml MLI,MF,30-095,11.0,2,12,3,25.0,1.09,0.27,0.17,0.67,11.4,0,0,0,1.5,1.5,0.12,0.5,0.5,Matches
Nathan Patterson,sct SCO,"DF,MF",21-172,11.0,0,8,1,12.5,0.73,0.09,0.0,0.0,18.2,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Neal Maupay,fr FRA,FW,26-235,10.5,1,27,11,40.7,2.57,1.05,0.04,0.09,15.0,0,0,0,3.8,3.8,0.14,-2.8,-2.8,Matches
Dominic Calvert-Lewin,eng ENG,FW,26-021,8.1,1,16,4,25.0,1.97,0.49,0.06,0.25,10.7,0,0,0,2.9,2.9,0.18,-1.9,-1.9,Matches
Ben Godfrey,eng ENG,DF,25-081,6.7,0,5,0,0.0,0.75,0.0,0.0,,13.6,0,0,0,1.2,1.2,0.23,-1.2,-1.2,Matches
Michael Keane,eng ENG,DF,30-085,5.3,1,8,3,37.5,1.52,0.57,0.13,0.33,14.7,0,0,0,0.9,0.9,0.11,0.1,0.1,Matches
Tom Davies,eng ENG,MF,24-280,5.4,0,9,2,22.2,1.67,0.37,0.0,0.0,15.7,0,0,0,1.2,1.2,0.13,-1.2,-1.2,Matches
Mason Holgate,eng ENG,"DF,MF",26-166,4.1,0,3,0,0.0,0.74,0.0,0.0,,14.0,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches
Yerry Mina,co COL,DF,28-195,2.6,1,3,2,66.7,1.15,0.77,0.33,0.5,12.4,0,0,0,0.2,0.2,0.08,0.8,0.8,Matches
Ellis Simms,eng ENG,FW,22-091,1.4,1,4,1,25.0,2.81,0.7,0.25,1.0,17.6,0,0,0,0.5,0.5,0.11,0.5,0.5,Matches
Salomón Rondón,ve VEN,FW,33-202,1.2,0,4,1,25.0,3.3,0.83,0.0,0.0,19.3,0,0,0,0.8,0.8,0.2,-0.8,-0.8,Matches
Asmir Begović,ba BIH,GK,35-290,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
James Garner,eng ENG,MF,22-024,1.7,0,2,1,50.0,1.21,0.6,0.0,0.0,22.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Dele Alli,eng ENG,MF,26-360,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Isaac Price,nir NIR,MF,19-192,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rúben Vinagre,pt POR,"DF,MF",23-362,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Thomas Cannon,ie IRL,FW,20-099,0.3,0,1,1,100.0,3.6,3.6,0.0,0.0,10.8,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Squad Total,,,27.3,29.0,22,302,101,33.4,10.41,3.48,0.07,0.2,16.7,9,2,2,31.5,29.9,0.1,-9.5,-9.9,
Opponent Total,,,27.2,29.0,41,427,133,31.1,14.72,4.59,0.08,0.27,16.3,12,5,5,48.3,44.5,0.11,-7.3,-8.5,
