Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Brennan Johnson,wls WAL,"FW,MF",21-315,25.6,45,1.76,28,0,5,7,4,1,8,0.31,3,0,1,3,1,0,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",23-066,23.3,93,3.99,59,19,7,4,2,2,8,0.34,3,3,1,1,0,0,Matches
Remo Freuler,ch SUI,MF,30-353,21.1,28,1.33,26,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Dean Henderson,eng ENG,GK,26-022,18.0,3,0.17,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Renan Lodi,br BRA,DF,24-360,17.3,21,1.22,16,3,0,1,1,0,1,0.06,0,0,0,1,0,0,Matches
Ryan Yates,eng ENG,MF,25-133,16.6,22,1.33,16,0,0,4,2,0,3,0.18,1,0,0,2,0,0,Matches
Scott McKenna,sct SCO,DF,26-142,16.2,9,0.55,9,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
Joe Worrall,eng ENG,DF,26-083,18.2,12,0.66,10,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Serge Aurier,ci CIV,DF,30-100,15.9,22,1.38,18,1,0,0,2,1,0,0.0,0,0,0,0,0,0,Matches
Neco Williams,wls WAL,DF,21-355,16.2,32,1.97,19,4,4,1,2,2,2,0.12,1,0,0,1,0,0,Matches
Jesse Lingard,eng ENG,"FW,MF",30-109,10.2,25,2.45,18,1,2,3,1,0,2,0.2,1,0,0,1,0,0,Matches
Orel Mangala,be BEL,MF,25-016,9.4,9,0.96,8,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Steve Cook,eng ENG,DF,31-349,10.6,6,0.56,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Taiwo Awoniyi,ng NGA,FW,25-234,8.2,17,2.08,12,0,1,1,2,1,1,0.12,0,0,0,1,0,0,Matches
Cheikhou Kouyaté,sn SEN,"MF,DF",33-103,7.9,7,0.89,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Keylor Navas,cr CRC,GK,36-109,8.0,2,0.25,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Willy Boly,ci CIV,DF,32-059,6.6,5,0.76,5,0,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches
Harry Toffolo,eng ENG,DF,27-227,7.8,17,2.19,12,3,1,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Felipe,br BRA,DF,33-322,6.9,4,0.58,3,0,0,1,0,0,1,0.14,1,0,0,0,0,0,Matches
Lewis O'Brien,eng ENG,MF,24-171,6.5,21,3.24,14,0,1,1,3,2,0,0.0,0,0,0,0,0,0,Matches
Emmanuel Dennis,ng NGA,"FW,MF",25-139,6.9,23,3.35,13,1,2,1,5,1,2,0.29,1,0,0,0,1,0,Matches
Jonjo Shelvey,eng ENG,MF,31-035,4.9,12,2.45,8,3,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Chris Wood,nz NZL,FW,31-117,4.1,6,1.45,4,0,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Jack Colback,eng ENG,MF,33-161,5.5,3,0.54,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Moussa Niakhate,sn SEN,DF,27-026,3.8,3,0.79,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Danilo,br BRA,MF,21-339,2.6,8,3.09,7,0,1,0,0,0,2,0.77,1,0,1,0,0,0,Matches
Wayne Hennessey,wls WAL,GK,36-069,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gustavo Scarpa,br BRA,"MF,FW",29-088,1.8,9,5.03,3,1,1,1,2,1,0,0.0,0,0,0,0,0,0,Matches
Sam Surridge,eng ENG,FW,24-249,3.1,4,1.28,3,0,0,1,0,0,1,0.32,1,0,0,0,0,0,Matches
André Ayew,gh GHA,FW,33-107,2.5,2,0.79,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Giulian Biancone,fr FRA,DF,23-003,0.2,1,5.29,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alexander Mighten,eng ENG,FW,20-357,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Cafú,pt POR,MF,30-036,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.2,28.0,471,16.82,337,39,25,29,29,12,33,1.18,15,3,3,10,2,0,
Opponent Total,,,27.7,28.0,721,25.75,527,63,33,51,40,7,88,3.14,68,5,2,7,4,2,
