Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Tim Ream,us USA,DF,35-183,28,2517.0,90.0,99.9,28.0,28,90.0,27,0,,0,1.39,39.0,39.0,0.0,0.0,0.0,34.4,47.5,-13.1,-0.47,-3.3,Matches
Andreas Pereira,br BRA,MF,27-095,28,2321.0,83.0,92.1,25.8,28,83.0,7,0,,0,1.39,37.0,34.0,3.0,0.12,1.47,31.8,40.9,-9.1,-0.35,1.43,Matches
Harrison Reed,eng ENG,MF,28-069,27,2198.0,81.0,87.2,24.4,27,81.0,15,0,,0,1.44,33.0,35.0,-2.0,-0.08,-0.64,29.6,42.1,-12.6,-0.51,-0.38,Matches
Bernd Leno,de GER,GK,31-033,26,2340.0,90.0,92.9,26.0,26,90.0,26,0,,2,1.42,37.0,37.0,0.0,0.0,0.0,31.8,45.4,-13.7,-0.53,-0.83,Matches
Bobby Reid,jm JAM,"FW,DF",30-063,27,2126.0,79.0,84.4,23.6,26,81.0,11,1,16.0,0,1.44,32.0,33.0,-1.0,-0.04,-0.27,28.3,39.7,-11.5,-0.49,-0.13,Matches
João Palhinha,pt POR,MF,27-271,25,2222.0,89.0,88.2,24.7,25,89.0,21,0,,0,1.56,35.0,29.0,6.0,0.24,2.06,30.4,39.6,-9.2,-0.37,0.8,Matches
Antonee Robinson,us USA,DF,25-241,25,2188.0,88.0,86.8,24.3,25,88.0,24,0,,0,1.44,34.0,30.0,4.0,0.16,1.25,31.4,38.1,-6.7,-0.27,1.46,Matches
Kenny Tete,nl NED,DF,27-179,22,1849.0,84.0,73.4,20.5,21,87.0,14,1,15.0,0,1.45,26.0,24.0,2.0,0.1,0.37,23.1,32.8,-9.7,-0.47,-0.03,Matches
Aleksandar Mitrović,rs SRB,FW,28-202,21,1813.0,86.0,71.9,20.1,21,86.0,13,0,,0,1.52,29.0,26.0,3.0,0.15,0.53,27.7,30.7,-3.0,-0.15,1.13,Matches
Willian,br BRA,FW,34-240,19,1459.0,77.0,57.9,16.2,17,81.0,4,2,38.0,0,1.63,24.0,12.0,12.0,0.74,1.76,21.6,23.0,-1.5,-0.09,0.89,Matches
Issa Diop,fr FRA,DF,26-087,19,1506.0,79.0,59.8,16.7,16,90.0,15,3,22.0,8,1.32,23.0,19.0,4.0,0.24,0.59,21.8,25.8,-4.1,-0.24,0.55,Matches
Tosin Adarabioyo,eng ENG,DF,25-194,15,1185.0,79.0,47.0,13.2,13,90.0,13,2,8.0,13,1.53,20.0,25.0,-5.0,-0.38,-0.72,14.8,26.6,-11.8,-0.9,-0.81,Matches
Neeskens Kebano,cd COD,FW,31-027,12,713.0,59.0,28.3,7.9,9,74.0,1,3,17.0,0,1.33,13.0,9.0,4.0,0.5,0.7,10.6,11.2,-0.6,-0.08,0.54,Matches
Carlos Vinícius,br BRA,FW,28-012,19,652.0,34.0,25.9,7.2,6,87.0,4,13,10.0,4,1.26,11.0,13.0,-2.0,-0.28,-0.37,7.0,14.6,-7.6,-1.04,-0.78,Matches
Harry Wilson,wls WAL,FW,26-015,19,456.0,24.0,18.1,5.1,4,64.0,0,15,13.0,1,1.32,5.0,5.0,0.0,0.0,0.0,5.7,8.1,-2.4,-0.48,-0.01,Matches
Daniel James,wls WAL,FW,25-147,14,398.0,28.0,15.8,4.4,3,63.0,0,11,19.0,8,1.14,6.0,14.0,-8.0,-1.81,-2.15,5.1,11.8,-6.7,-1.52,-1.26,Matches
Manor Solomon,il ISR,FW,23-256,10,371.0,37.0,14.7,4.1,3,79.0,1,7,19.0,2,1.2,6.0,8.0,-2.0,-0.49,-0.57,4.4,8.2,-3.8,-0.93,-0.54,Matches
Saša Lukić,rs SRB,MF,26-236,5,219.0,44.0,8.7,2.4,2,82.0,1,3,18.0,1,0.8,2.0,5.0,-3.0,-1.23,-1.35,2.3,4.8,-2.5,-1.01,-0.6,Matches
