Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Illan Meslier,fr FRA,GK,23-017,27.0,4,0.15,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Robin Koch,de GER,DF,26-245,25.5,8,0.31,5,2,0,1,0,0,1,0.04,1,0,0,0,0,0,Matches
Tyler Adams,us USA,MF,24-033,24.0,43,1.79,42,0,0,0,1,0,1,0.04,1,0,0,0,0,0,Matches
Brenden Aaronson,us USA,"MF,FW",22-148,21.6,76,3.51,49,11,6,3,6,1,6,0.28,3,0,0,1,1,1,Matches
Jack Harrison,eng ENG,"FW,MF",26-119,20.4,83,4.07,47,21,4,4,5,2,7,0.34,4,1,1,1,0,0,Matches
Marc Roca,es ESP,MF,26-113,18.0,29,1.61,22,5,0,0,1,1,3,0.17,1,1,0,0,1,0,Matches
Pascal Struijk,nl NED,DF,23-220,18.7,28,1.49,21,3,0,3,0,1,2,0.11,0,0,0,2,0,0,Matches
Rodrigo,es ESP,"FW,MF",32-013,14.9,30,2.01,21,0,3,6,0,0,2,0.13,1,0,0,1,0,0,Matches
Luke Ayling,eng ENG,DF,31-206,13.8,21,1.52,19,0,0,1,1,0,1,0.07,1,0,0,0,0,0,Matches
Rasmus Nissen,dk DEN,DF,25-251,13.4,22,1.64,18,1,2,1,0,0,3,0.22,2,0,1,0,0,0,Matches
Liam Cooper,sct SCO,DF,31-201,12.3,12,0.98,10,1,0,1,0,0,3,0.24,3,0,0,0,0,0,Matches
Degnand Gnonto,it ITA,"FW,MF",19-134,11.8,41,3.47,24,3,4,3,7,0,6,0.51,5,1,0,0,0,0,Matches
Patrick Bamford,eng ENG,FW,29-195,10.6,19,1.79,13,0,1,2,2,1,4,0.38,3,0,1,0,0,0,Matches
Crysencio Summerville,nl NED,FW,21-140,11.3,33,2.91,20,1,1,2,7,2,5,0.44,3,0,0,0,1,1,Matches
Maximilian Wöber,at AUT,DF,25-043,8.8,10,1.14,6,2,0,2,0,0,1,0.11,1,0,0,0,0,0,Matches
Luis Sinisterra,co COL,FW,23-275,6.0,22,3.68,17,0,2,1,2,0,1,0.17,0,0,1,0,0,0,Matches
Junior Firpo,es ESP,DF,26-209,8.2,14,1.71,12,1,0,0,1,0,1,0.12,1,0,0,0,0,0,Matches
Diego Llorente,es ESP,DF,29-215,7.2,6,0.83,5,0,0,1,0,0,1,0.14,1,0,0,0,0,0,Matches
Weston McKennie,us USA,MF,24-203,6.4,9,1.4,8,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Sam Greenwood,eng ENG,"MF,FW",21-052,3.8,21,5.59,4,16,0,1,0,0,3,0.8,0,2,0,1,0,0,Matches
Daniel James,wls WAL,FW,25-129,2.2,4,1.82,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Adam Forshaw,eng ENG,MF,31-162,1.8,4,2.26,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Joe Gelhardt,eng ENG,FW,20-319,2.4,4,1.7,4,0,0,0,0,0,2,0.85,2,0,0,0,0,0,Matches
Georginio Rutter,fr FRA,"FW,MF",20-333,2.1,4,1.93,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Cody Drameh,eng ENG,DF,21-101,0.8,1,1.3,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mateusz Klich,pl POL,"MF,FW",32-279,3.1,7,2.26,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mateo Fernández,es ESP,"FW,MF",19-151,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Darko Gyabi,eng ENG,FW,19-029,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,25.7,27.0,555,20.56,386,70,23,33,35,8,53,1.96,33,5,4,6,3,2,
Opponent Total,,,27.3,27.0,632,23.41,442,60,47,42,30,11,77,2.85,51,4,10,5,5,2,
