Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Illan Meslier,fr FRA,GK,23-017,27.0,3,0,0,1,3,0,0,1,0,0,0,0,26,8,2,80.0,Matches
Robin Koch,de GER,DF,26-245,25.5,5,0,0,28,13,0,1,37,23,0,0,1,133,73,39,65.2,Matches
Tyler Adams,us USA,MF,24-033,24.0,6,1,1,37,21,1,2,35,46,0,0,0,199,25,15,62.5,Matches
Brenden Aaronson,us USA,"MF,FW",22-148,21.6,2,0,0,12,47,5,56,2,13,0,0,0,108,7,29,19.4,Matches
Jack Harrison,eng ENG,"FW,MF",26-119,20.4,2,0,0,27,30,2,130,11,14,0,0,0,122,4,31,11.4,Matches
Marc Roca,es ESP,MF,26-113,18.0,5,0,0,25,16,0,41,21,29,0,0,0,113,14,10,58.3,Matches
Pascal Struijk,nl NED,DF,23-220,18.7,4,0,0,25,11,0,17,26,45,0,1,0,102,45,34,57.0,Matches
Rodrigo,es ESP,"FW,MF",32-013,14.9,3,0,0,18,4,7,13,4,4,0,0,0,40,20,42,32.3,Matches
Luke Ayling,eng ENG,DF,31-206,13.8,2,0,0,8,23,1,32,14,22,0,0,0,86,31,34,47.7,Matches
Rasmus Nissen,dk DEN,DF,25-251,13.4,4,0,0,16,4,1,27,21,24,0,0,0,67,20,16,55.6,Matches
Liam Cooper,sct SCO,DF,31-201,12.3,2,0,0,9,8,0,0,25,19,0,0,0,81,46,27,63.0,Matches
Degnand Gnonto,it ITA,"FW,MF",19-134,11.8,4,0,0,20,31,3,35,4,14,0,0,0,64,5,14,26.3,Matches
Patrick Bamford,eng ENG,FW,29-195,10.6,1,0,0,15,14,9,1,4,5,0,0,0,24,20,29,40.8,Matches
Crysencio Summerville,nl NED,FW,21-140,11.3,2,0,0,16,31,6,14,8,16,1,0,0,73,4,10,28.6,Matches
Maximilian Wöber,at AUT,DF,25-043,8.8,1,0,0,4,1,1,1,17,13,0,0,0,52,14,11,56.0,Matches
Luis Sinisterra,co COL,FW,23-275,6.0,3,1,1,9,9,3,4,6,9,0,1,0,36,10,9,52.6,Matches
Junior Firpo,es ESP,DF,26-209,8.2,4,0,0,17,4,0,8,13,15,0,0,0,54,7,10,41.2,Matches
Diego Llorente,es ESP,DF,29-215,7.2,1,0,0,6,2,0,1,15,10,0,0,0,57,18,7,72.0,Matches
Weston McKennie,us USA,MF,24-203,6.4,4,0,0,6,1,1,3,9,5,0,0,0,39,12,8,60.0,Matches
Sam Greenwood,eng ENG,"MF,FW",21-052,3.8,1,0,0,8,2,0,36,1,7,0,0,0,27,1,3,25.0,Matches
Daniel James,wls WAL,FW,25-129,2.2,0,0,0,2,6,0,6,2,2,0,0,0,7,0,4,0.0,Matches
Adam Forshaw,eng ENG,MF,31-162,1.8,0,0,0,2,3,0,4,0,1,0,0,0,10,0,1,0.0,Matches
Joe Gelhardt,eng ENG,FW,20-319,2.4,1,0,0,6,8,0,1,0,2,0,0,0,9,5,11,31.3,Matches
Georginio Rutter,fr FRA,"FW,MF",20-333,2.1,0,0,0,4,4,1,0,3,7,0,0,0,4,8,6,57.1,Matches
Cody Drameh,eng ENG,DF,21-101,0.8,0,0,0,1,0,0,1,1,4,0,0,0,5,1,0,100.0,Matches
Mateusz Klich,pl POL,"MF,FW",32-279,3.1,2,0,0,10,3,0,8,0,8,0,0,0,24,1,2,33.3,Matches
Mateo Fernández,es ESP,"FW,MF",19-151,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Darko Gyabi,eng ENG,FW,19-029,0.1,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,,Matches
Squad Total,,,25.7,27.0,62,2,2,332,300,41,442,280,359,1,2,1,1565,399,404,49.7,
Opponent Total,,,27.3,27.0,53,3,1,313,324,53,449,298,314,2,2,2,1611,404,399,50.3,
