Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Illan Meslier,fr FRA,GK,23-017,27.0,0,1,1,100.0,0.04,0.04,0.0,0.0,9.0,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
Robin Koch,de GER,DF,26-245,25.5,0,8,1,12.5,0.31,0.04,0.0,0.0,10.8,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
Tyler Adams,us USA,MF,24-033,24.0,0,4,0,0.0,0.17,0.0,0.0,,27.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Brenden Aaronson,us USA,"MF,FW",22-148,21.6,1,35,6,17.1,1.62,0.28,0.03,0.17,19.1,2,0,0,2.9,2.9,0.08,-1.9,-1.9,Matches
Jack Harrison,eng ENG,"FW,MF",26-119,20.4,3,26,9,34.6,1.28,0.44,0.12,0.33,18.1,2,0,0,3.2,3.2,0.12,-0.2,-0.2,Matches
Marc Roca,es ESP,MF,26-113,18.0,1,21,6,28.6,1.17,0.33,0.05,0.17,23.2,2,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches
Pascal Struijk,nl NED,DF,23-220,18.7,2,13,6,46.2,0.69,0.32,0.15,0.33,12.4,0,0,0,1.2,1.2,0.09,0.8,0.8,Matches
Rodrigo,es ESP,"FW,MF",32-013,14.9,11,53,20,37.7,3.55,1.34,0.19,0.5,16.3,2,1,1,6.9,6.1,0.12,4.1,3.9,Matches
Luke Ayling,eng ENG,DF,31-206,13.8,1,15,4,26.7,1.09,0.29,0.07,0.25,13.7,0,0,0,1.9,1.9,0.12,-0.9,-0.9,Matches
Rasmus Nissen,dk DEN,DF,25-251,13.4,1,8,2,25.0,0.6,0.15,0.13,0.5,14.1,0,0,0,0.4,0.4,0.05,0.6,0.6,Matches
Liam Cooper,sct SCO,DF,31-201,12.3,1,9,2,22.2,0.73,0.16,0.11,0.5,8.9,0,0,0,1.0,1.0,0.11,0.0,0.0,Matches
Degnand Gnonto,it ITA,"FW,MF",19-134,11.8,2,17,7,41.2,1.44,0.59,0.12,0.29,18.5,0,0,0,1.4,1.4,0.08,0.6,0.6,Matches
Patrick Bamford,eng ENG,FW,29-195,10.6,2,30,13,43.3,2.82,1.22,0.07,0.15,15.1,1,0,1,5.6,4.8,0.16,-3.6,-2.8,Matches
Crysencio Summerville,nl NED,FW,21-140,11.3,4,21,8,38.1,1.86,0.71,0.19,0.5,14.7,0,0,0,2.4,2.4,0.11,1.6,1.6,Matches
Maximilian Wöber,at AUT,DF,25-043,8.8,0,7,1,14.3,0.8,0.11,0.0,0.0,14.0,1,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
Luis Sinisterra,co COL,FW,23-275,6.0,2,13,5,38.5,2.17,0.84,0.15,0.4,17.3,0,0,0,1.8,1.8,0.14,0.2,0.2,Matches
Junior Firpo,es ESP,DF,26-209,8.2,1,1,1,100.0,0.12,0.12,1.0,1.0,10.9,0,0,0,0.1,0.1,0.07,0.9,0.9,Matches
Diego Llorente,es ESP,DF,29-215,7.2,0,6,0,0.0,0.83,0.0,0.0,,12.5,0,0,0,0.7,0.7,0.12,-0.7,-0.7,Matches
Weston McKennie,us USA,MF,24-203,6.4,0,5,0,0.0,0.78,0.0,0.0,,13.7,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
Sam Greenwood,eng ENG,"MF,FW",21-052,3.8,1,11,2,18.2,2.92,0.53,0.09,0.5,24.3,5,0,0,0.6,0.6,0.06,0.4,0.4,Matches
Daniel James,wls WAL,FW,25-129,2.2,0,3,1,33.3,1.36,0.45,0.0,0.0,17.6,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
Adam Forshaw,eng ENG,MF,31-162,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Joe Gelhardt,eng ENG,FW,20-319,2.4,0,10,2,20.0,4.25,0.85,0.0,0.0,23.5,1,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
Georginio Rutter,fr FRA,"FW,MF",20-333,2.1,0,3,0,0.0,1.44,0.0,0.0,,13.8,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches
Cody Drameh,eng ENG,DF,21-101,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mateusz Klich,pl POL,"MF,FW",32-279,3.1,0,4,1,25.0,1.29,0.32,0.0,0.0,21.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Mateo Fernández,es ESP,"FW,MF",19-151,0.3,0,1,1,100.0,3.46,3.46,0.0,0.0,15.4,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
Darko Gyabi,eng ENG,FW,19-029,0.1,0,1,0,0.0,11.25,0.0,0.0,,17.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Squad Total,,,25.7,27.0,33,326,99,30.4,12.07,3.67,0.1,0.32,16.9,16,1,2,34.0,32.4,0.1,-1.0,-0.4,
Opponent Total,,,27.3,27.0,43,366,121,33.1,13.56,4.48,0.11,0.34,16.9,11,2,2,41.9,40.4,0.11,1.1,0.6,
