Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Timothy Castagne,be BEL,DF,27-122,27.2,1162,1450,80.1,16699,6443,718,809,88.8,356,449,79.3,53,98,54.1,3,1.9,1.7,1.1,16,75,15,8,83,Matches
Danny Ward,wls WAL,GK,29-288,26.0,708,945,74.9,16865,10488,197,199,99.0,352,355,99.2,158,383,41.3,0,0.0,0.0,0.0,0,7,0,0,0,Matches
Harvey Barnes,eng ENG,"FW,MF",25-118,24.6,451,647,69.7,5806,1655,301,383,78.6,112,168,66.7,14,33,42.4,1,2.1,1.7,-1.1,15,32,25,4,61,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,24-212,23.5,794,1060,74.9,13354,3513,404,477,84.7,284,356,79.8,80,154,51.9,2,2.8,2.1,-0.8,35,104,20,4,120,Matches
Wout Faes,be BEL,DF,25-003,22.0,1273,1470,86.6,23893,8125,450,499,90.2,713,771,92.5,100,173,57.8,1,0.5,0.5,0.5,7,58,5,0,56,Matches
James Maddison,eng ENG,"MF,FW",26-134,20.1,641,855,75.0,10942,3214,311,356,87.4,239,305,78.4,68,137,49.6,6,6.4,4.3,-0.4,51,90,21,3,113,Matches
Youri Tielemans,be BEL,MF,25-334,19.0,1021,1243,82.1,16948,5733,496,553,89.7,397,460,86.3,95,156,60.9,1,3.7,3.0,-2.7,24,128,26,7,143,Matches
Daniel Amartey,gh GHA,DF,28-106,16.9,971,1062,91.4,16732,6215,425,454,93.6,472,497,95.0,61,89,68.5,0,0.5,0.4,-0.5,5,57,1,0,65,Matches
James Justin,eng ENG,DF,25-042,13.9,667,819,81.4,10404,3063,371,408,90.9,239,282,84.8,39,81,48.1,0,0.3,0.5,-0.3,7,48,12,7,47,Matches
Wilfred Ndidi,ng NGA,"MF,DF",26-111,13.9,636,744,85.5,9750,2439,326,352,92.6,261,294,88.8,27,59,45.8,0,0.0,0.2,0.0,2,42,0,0,46,Matches
Jamie Vardy,eng ENG,FW,36-085,15.1,105,199,52.8,1478,312,54,89,60.7,35,65,53.8,5,13,38.5,4,0.8,0.5,3.2,11,7,5,1,12,Matches
Patson Daka,zm ZAM,FW,24-179,10.4,136,204,66.7,1707,372,81,108,75.0,41,60,68.3,2,5,40.0,3,2.4,1.3,0.6,12,6,7,1,15,Matches
Boubakary Soumaré,fr FRA,MF,24-038,10.3,483,547,88.3,7238,1909,268,286,93.7,177,204,86.8,22,27,81.5,0,0.2,0.2,-0.2,5,37,2,1,41,Matches
Jonny Evans,nir NIR,DF,35-093,9.0,603,675,89.3,12088,4606,172,186,92.5,361,381,94.8,64,91,70.3,0,0.0,0.1,0.0,1,40,1,0,31,Matches
Harry Souttar,au AUS,DF,24-166,9.0,410,496,82.7,7699,3012,132,144,91.7,245,278,88.1,29,59,49.2,1,0.2,0.1,0.8,2,36,1,0,27,Matches
Luke Thomas,eng ENG,DF,21-300,8.0,373,469,79.5,5783,2473,206,232,88.8,144,176,81.8,20,37,54.1,0,0.6,0.4,-0.6,3,27,3,1,37,Matches
Kelechi Iheanacho,ng NGA,"FW,MF",26-185,8.5,167,227,73.6,2103,368,117,142,82.4,34,44,77.3,6,14,42.9,4,3.0,1.1,1.0,15,11,5,0,18,Matches
Nampalys Mendy,sn SEN,MF,30-287,7.8,341,392,87.0,5258,1091,180,195,92.3,133,146,91.1,19,26,73.1,0,0.0,0.1,0.0,2,20,3,0,28,Matches
Tetê,br BRA,FW,23-050,5.5,108,163,66.3,1614,345,62,85,72.9,30,46,65.2,9,12,75.0,0,0.1,0.2,-0.1,3,11,2,1,15,Matches
Victor Bernth Kristiansen,dk DEN,DF,20-111,5.5,181,276,65.6,2834,1303,98,118,83.1,68,107,63.6,13,34,38.2,0,0.5,0.4,-0.5,4,13,1,0,17,Matches
Dennis Praet,be BEL,"MF,FW",28-327,6.0,164,224,73.2,2334,530,97,112,86.6,51,66,77.3,9,22,40.9,0,0.3,0.3,-0.3,2,7,4,1,14,Matches
Ayoze Pérez,es ESP,"MF,FW",29-251,4.2,118,171,69.0,1698,468,75,89,84.3,28,43,65.1,9,18,50.0,1,1.5,0.6,-0.5,11,13,6,0,20,Matches
Ricardo Pereira,pt POR,"DF,MF",29-182,3.7,207,256,80.9,3331,1275,105,120,87.5,89,103,86.4,9,18,50.0,1,0.4,0.6,0.6,5,23,9,3,24,Matches
Daniel Iversen,dk DEN,GK,25-261,3.0,66,105,62.9,1321,860,28,28,100.0,29,29,100.0,8,47,17.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Wesley Fofana,fr FRA,DF,22-110,2.0,117,140,83.6,1995,559,44,44,100.0,64,74,86.5,6,13,46.2,0,0.0,0.0,0.0,0,16,0,0,6,Matches
Marc Albrighton,eng ENG,"FW,MF",33-139,2.6,89,148,60.1,1440,551,48,60,80.0,23,34,67.6,12,34,35.3,0,0.9,0.4,-0.9,6,6,5,2,7,Matches
Çağlar Söyüncü,tr TUR,DF,26-318,0.9,39,49,79.6,667,208,17,18,94.4,21,26,80.8,1,5,20.0,0,0.0,0.0,0.0,0,2,0,0,3,Matches
Lewis Brunt,eng ENG,DF,22-151,0.3,17,21,81.0,283,57,7,8,87.5,10,11,90.9,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,27.0,29.0,12048,15057,80.0,202264,71187,5790,6554,88.3,5008,5830,85.9,938,1839,51.0,28,29.1,20.8,-1.1,244,916,179,44,1049,
Opponent Total,,,27.2,29.0,12381,15441,80.2,218021,73855,5565,6268,88.8,5280,6107,86.5,1215,2177,55.8,34,37.0,27.3,-3.0,309,973,252,62,1187,
