Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Danny Ward,wls WAL,GK,29-269,26,2340.0,90.0,100.0,26.0,26,90.0,26,0,,0,0.92,37.0,46.0,-9.0,-0.35,,32.9,43.1,-10.1,-0.39,,Matches
Timothy Castagne,be BEL,DF,27-103,25,2175.0,87.0,92.9,24.2,24,89.0,22,1,45.0,1,0.96,35.0,41.0,-6.0,-0.25,1.39,30.8,39.9,-9.1,-0.38,0.17,Matches
Harvey Barnes,eng ENG,"MF,FW",25-099,24,1946.0,81.0,83.2,21.6,23,84.0,16,1,25.0,0,0.96,31.0,34.0,-3.0,-0.14,1.23,27.9,36.0,-8.2,-0.38,0.08,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,24-193,24,1866.0,78.0,79.7,20.7,23,80.0,14,1,19.0,0,1.0,30.0,33.0,-3.0,-0.14,0.99,25.2,32.4,-7.2,-0.35,0.21,Matches
Wout Faes,be BEL,DF,24-349,20,1796.0,90.0,76.8,20.0,20,90.0,19,0,,0,1.15,29.0,30.0,-1.0,-0.05,1.27,26.9,32.7,-5.9,-0.29,0.42,Matches
Youri Tielemans,be BEL,MF,25-315,23,1708.0,74.0,73.0,19.0,19,84.0,11,4,30.0,0,0.91,28.0,34.0,-6.0,-0.32,0.11,22.6,31.4,-8.8,-0.47,-0.28,Matches
James Maddison,eng ENG,"MF,FW",26-115,19,1542.0,81.0,65.9,17.1,18,84.0,13,1,22.0,0,1.11,29.0,34.0,-5.0,-0.29,0.16,22.9,27.7,-4.8,-0.28,0.32,Matches
Daniel Amartey,gh GHA,DF,28-087,18,1430.0,79.0,61.1,15.9,16,87.0,14,2,22.0,6,0.83,19.0,25.0,-6.0,-0.38,-0.08,18.0,24.9,-6.9,-0.44,-0.12,Matches
James Justin,eng ENG,DF,25-023,14,1252.0,89.0,53.5,13.9,14,89.0,12,0,,0,1.0,23.0,25.0,-2.0,-0.14,0.44,15.9,20.8,-5.0,-0.36,0.07,Matches
Boubakary Soumaré,fr FRA,MF,24-019,17,907.0,53.0,38.8,10.1,12,65.0,2,5,24.0,1,0.94,11.0,16.0,-5.0,-0.5,-0.24,10.6,19.4,-8.7,-0.86,-0.77,Matches
Jamie Vardy,eng ENG,FW,36-066,26,1258.0,48.0,53.8,14.0,11,78.0,4,15,27.0,0,0.92,18.0,21.0,-3.0,-0.21,0.28,14.4,20.7,-6.4,-0.46,-0.14,Matches
Wilfred Ndidi,ng NGA,"MF,DF",26-092,17,997.0,59.0,42.6,11.1,11,79.0,6,6,21.0,3,0.76,16.0,25.0,-9.0,-0.81,-0.81,11.7,17.3,-5.6,-0.5,-0.2,Matches
Patson Daka,zm ZAM,FW,24-160,19,785.0,41.0,33.5,8.7,10,62.0,1,9,19.0,6,0.95,13.0,19.0,-6.0,-0.69,-0.51,11.9,14.4,-2.5,-0.28,0.16,Matches
Jonny Evans,nir NIR,DF,35-074,10,811.0,81.0,34.7,9.0,9,90.0,9,1,1.0,1,0.4,15.0,24.0,-9.0,-1.0,-1.0,10.1,14.8,-4.6,-0.52,-0.19,Matches
Luke Thomas,eng ENG,DF,21-281,10,691.0,69.0,29.5,7.7,8,85.0,6,2,7.0,15,1.0,7.0,15.0,-8.0,-1.04,-0.99,8.7,14.3,-5.5,-0.72,-0.46,Matches
Kelechi Iheanacho,ng NGA,"FW,MF",26-166,20,743.0,37.0,31.8,8.3,7,73.0,1,13,18.0,6,0.5,11.0,20.0,-9.0,-1.09,-1.09,14.6,17.4,-2.9,-0.35,0.07,Matches
Nampalys Mendy,sn SEN,MF,30-268,14,610.0,44.0,26.1,6.8,6,69.0,1,8,24.0,8,1.43,10.0,10.0,0.0,0.0,0.47,11.7,11.2,0.5,0.07,0.62,Matches
Harry Souttar,au AUS,DF,24-147,6,540.0,90.0,23.1,6.0,6,90.0,6,0,,0,1.0,9.0,11.0,-2.0,-0.33,0.02,10.2,11.0,-0.8,-0.13,0.34,Matches
Dennis Praet,be BEL,"MF,FW",28-308,15,514.0,34.0,22.0,5.7,5,50.0,0,10,27.0,8,1.33,8.0,7.0,1.0,0.18,0.67,6.0,9.4,-3.4,-0.6,-0.27,Matches
