Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Timothy Castagne,be BEL,DF,27-119,26.2,1722,114,602,724,403,45,1722,21,8,38.1,10,47.6,763,3106,1528,33,20,5,25,13,985,115,Matches
Danny Ward,wls WAL,GK,29-285,26.0,1000,806,996,5,0,0,1000,0,0,,0,,559,2832,1665,0,0,0,0,0,482,0,Matches
Harvey Barnes,eng ENG,"FW,MF",25-115,23.6,913,10,87,361,480,102,913,73,19,26.0,45,61.6,584,4021,2080,75,63,37,66,36,729,217,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,24-209,22.7,1333,40,251,714,391,43,1333,62,32,51.6,24,38.7,796,4558,2191,59,29,14,63,27,932,82,Matches
Wout Faes,be BEL,DF,25-000,21.0,1655,255,914,720,29,11,1655,7,4,57.1,3,42.9,962,4740,2564,7,2,0,13,3,1124,1,Matches
James Maddison,eng ENG,"MF,FW",26-131,19.1,1027,12,111,477,445,70,1027,59,20,33.9,22,37.3,686,3732,1648,47,28,18,33,19,788,106,Matches
Youri Tielemans,be BEL,MF,25-331,19.0,1436,40,332,817,303,10,1434,24,16,66.7,4,16.7,715,3054,1606,27,19,1,28,11,1004,47,Matches
Daniel Amartey,gh GHA,DF,28-103,16.9,1209,167,611,556,45,8,1209,5,2,40.0,2,40.0,741,3471,2111,21,11,0,7,4,873,5,Matches
James Justin,eng ENG,DF,25-039,13.9,980,48,296,475,216,8,980,19,4,21.1,11,57.9,417,1831,834,20,19,4,15,6,574,50,Matches
Wilfred Ndidi,ng NGA,"MF,DF",26-108,12.9,880,67,298,527,69,4,880,8,7,87.5,1,12.5,457,1934,861,9,12,0,11,7,549,4,Matches
Boubakary Soumaré,fr FRA,MF,24-035,10.3,656,26,206,410,50,0,656,6,4,66.7,2,33.3,344,1538,652,10,6,0,13,12,440,12,Matches
Patson Daka,zm ZAM,FW,24-176,10.2,315,11,29,125,164,42,315,15,7,46.7,6,40.0,151,834,376,14,8,7,37,16,207,61,Matches
Jamie Vardy,eng ENG,FW,36-082,14.3,311,23,39,123,151,53,311,16,5,31.3,9,56.3,137,663,240,12,6,10,22,13,186,79,Matches
Jonny Evans,nir NIR,DF,35-090,9.0,757,97,370,380,8,2,757,0,0,,0,,457,1886,1061,6,4,0,2,0,553,0,Matches
Luke Thomas,eng ENG,DF,21-297,8.0,562,25,224,271,71,3,562,8,4,50.0,3,37.5,245,999,441,7,5,1,5,5,293,7,Matches
Harry Souttar,au AUS,DF,24-163,8.0,534,76,283,240,15,11,534,4,2,50.0,0,0.0,326,1586,801,5,2,2,2,0,350,4,Matches
Kelechi Iheanacho,ng NGA,"FW,MF",26-182,8.5,335,7,18,141,180,44,335,31,14,45.2,16,51.6,210,1206,466,23,9,17,29,25,275,73,Matches
Tetê,br BRA,FW,23-047,5.5,232,4,35,114,88,24,232,21,13,61.9,7,33.3,137,915,467,19,8,11,14,9,145,37,Matches
Nampalys Mendy,sn SEN,MF,30-284,6.8,416,9,109,271,39,1,416,7,5,71.4,1,14.3,239,1134,377,2,5,0,4,1,289,4,Matches
Dennis Praet,be BEL,"MF,FW",28-324,6.0,284,11,52,137,100,11,284,12,5,41.7,6,50.0,148,801,307,13,6,1,7,8,179,36,Matches
Victor Bernth Kristiansen,dk DEN,DF,20-108,4.5,300,16,113,129,62,3,300,9,5,55.6,1,11.1,138,783,476,14,5,0,6,4,143,9,Matches
Ayoze Pérez,es ESP,"MF,FW",29-248,4.2,244,3,38,104,108,17,244,21,6,28.6,12,57.1,132,696,356,17,6,6,12,11,155,43,Matches
Ricardo Pereira,pt POR,"DF,MF",29-179,3.6,290,16,82,143,71,3,290,5,4,80.0,1,20.0,141,484,269,5,8,2,3,2,170,9,Matches
Wesley Fofana,fr FRA,DF,22-107,2.0,169,11,68,97,7,3,169,3,2,66.7,0,0.0,116,647,365,3,5,2,3,0,115,1,Matches
Daniel Iversen,dk DEN,GK,25-258,2.0,84,70,84,0,0,0,84,0,0,,0,,34,148,81,0,0,0,0,0,32,0,Matches
Marc Albrighton,eng ENG,"FW,MF",33-136,2.6,173,6,33,61,79,5,173,2,2,100.0,0,0.0,83,391,147,4,4,0,4,2,116,18,Matches
Çağlar Söyüncü,tr TUR,DF,26-315,0.9,57,11,37,20,0,0,57,0,0,,0,,34,162,104,1,0,0,0,0,41,0,Matches
Lewis Brunt,eng ENG,DF,22-148,0.3,23,1,8,12,3,0,23,0,0,,0,,9,30,4,0,0,0,0,0,13,2,Matches
Squad Total,,,27.0,28.0,17897,1982,6326,8154,3577,523,17895,438,190,43.4,186,42.5,9761,48182,24078,453,290,138,424,234,11742,1022,
Opponent Total,,,27.1,28.0,17858,1595,5602,7997,4423,655,17855,577,266,46.1,235,40.7,9885,52464,26984,500,377,126,391,277,11786,1126,
