Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Alisson,br BRA,GK,30-168,26.0,3,0.12,3,0,0,0,0,0,2,0.08,2,0,0,0,0,0,Matches
Mohamed Salah,eg EGY,FW,30-277,25.7,98,3.81,75,1,7,9,4,2,15,0.58,10,0,0,2,2,1,Matches
Trent Alexander-Arnold,eng ENG,DF,24-163,21.5,80,3.72,50,25,1,4,0,0,6,0.28,5,1,0,0,0,0,Matches
Virgil van Dijk,nl NED,DF,31-254,21.5,13,0.6,11,0,0,2,0,0,2,0.09,1,0,0,1,0,0,Matches
Andrew Robertson,sct SCO,DF,29-008,19.7,74,3.76,48,18,1,4,1,2,9,0.46,7,2,0,0,0,0,Matches
Fabinho,br BRA,MF,29-147,18.7,39,2.08,35,0,0,1,1,2,4,0.21,4,0,0,0,0,0,Matches
Harvey Elliott,eng ENG,"MF,FW",19-349,15.9,63,3.97,50,1,5,5,1,1,8,0.5,8,0,0,0,0,0,Matches
Darwin Núñez,uy URU,FW,23-268,15.0,47,3.14,30,1,4,7,5,0,2,0.13,2,0,0,0,0,0,Matches
Jordan Henderson,eng ENG,MF,32-275,14.0,38,2.71,34,1,0,2,0,1,2,0.14,2,0,0,0,0,0,Matches
Thiago Alcántara,es ESP,MF,31-342,12.8,39,3.04,31,0,3,1,1,3,2,0.16,2,0,0,0,0,0,Matches
Joe Gomez,eng ENG,DF,25-300,14.3,16,1.12,14,1,0,0,0,1,1,0.07,1,0,0,0,0,0,Matches
Roberto Firmino,br BRA,"FW,MF",31-168,11.5,41,3.58,31,0,4,6,0,0,7,0.61,4,0,1,2,0,0,Matches
Joël Matip,cm CMR,DF,31-223,9.1,12,1.31,12,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Cody Gakpo,nl NED,FW,23-316,7.3,20,2.74,13,0,2,2,1,2,2,0.27,2,0,0,0,0,0,Matches
Ibrahima Konaté,fr FRA,DF,23-298,7.2,7,0.97,5,0,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Luis Díaz,co COL,FW,26-065,6.8,20,2.94,13,0,4,1,2,0,4,0.59,2,0,2,0,0,0,Matches
James Milner,eng ENG,"DF,MF",37-074,8.0,32,4.02,23,4,3,2,0,0,3,0.38,2,1,0,0,0,0,Matches
Kostas Tsimikas,gr GRE,DF,26-311,6.0,22,3.68,9,11,0,2,0,0,4,0.67,3,1,0,0,0,0,Matches
Stefan Bajcetic,es ESP,MF,18-148,5.8,13,2.22,8,1,2,0,2,0,1,0.17,0,0,1,0,0,0,Matches
Diogo Jota,pt POR,"FW,MF",26-105,5.0,16,3.19,10,0,2,3,1,0,2,0.4,2,0,0,0,0,0,Matches
Fabio Carvalho,pt POR,"MF,FW",20-201,3.8,9,2.38,5,0,0,2,2,0,2,0.53,1,0,0,1,0,0,Matches
Alex Oxlade-Chamberlain,eng ENG,"FW,MF",29-216,3.5,9,2.59,8,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Naby Keïta,gn GUI,MF,28-037,3.3,12,3.67,10,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Curtis Jones,eng ENG,"MF,FW",22-048,2.2,10,4.62,7,0,1,1,0,1,1,0.46,1,0,0,0,0,0,Matches
Nathaniel Phillips,eng ENG,DF,25-363,0.7,1,1.36,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ben Doak,sct SCO,FW,17-128,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Bobby Clark,eng ENG,MF,18-040,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.1,26.0,734,28.23,536,64,39,58,22,15,79,3.04,61,5,4,6,2,1,
Opponent Total,,,27.3,26.0,447,17.19,330,41,27,24,22,3,46,1.77,32,1,7,3,3,0,
