Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Ederson,br BRA,GK,29-229,28.0,2,0,0,1,2,0,0,1,0,0,1,0,29,7,0,100.0,Matches
Rodri,es ESP,MF,26-285,25.8,4,0,0,37,14,3,6,27,36,0,0,0,255,62,26,70.5,Matches
Erling Haaland,no NOR,FW,22-256,23.5,4,0,0,27,17,7,9,2,2,1,0,0,28,33,37,47.1,Matches
Kevin De Bruyne,be BEL,MF,31-279,22.5,1,0,0,19,22,4,189,6,10,1,0,0,79,9,11,45.0,Matches
İlkay Gündoğan,de GER,MF,32-161,20.5,0,0,0,18,19,6,27,15,14,2,0,0,114,15,9,62.5,Matches
Bernardo Silva,pt POR,"MF,FW",28-236,19.9,3,0,0,22,13,2,57,14,22,1,0,0,97,2,8,20.0,Matches
Manuel Akanji,ch SUI,DF,27-258,19.1,2,0,0,17,7,0,4,14,17,0,0,0,104,15,25,37.5,Matches
Jack Grealish,eng ENG,"FW,MF",27-205,17.9,2,0,0,22,64,2,43,5,12,1,0,0,89,12,13,48.0,Matches
Nathan Aké,nl NED,DF,28-044,17.8,2,0,0,12,11,1,13,17,8,0,0,0,87,31,20,60.8,Matches
Phil Foden,eng ENG,FW,22-310,15.6,1,0,0,7,21,3,79,5,8,0,0,0,73,16,22,42.1,Matches
Rúben Dias,pt POR,DF,25-324,16.2,2,0,0,16,5,0,1,17,10,0,0,0,70,34,16,68.0,Matches
João Cancelo,pt POR,DF,28-311,14.2,3,1,0,13,18,4,45,19,21,0,2,0,80,27,11,71.1,Matches
John Stones,eng ENG,"DF,MF",28-310,15.1,1,0,0,8,7,1,5,6,10,0,0,1,69,22,12,64.7,Matches
Kyle Walker,eng ENG,DF,32-310,13.0,2,0,0,6,7,0,19,9,6,0,0,0,76,15,5,75.0,Matches
Riyad Mahrez,dz ALG,"FW,MF",32-041,12.8,2,0,0,8,29,5,62,5,7,0,0,0,51,5,9,35.7,Matches
Julián Álvarez,ar ARG,"FW,MF",23-062,9.3,0,0,0,15,8,2,11,1,8,0,0,0,23,5,14,26.3,Matches
Aymeric Laporte,es ESP,DF,28-311,6.2,0,0,0,1,3,0,4,2,2,0,0,0,33,16,11,59.3,Matches
Rico Lewis,eng ENG,"DF,MF",18-133,6.0,1,0,0,6,12,0,5,3,8,0,0,0,23,0,2,0.0,Matches
Sergio Gómez,es ESP,"DF,MF",22-211,1.6,0,0,0,0,0,0,5,2,2,0,0,0,6,1,2,33.3,Matches
Cole Palmer,eng ENG,"FW,MF",20-332,1.3,1,0,0,1,3,1,4,1,1,0,0,0,8,1,1,50.0,Matches
Kalvin Phillips,eng ENG,MF,27-122,0.7,1,0,0,4,0,0,0,2,3,0,0,0,6,0,1,0.0,Matches
Máximo Perrone,ar ARG,MF,20-086,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
Squad Total,,,27.9,28.0,34,1,0,260,282,41,588,173,207,6,3,1,1403,328,255,56.3,
Opponent Total,,,27.5,28.0,64,2,1,293,249,54,280,246,211,3,6,2,1212,255,328,43.7,
