Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Kieran Trippier,eng ENG,DF,32-199,28,28,2463.0,27.4,1.0,6.0,7.0,1.0,0.0,0.0,5.0,0.0,0.7,0.7,8.6,9.4,24.0,179.0,116.0,0.04,0.22,0.26,0.04,0.26,0.03,0.32,0.34,0.03,0.34,Matches
Nick Pope,eng ENG,GK,30-352,28,28,2451.0,27.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dan Burn,eng ENG,DF,30-332,28,27,2384.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.2,1.2,1.2,2.4,22.0,80.0,33.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.09,0.04,0.09,Matches
Fabian Schär,ch SUI,DF,31-107,26,26,2323.0,25.8,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,3.6,3.6,1.9,5.5,22.0,107.0,18.0,0.04,0.04,0.08,0.04,0.08,0.14,0.08,0.21,0.14,0.21,Matches
Sven Botman,nl NED,DF,23-084,26,25,2227.0,24.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1,1.1,1.0,2.1,7.0,65.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches
Sean Longstaff,eng ENG,MF,25-158,28,24,2197.0,24.4,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,2.9,2.9,2.9,5.8,19.0,108.0,95.0,0.04,0.12,0.16,0.04,0.16,0.12,0.12,0.24,0.12,0.24,Matches
Miguel Almirón,py PAR,FW,29-055,25,24,1978.0,22.0,11.0,1.0,12.0,11.0,0.0,0.0,2.0,0.0,6.1,6.1,1.6,7.7,62.0,106.0,206.0,0.5,0.05,0.55,0.5,0.55,0.28,0.07,0.35,0.28,0.35,Matches
Joe Willock,eng ENG,MF,23-229,27,23,1917.0,21.3,3.0,4.0,7.0,3.0,0.0,0.0,1.0,0.0,5.7,5.7,4.1,9.8,69.0,92.0,111.0,0.14,0.19,0.33,0.14,0.33,0.27,0.19,0.46,0.27,0.46,Matches
Joelinton,br BRA,"MF,FW",26-235,24,22,1963.0,21.8,4.0,1.0,5.0,4.0,0.0,0.0,11.0,0.0,5.1,5.1,1.9,6.9,47.0,94.0,115.0,0.18,0.05,0.23,0.18,0.23,0.23,0.09,0.32,0.23,0.32,Matches
Bruno Guimarães,br BRA,MF,25-141,22,22,1847.0,20.5,3.0,4.0,7.0,3.0,0.0,0.0,4.0,0.0,1.5,1.5,2.3,3.9,24.0,136.0,24.0,0.15,0.19,0.34,0.15,0.34,0.07,0.11,0.19,0.07,0.19,Matches
Callum Wilson,eng ENG,FW,31-038,21,16,1313.0,14.6,10.0,3.0,13.0,9.0,1.0,1.0,3.0,0.0,10.0,9.2,1.6,10.8,20.0,16.0,83.0,0.69,0.21,0.89,0.62,0.82,0.68,0.11,0.79,0.63,0.74,Matches
Allan Saint-Maximin,fr FRA,FW,26-025,20,11,997.0,11.1,1.0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,3.8,5.3,73.0,58.0,99.0,0.09,0.45,0.54,0.09,0.54,0.13,0.34,0.48,0.13,0.48,Matches
Jacob Murphy,eng ENG,FW,28-041,28,9,895.0,9.9,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,2.4,3.9,46.0,47.0,97.0,0.1,0.2,0.3,0.1,0.3,0.14,0.24,0.39,0.14,0.39,Matches
Alexander Isak,se SWE,FW,23-197,12,8,729.0,8.1,7.0,0.0,7.0,5.0,2.0,2.0,1.0,0.0,6.0,4.5,0.9,5.4,16.0,17.0,57.0,0.86,0.0,0.86,0.62,0.62,0.74,0.11,0.85,0.55,0.66,Matches
Chris Wood,nz NZL,FW,31-120,18,4,446.0,5.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.8,1.0,0.3,1.3,1.0,4.0,23.0,0.4,0.0,0.4,0.2,0.2,0.37,0.06,0.43,0.21,0.27,Matches
Matt Targett,eng ENG,DF,27-200,12,4,436.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,2.0,32.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Ryan Fraser,sct SCO,FW,29-041,8,3,313.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.4,0.7,8.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.2,0.09,0.2,Matches
Jamaal Lascelles,eng ENG,DF,29-146,5,2,197.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.0,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Anthony Gordon,eng ENG,"FW,MF",22-041,6,1,215.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.7,1.1,7.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.15,0.3,0.46,0.15,0.46,Matches
Elliot Anderson,sct SCO,"FW,MF",20-151,13,1,195.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,1.4,16.0,10.0,19.0,0.0,0.0,0.0,0.0,0.0,0.3,0.34,0.64,0.3,0.64,Matches
Martin Dúbravka,sk SVK,GK,34-081,1,0,67.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matt Ritchie,sct SCO,"FW,MF",33-208,5,0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.0,0.26,Matches
Jonjo Shelvey,eng ENG,MF,31-038,3,0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Javier Manquillo,es ESP,DF,28-336,2,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jamal Lewis,nir NIR,DF,25-071,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Emil Krafth,se SWE,DF,28-247,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Karl Darlow,eng ENG,GK,32-180,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Paul Dummett,wls WAL,DF,31-192,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Loris Karius,de GER,GK,29-288,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lewis Miley,eng ENG,MF,16-340,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.1,28,308,2520.0,28.0,45.0,30.0,75.0,41.0,4.0,4.0,48.0,1.0,48.5,45.4,36.1,81.6,487.0,1174.0,1161.0,1.61,1.07,2.68,1.46,2.54,1.73,1.29,3.02,1.62,2.91,
Opponent Total,,,27.7,28,308,2520.0,28.0,20.0,16.0,36.0,19.0,1.0,2.0,61.0,1.0,26.1,24.6,20.4,45.0,439.0,946.0,936.0,0.71,0.57,1.29,0.68,1.25,0.93,0.73,1.66,0.88,1.61,
