Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Gavin Bazunu,ie IRL,GK,21-026,27.0,0,0,0,1,2,0,0,1,0,0,1,0,32,10,0,100.0,Matches
James Ward-Prowse,eng ENG,MF,28-137,27.0,5,0,0,27,14,0,193,36,24,0,0,1,162,39,35,52.7,Matches
Mohammed Salisu,gh GHA,DF,23-335,21.0,5,0,0,25,3,1,13,30,28,0,0,1,152,54,26,67.5,Matches
Che Adams,sct SCO,FW,26-248,20.0,1,0,0,36,20,11,10,4,12,0,0,0,46,57,97,37.0,Matches
Mohamed Elyounoussi,no NOR,"MF,FW",28-226,18.5,3,0,0,27,13,3,27,19,17,0,0,0,111,27,35,43.5,Matches
Kyle Walker-Peters,eng ENG,DF,25-339,18.4,2,0,0,18,27,0,39,16,22,0,0,0,99,14,23,37.8,Matches
Romain Perraud,fr FRA,DF,25-177,16.9,3,0,0,25,12,3,71,17,24,0,0,1,71,9,21,30.0,Matches
Armel Bella Kotchap,de GER,DF,21-097,16.4,3,0,0,8,27,0,4,40,13,0,0,0,113,32,20,61.5,Matches
Roméo Lavia,be BEL,MF,19-071,14.2,6,0,0,14,34,0,1,18,19,0,0,0,119,4,3,57.1,Matches
Adam Armstrong,eng ENG,FW,26-036,12.3,1,0,0,14,7,2,14,4,7,0,0,0,46,4,16,20.0,Matches
Joe Aribo,ng NGA,"MF,FW",26-240,12.2,2,0,0,9,11,0,7,8,19,0,0,0,72,27,36,42.9,Matches
Ibrahima Diallo,fr FRA,MF,24-010,8.9,3,0,0,17,7,0,4,6,13,0,0,0,81,15,9,62.5,Matches
Stuart Armstrong,sct SCO,"MF,FW",30-353,10.4,5,0,0,13,14,1,18,4,12,0,0,0,55,6,6,50.0,Matches
Ainsley Maitland-Niles,eng ENG,"DF,MF",25-201,10.0,3,0,0,6,5,0,7,12,18,0,0,0,66,10,9,52.6,Matches
Jan Bednarek,pl POL,DF,26-340,8.8,1,0,0,10,2,0,1,21,13,0,0,1,51,20,9,69.0,Matches
Duje Ćaleta-Car,hr CRO,DF,26-182,8.0,1,0,0,7,1,0,1,13,7,0,0,0,41,10,11,47.6,Matches
Lyanco,br BRA,DF,26-045,7.8,4,0,0,11,6,0,3,13,10,0,0,0,60,19,9,67.9,Matches
Moussa Djenepo,ml MLI,"DF,FW",24-276,6.4,0,0,0,6,15,0,12,11,9,0,0,0,48,3,8,27.3,Matches
Kamaldeen Sulemana,gh GHA,FW,21-031,5.5,0,0,0,5,4,2,10,1,3,0,0,0,20,1,7,12.5,Matches
Samuel Edozie,eng ENG,"FW,MF",20-049,6.0,0,0,0,1,22,1,10,6,8,1,0,0,29,6,11,35.3,Matches
Carlos Alcaraz,ar ARG,MF,20-108,3.4,1,0,0,6,6,0,0,1,2,0,0,0,21,2,7,22.2,Matches
Sekou Mara,fr FRA,"FW,MF",20-231,4.8,1,0,0,19,6,3,0,1,9,0,0,0,22,18,33,35.3,Matches
Theo Walcott,eng ENG,"FW,MF",34-002,4.2,1,0,0,4,4,6,9,6,2,0,0,0,23,5,3,62.5,Matches
Paul Onuachu,ng NGA,FW,28-294,3.0,0,0,0,9,5,3,0,0,0,0,0,0,7,24,25,49.0,Matches
James Bree,eng ENG,DF,25-158,2.2,0,0,0,0,0,0,12,4,1,0,0,0,11,9,4,69.2,Matches
Juan Larios,es ESP,DF,19-065,1.7,0,0,0,1,0,0,4,3,6,0,0,0,9,2,5,28.6,Matches
Oriol Romeu,es ESP,MF,31-175,0.8,0,0,0,1,2,0,1,1,0,0,0,0,8,2,0,100.0,Matches
Yan Valery,tn TUN,DF,24-024,0.5,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,100.0,Matches
Jack Stephens,eng ENG,DF,29-050,0.5,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,100.0,Matches
Mislav Oršić,hr CRO,MF,30-079,0.1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,,Matches
Nathan Redmond,eng ENG,DF,29-012,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,25.1,27.0,51,0,0,321,269,37,473,297,301,1,1,4,1578,431,468,47.9,
Opponent Total,,,27.4,27.0,49,2,1,284,310,39,471,223,296,1,2,0,1569,468,431,52.1,
