Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Gavin Bazunu,ie IRL,GK,21-045,29.0,645,1056,61.1,19552,14898,161,163,98.8,229,235,97.4,254,651,39.0,0,0.1,0.1,-0.1,1,40,1,0,1,Matches
James Ward-Prowse,eng ENG,MF,28-156,29.0,1372,1757,78.1,23463,7198,654,728,89.8,551,652,84.5,129,291,44.3,2,5.1,4.2,-3.1,63,155,28,15,169,Matches
Che Adams,sct SCO,FW,26-267,20.8,303,460,65.9,4252,975,191,261,73.2,67,101,66.3,25,36,69.4,3,2.8,2.2,0.2,24,20,10,2,30,Matches
Mohamed Elyounoussi,no NOR,"MF,FW",28-245,19.9,362,540,67.0,5100,1393,229,292,78.4,92,144,63.9,25,48,52.1,1,2.0,1.5,-1.0,17,26,17,6,42,Matches
Mohammed Salisu,gh GHA,DF,23-354,21.9,879,1196,73.5,16118,7370,360,412,87.4,426,538,79.2,86,209,41.1,1,0.6,0.5,0.4,7,80,7,4,82,Matches
Kyle Walker-Peters,eng ENG,DF,25-358,20.4,708,940,75.3,10434,4199,418,465,89.9,228,313,72.8,39,86,45.3,0,1.0,2.0,-1.0,12,46,24,7,68,Matches
Romain Perraud,fr FRA,DF,25-196,18.9,595,839,70.9,8317,3202,362,425,85.2,189,254,74.4,24,83,28.9,2,1.8,1.8,0.2,14,45,14,7,58,Matches
Armel Bella Kotchap,de GER,DF,21-116,16.5,566,718,78.8,10551,3237,225,255,88.2,280,316,88.6,56,123,45.5,1,0.5,0.4,0.5,5,28,3,0,33,Matches
Roméo Lavia,be BEL,MF,19-090,16.2,582,673,86.5,10059,2663,256,286,89.5,266,290,91.7,47,62,75.8,0,0.4,0.5,-0.4,10,74,8,0,71,Matches
Adam Armstrong,eng ENG,FW,26-055,12.3,196,266,73.7,2895,542,106,126,84.1,63,80,78.8,12,19,63.2,1,0.7,0.7,0.3,10,12,9,2,15,Matches
Joe Aribo,ng NGA,"MF,FW",26-259,12.2,258,354,72.9,3266,860,178,227,78.4,55,76,72.4,9,12,75.0,0,0.8,0.4,-0.8,9,19,9,0,35,Matches
Stuart Armstrong,sct SCO,"MF,FW",31-007,11.9,410,518,79.2,6193,1780,226,262,86.3,145,173,83.8,23,38,60.5,0,1.7,2.2,-1.7,14,34,23,5,60,Matches
Jan Bednarek,pl POL,DF,26-359,10.1,413,495,83.4,7696,3110,160,187,85.6,199,220,90.5,47,71,66.2,0,0.1,0.2,-0.1,3,18,0,0,23,Matches
Ibrahima Diallo,fr FRA,MF,24-029,8.9,316,400,79.0,4763,1064,181,206,87.9,112,139,80.6,16,33,48.5,0,0.1,0.1,-0.1,4,24,2,0,28,Matches
Ainsley Maitland-Niles,eng ENG,"DF,MF",25-220,10.9,368,461,79.8,6103,2216,183,211,86.7,146,176,83.0,30,51,58.8,0,0.6,0.6,-0.6,7,41,7,3,41,Matches
Duje Ćaleta-Car,hr CRO,DF,26-201,9.0,409,479,85.4,8043,3098,131,146,89.7,230,245,93.9,44,76,57.9,0,0.0,0.1,0.0,1,23,0,0,28,Matches
Lyanco,br BRA,DF,26-064,7.8,242,343,70.6,4488,1641,96,107,89.7,111,150,74.0,25,68,36.8,0,0.1,0.1,-0.1,1,20,1,0,20,Matches
Moussa Djenepo,ml MLI,"DF,FW",24-295,6.4,157,213,73.7,2323,696,90,102,88.2,53,74,71.6,8,19,42.1,1,0.3,0.3,0.7,6,12,5,3,17,Matches
Kamaldeen Sulemana,gh GHA,"FW,MF",21-050,6.2,120,167,71.9,1838,400,59,74,79.7,41,48,85.4,10,22,45.5,0,0.4,0.4,-0.4,9,9,7,1,25,Matches
Samuel Edozie,eng ENG,"FW,MF",20-068,6.0,102,151,67.5,1197,337,70,87,80.5,19,31,61.3,4,9,44.4,0,0.3,0.4,-0.3,6,5,6,1,11,Matches
Theo Walcott,eng ENG,"FW,MF",34-021,6.0,88,137,64.2,1126,183,57,73,78.1,23,41,56.1,1,6,16.7,1,0.8,0.9,0.2,6,3,1,1,2,Matches
Sekou Mara,fr FRA,"FW,MF",20-250,5.6,64,99,64.6,840,162,40,53,75.5,14,17,82.4,4,7,57.1,2,0.8,0.3,1.2,6,6,2,0,7,Matches
Carlos Alcaraz,ar ARG,MF,20-127,4.0,99,123,80.5,1412,324,50,59,84.7,36,38,94.7,3,11,27.3,0,0.1,0.1,-0.1,2,9,3,0,12,Matches
Paul Onuachu,ng NGA,FW,28-313,3.2,47,68,69.1,658,136,31,38,81.6,7,12,58.3,5,6,83.3,0,0.1,0.1,-0.1,4,4,1,0,5,Matches
James Bree,eng ENG,DF,25-177,2.2,85,122,69.7,1275,472,52,67,77.6,21,31,67.7,8,15,53.3,0,0.2,0.2,-0.2,4,4,5,4,3,Matches
Juan Larios,es ESP,DF,19-084,1.7,63,82,76.8,881,326,40,46,87.0,21,27,77.8,2,4,50.0,0,0.0,0.0,0.0,0,5,0,0,4,Matches
Oriol Romeu,es ESP,MF,31-194,0.8,28,30,93.3,453,79,10,11,90.9,15,16,93.8,2,2,100.0,0,0.0,0.2,0.0,0,0,2,0,4,Matches
Yan Valery,tn TUN,DF,24-043,0.5,15,23,65.2,213,39,9,10,90.0,4,6,66.7,1,5,20.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Jack Stephens,eng ENG,DF,29-069,0.5,23,28,82.1,398,107,9,10,90.0,13,17,76.5,1,1,100.0,0,0.0,0.0,0.0,0,3,0,0,3,Matches
Mislav Oršić,hr CRO,MF,30-098,0.1,2,3,66.7,16,0,2,2,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Nathan Redmond,eng ENG,DF,29-031,0.0,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,25.2,29.0,9517,12742,74.7,163923,62707,4636,5391,86.0,3656,4461,82.0,940,2065,45.5,15,21.1,20.5,-6.1,245,766,195,61,897,
Opponent Total,,,27.5,29.0,12067,15402,78.3,213883,79010,5475,6315,86.7,5035,5952,84.6,1242,2256,55.1,37,31.9,27.6,5.1,273,959,261,72,1238,
