Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Harry Kane,eng ENG,FW,29-234,27.8,960,20,68,453,455,131,956,80,32,40.0,39,48.8,611,3371,1355,46,37,16,55,51,766,156,Matches
Pierre Højbjerg,dk DEN,MF,27-226,26.8,2086,101,526,1216,363,23,2086,25,19,76.0,5,20.0,1214,5639,2703,36,34,6,34,33,1537,60,Matches
Eric Dier,eng ENG,DF,29-063,25.3,1868,300,1099,709,68,22,1868,3,2,66.7,1,33.3,1139,5235,2442,6,8,1,9,3,1324,11,Matches
Son Heung-min,kr KOR,"MF,FW",30-254,22.5,899,7,99,329,490,73,899,56,22,39.3,27,48.2,532,3522,1843,64,45,19,49,42,627,150,Matches
Hugo Lloris,fr FRA,GK,36-083,21.0,682,623,681,1,0,0,682,0,0,,0,,374,2109,1296,0,0,0,2,0,303,0,Matches
Ben Davies,wls WAL,DF,29-329,20.3,1232,78,429,628,178,26,1232,11,4,36.4,6,54.5,719,3819,2360,30,29,3,11,5,866,54,Matches
Cristian Romero,ar ARG,DF,24-326,18.3,1316,206,668,577,80,12,1316,19,12,63.2,7,36.8,825,3872,2221,16,18,1,15,10,855,5,Matches
Ivan Perišić,hr CRO,"DF,MF",34-045,17.5,1014,43,249,344,428,69,1014,26,9,34.6,14,53.8,459,2733,1462,68,19,26,26,10,555,140,Matches
Rodrigo Bentancur,uy URU,MF,25-267,16.7,1071,52,295,612,175,19,1071,34,21,61.8,11,32.4,581,3001,1444,26,14,1,22,17,732,19,Matches
Dejan Kulusevski,se SWE,"MF,FW",22-328,16.3,764,14,109,278,401,83,764,74,31,41.9,37,50.0,508,3660,1916,68,38,36,64,32,532,146,Matches
Emerson,br BRA,DF,24-064,15.5,1035,75,370,361,311,42,1035,25,13,52.0,6,24.0,521,2833,1582,42,27,6,19,15,602,95,Matches
Clément Lenglet,fr FRA,DF,27-275,15.2,1137,112,558,507,77,11,1137,5,2,40.0,2,40.0,798,3861,2408,21,20,0,10,4,859,6,Matches
Ryan Sessegnon,eng ENG,DF,22-305,9.0,493,29,157,170,168,27,493,11,5,45.5,4,36.4,233,1435,815,24,11,5,11,10,270,64,Matches
Richarlison,br BRA,"MF,FW",25-313,8.3,351,10,67,136,153,44,351,23,6,26.1,14,60.9,212,1304,586,23,16,8,30,15,236,60,Matches
Yves Bissouma,ml MLI,MF,26-201,9.0,639,17,127,411,102,1,639,7,5,71.4,2,28.6,371,2011,816,10,8,0,13,5,465,7,Matches
Oliver Skipp,eng ENG,MF,22-184,7.2,417,20,102,244,75,4,417,6,4,66.7,2,33.3,236,1074,502,8,9,0,7,5,291,15,Matches
Matt Doherty,ie IRL,"DF,MF",31-062,7.4,500,27,144,184,172,24,500,12,5,41.7,4,33.3,247,953,443,16,5,2,12,3,306,57,Matches
Fraser Forster,eng ENG,GK,35-002,7.0,189,173,187,2,0,0,189,0,0,,0,,98,484,254,0,0,0,1,0,74,0,Matches
Davinson Sánchez,co COL,DF,26-280,6.4,490,63,255,204,32,8,490,4,1,25.0,2,50.0,278,1065,538,4,2,0,2,2,333,3,Matches
Pedro Porro,es ESP,DF,23-187,3.7,246,9,69,95,82,8,246,20,7,35.0,12,60.0,143,834,531,14,5,1,6,3,164,37,Matches
Bryan,es ESP,"MF,FW",22-036,1.6,80,1,13,30,37,2,80,5,2,40.0,3,60.0,55,337,145,4,3,0,5,3,61,15,Matches
Japhet Tanganga,eng ENG,DF,23-353,1.6,103,4,44,57,3,0,103,2,1,50.0,1,50.0,66,293,133,1,2,0,3,1,69,2,Matches
Pape Matar Sarr,sn SEN,MF,20-186,1.6,141,10,47,77,17,1,141,3,0,0.0,1,33.3,95,469,183,1,0,0,3,2,97,0,Matches
Lucas Moura,br BRA,"MF,DF",30-218,1.3,85,0,13,31,42,7,85,8,3,37.5,5,62.5,48,293,111,3,3,1,4,3,59,10,Matches
Arnaut Danjuma,nl NED,FW,26-047,0.1,14,0,1,8,5,0,14,3,2,66.7,1,33.3,7,63,46,2,1,0,1,0,12,5,Matches
Djed Spence,eng ENG,"FW,DF",22-222,0.1,12,0,3,1,8,2,12,1,0,0.0,0,0.0,8,92,66,2,1,1,0,2,10,2,Matches
Harvey White,eng ENG,MF,21-181,0.1,8,0,0,4,4,0,8,0,0,,0,,5,11,4,0,0,0,0,0,5,1,Matches
Squad Total,,,28.4,28.0,17832,1994,6380,7669,3926,639,17828,463,208,44.9,206,44.5,10383,54373,28205,535,355,133,414,276,12010,1120,
Opponent Total,,,27.3,28.0,17749,1756,4984,8036,4881,647,17746,455,203,44.6,187,41.1,10038,50878,24525,490,380,148,383,257,11801,1061,
