Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Max Kilman,eng ENG,DF,25-300,28.0,3,0,0,12,10,0,2,17,15,0,0,0,164,62,35,63.9,Matches
José Sá,pt POR,GK,30-061,28.0,0,0,0,0,5,0,0,0,0,0,0,0,36,6,1,85.7,Matches
Rúben Neves,pt POR,MF,26-006,26.6,9,0,0,26,14,0,28,40,36,0,1,0,190,20,22,47.6,Matches
Nélson Semedo,pt POR,DF,29-123,19.8,8,1,0,32,17,0,38,20,33,0,0,0,114,19,22,46.3,Matches
Matheus Nunes,pt POR,MF,24-204,18.8,1,1,0,28,31,0,28,11,31,0,1,0,105,14,17,45.2,Matches
João Moutinho,pt POR,MF,36-192,18.4,2,0,0,29,14,1,50,18,28,0,0,0,100,7,20,25.9,Matches
Daniel Podence,pt POR,"FW,MF",27-149,16.8,5,0,0,25,21,3,43,5,17,0,0,0,82,6,12,33.3,Matches
Nathan Collins,ie IRL,DF,21-323,17.5,2,1,0,14,7,1,0,21,14,0,0,0,87,30,24,55.6,Matches
Jonny Castro,es ESP,DF,29-016,14.0,3,1,0,13,19,1,18,14,15,0,0,0,91,15,16,48.4,Matches
Hugo Bueno,es ESP,DF,20-182,11.6,1,0,0,5,6,0,46,9,14,0,0,0,71,6,12,33.3,Matches
Pedro Neto,pt POR,"FW,MF",23-010,8.2,1,0,0,6,9,2,52,3,6,0,0,0,41,0,4,0.0,Matches
Adama Traoré,es ESP,"FW,MF",27-053,13.1,0,0,0,11,29,6,66,2,6,0,0,0,51,29,16,64.4,Matches
Rayan Aït Nouri,fr FRA,DF,21-286,11.5,4,0,0,14,10,3,21,9,20,0,1,1,60,13,16,44.8,Matches
Hwang Hee-chan,kr KOR,FW,27-052,7.9,1,0,0,12,10,0,7,1,6,0,0,0,31,2,22,8.3,Matches
Diego Costa,es ESP,FW,34-163,7.9,2,1,0,18,5,12,5,2,0,0,0,0,13,19,26,42.2,Matches
Gonçalo Guedes,pt POR,"FW,MF",26-110,7.9,1,0,0,11,24,5,27,1,6,0,0,0,34,7,11,38.9,Matches
Craig Dawson,eng ENG,DF,32-317,7.5,2,0,0,6,3,0,0,4,4,0,0,0,41,21,17,55.3,Matches
Mario Lemina,ga GAB,MF,29-199,6.6,3,1,1,10,5,1,1,9,13,0,0,0,46,11,2,84.6,Matches
Raúl Jiménez,mx MEX,FW,31-318,8.3,0,0,0,10,13,9,5,0,6,0,0,0,19,23,22,51.1,Matches
Pablo Sarabia,es ESP,"FW,MF",30-312,5.7,2,0,0,8,5,3,31,1,4,0,0,0,31,2,10,16.7,Matches
Matheus Cunha,br BRA,FW,23-296,4.8,0,0,0,11,10,3,3,3,1,0,0,0,23,5,18,21.7,Matches
Boubacar Traoré,ml MLI,MF,21-211,4.3,2,0,0,10,2,0,1,7,4,0,0,0,25,7,8,46.7,Matches
Toti Gomes,pt POR,DF,24-062,3.4,2,0,0,5,2,0,1,2,2,0,0,0,15,8,3,72.7,Matches
Leander Dendoncker,be BEL,MF,27-338,2.4,0,0,0,0,0,0,1,9,2,0,0,0,16,2,5,28.6,Matches
Morgan Gibbs-White,eng ENG,"FW,MF",23-051,2.0,1,0,0,3,3,0,8,1,1,0,0,0,14,2,5,28.6,Matches
Joseph Hodge,ie IRL,MF,20-186,1.9,1,0,0,2,1,0,1,0,2,0,0,0,12,1,2,33.3,Matches
João Gomes,br BRA,"MF,FW",22-035,1.8,2,0,0,5,3,0,1,0,3,0,0,0,11,3,3,50.0,Matches
Sasa Kalajdzic,at AUT,FW,25-255,0.5,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,,Matches
Chem Campbell,wls WAL,"FW,MF",20-079,0.8,0,0,0,0,1,0,4,1,1,0,0,0,4,2,1,66.7,Matches
Dexter Lembikisa,jm JAM,DF,19-135,0.3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0.0,Matches
Connor Ronan,ie IRL,MF,25-013,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,27.3,28.0,58,6,1,326,280,50,490,211,290,0,3,1,1531,342,373,47.8,
Opponent Total,,,27.1,28.0,53,0,0,300,311,26,547,242,260,3,2,2,1485,373,342,52.2,
