Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Max Kilman,eng ENG,DF,25-299,27,2430.0,90.0,100.0,27.0,27,90.0,27,0,,0,1.0,20.0,37.0,-17.0,-0.63,,26.2,38.9,-12.7,-0.47,,Matches
José Sá,pt POR,GK,30-060,27,2430.0,90.0,100.0,27.0,27,90.0,27,0,,0,1.0,20.0,37.0,-17.0,-0.63,,26.2,38.9,-12.7,-0.47,,Matches
Rúben Neves,pt POR,MF,26-005,26,2317.0,89.0,95.3,25.7,26,89.0,25,0,,0,1.04,19.0,33.0,-14.0,-0.54,1.85,24.3,36.8,-12.5,-0.49,-0.38,Matches
Matheus Nunes,pt POR,MF,24-203,24,1695.0,71.0,69.8,18.8,21,78.0,10,3,22.0,0,1.08,12.0,23.0,-11.0,-0.58,0.15,18.6,25.3,-6.7,-0.35,0.38,Matches
Nélson Semedo,pt POR,DF,29-122,25,1722.0,69.0,70.9,19.1,20,82.0,14,5,15.0,1,0.96,16.0,25.0,-9.0,-0.47,0.55,16.7,30.2,-13.5,-0.71,-0.81,Matches
João Moutinho,pt POR,MF,36-191,25,1641.0,66.0,67.5,18.2,19,76.0,6,6,33.0,0,1.04,12.0,25.0,-13.0,-0.71,-0.26,19.2,25.1,-5.9,-0.32,0.46,Matches
Nathan Collins,ie IRL,DF,21-322,19,1533.0,81.0,63.1,17.0,17,87.0,16,2,31.0,5,0.89,12.0,25.0,-13.0,-0.76,-0.36,16.2,24.9,-8.7,-0.51,-0.11,Matches
Daniel Podence,pt POR,"FW,MF",27-148,25,1452.0,58.0,59.8,16.1,17,77.0,8,8,19.0,0,0.84,10.0,26.0,-16.0,-0.99,-0.9,16.6,21.7,-5.1,-0.32,0.37,Matches
Jonny Castro,es ESP,DF,29-015,17,1178.0,69.0,48.5,13.1,13,84.0,9,4,22.0,8,1.06,6.0,17.0,-11.0,-0.84,-0.41,13.5,15.9,-2.4,-0.18,0.56,Matches
Hugo Bueno,es ESP,DF,20-181,15,1040.0,69.0,42.8,11.6,13,76.0,6,2,23.0,6,1.0,10.0,19.0,-9.0,-0.78,-0.26,11.6,16.0,-4.4,-0.38,0.15,Matches
Adama Traoré,es ESP,"FW,MF",27-052,24,1142.0,48.0,47.0,12.7,9,71.0,2,15,33.0,1,1.08,8.0,21.0,-13.0,-1.02,-0.75,12.8,22.2,-9.4,-0.74,-0.51,Matches
Rayan Aït Nouri,fr FRA,DF,21-285,20,1031.0,52.0,42.4,11.5,9,81.0,4,11,28.0,6,1.05,8.0,16.0,-8.0,-0.7,-0.12,11.3,17.3,-6.0,-0.53,-0.1,Matches
Hwang Hee-chan,kr KOR,FW,27-051,18,712.0,40.0,29.3,7.9,9,64.0,1,9,15.0,2,1.0,9.0,10.0,-1.0,-0.13,0.71,8.0,8.8,-0.7,-0.09,0.54,Matches
Diego Costa,es ESP,FW,34-162,14,711.0,51.0,29.3,7.9,9,67.0,1,5,21.0,1,1.07,8.0,10.0,-2.0,-0.25,0.53,8.0,10.6,-2.7,-0.34,0.19,Matches
Pedro Neto,pt POR,"FW,MF",23-009,10,689.0,69.0,28.4,7.7,9,72.0,2,1,45.0,2,0.9,4.0,7.0,-3.0,-0.39,0.33,7.4,7.3,0.1,0.02,0.68,Matches
Gonçalo Guedes,pt POR,"FW,MF",26-109,13,707.0,54.0,29.1,7.9,8,71.0,1,5,27.0,4,0.77,4.0,12.0,-8.0,-1.02,-0.55,5.7,11.7,-6.0,-0.76,-0.41,Matches
Craig Dawson,eng ENG,DF,32-316,7,630.0,90.0,25.9,7.0,7,90.0,7,0,,0,1.43,8.0,7.0,1.0,0.14,1.04,7.3,10.0,-2.7,-0.39,0.11,Matches
Mario Lemina,ga GAB,MF,29-198,8,507.0,63.0,20.9,5.6,7,70.0,3,1,18.0,0,1.63,5.0,9.0,-4.0,-0.71,-0.1,4.7,10.3,-5.6,-0.99,-0.66,Matches
Raúl Jiménez,mx MEX,FW,31-317,12,653.0,54.0,26.9,7.3,6,79.0,3,6,30.0,3,1.0,5.0,8.0,-3.0,-0.41,0.3,7.5,11.1,-3.7,-0.51,-0.05,Matches
Pablo Sarabia,es ESP,"FW,MF",30-311,7,470.0,67.0,19.3,5.2,6,71.0,2,1,45.0,0,1.43,5.0,5.0,0.0,0.0,0.78,5.3,7.2,-2.0,-0.38,0.11,Matches
