Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Max Kilman,eng ENG,DF,25-300,28.0,0,9,0,0.0,0.32,0.0,0.0,,8.8,0,0,0,1.0,1.0,0.11,-1.0,-1.0,Matches
José Sá,pt POR,GK,30-061,28.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rúben Neves,pt POR,MF,26-006,26.6,5,53,11,20.8,1.99,0.41,0.06,0.27,26.3,8,2,2,4.1,2.5,0.05,0.9,0.5,Matches
Nélson Semedo,pt POR,DF,29-123,19.8,0,5,0,0.0,0.25,0.0,0.0,,19.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Matheus Nunes,pt POR,MF,24-204,18.8,0,23,6,26.1,1.22,0.32,0.0,0.0,17.8,0,0,0,2.0,2.0,0.09,-2.0,-2.0,Matches
João Moutinho,pt POR,MF,36-192,18.4,0,15,3,20.0,0.82,0.16,0.0,0.0,19.0,3,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches
Daniel Podence,pt POR,"FW,MF",27-149,16.8,5,37,15,40.5,2.21,0.9,0.14,0.33,16.5,0,0,0,3.4,3.4,0.09,1.6,1.6,Matches
Nathan Collins,ie IRL,DF,21-323,17.5,0,2,0,0.0,0.11,0.0,0.0,,10.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Jonny Castro,es ESP,DF,29-016,14.0,1,9,2,22.2,0.64,0.14,0.11,0.5,24.1,0,0,0,0.3,0.3,0.03,0.7,0.7,Matches
Hugo Bueno,es ESP,DF,20-182,11.6,0,4,1,25.0,0.35,0.09,0.0,0.0,18.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Pedro Neto,pt POR,"FW,MF",23-010,8.2,0,13,3,23.1,1.59,0.37,0.0,0.0,19.8,1,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches
Adama Traoré,es ESP,"FW,MF",27-053,13.1,2,15,5,33.3,1.15,0.38,0.13,0.4,14.9,0,0,0,1.2,1.2,0.08,0.8,0.8,Matches
Rayan Aït Nouri,fr FRA,DF,21-286,11.5,1,10,5,50.0,0.87,0.44,0.1,0.2,14.1,0,0,0,0.7,0.7,0.07,0.3,0.3,Matches
Hwang Hee-chan,kr KOR,FW,27-052,7.9,1,7,4,57.1,0.88,0.51,0.14,0.25,18.9,0,0,0,1.2,1.2,0.18,-0.2,-0.2,Matches
Diego Costa,es ESP,FW,34-163,7.9,0,21,7,33.3,2.66,0.89,0.0,0.0,11.7,0,0,0,2.2,2.2,0.11,-2.2,-2.2,Matches
Gonçalo Guedes,pt POR,"FW,MF",26-110,7.9,1,19,6,31.6,2.42,0.76,0.05,0.17,18.4,1,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
Craig Dawson,eng ENG,DF,32-317,7.5,1,6,2,33.3,0.8,0.27,0.17,0.5,9.3,0,0,0,0.6,0.6,0.1,0.4,0.4,Matches
Mario Lemina,ga GAB,MF,29-199,6.6,0,3,0,0.0,0.45,0.0,0.0,,25.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Raúl Jiménez,mx MEX,FW,31-318,8.3,0,20,9,45.0,2.42,1.09,0.0,0.0,14.5,0,0,0,2.6,2.6,0.13,-2.6,-2.6,Matches
Pablo Sarabia,es ESP,"FW,MF",30-312,5.7,1,14,5,35.7,2.45,0.87,0.07,0.2,12.2,1,0,0,2.7,2.7,0.19,-1.7,-1.7,Matches
Matheus Cunha,br BRA,FW,23-296,4.8,1,16,3,18.8,3.3,0.62,0.06,0.33,17.2,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
Boubacar Traoré,ml MLI,MF,21-211,4.3,0,3,0,0.0,0.7,0.0,0.0,,29.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Toti Gomes,pt POR,DF,24-062,3.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Leander Dendoncker,be BEL,MF,27-338,2.4,0,3,2,66.7,1.26,0.84,0.0,0.0,16.7,0,0,0,0.7,0.7,0.22,-0.7,-0.7,Matches
Morgan Gibbs-White,eng ENG,"FW,MF",23-051,2.0,0,3,1,33.3,1.5,0.5,0.0,0.0,11.5,0,0,0,0.7,0.7,0.24,-0.7,-0.7,Matches
Joseph Hodge,ie IRL,MF,20-186,1.9,0,1,0,0.0,0.53,0.0,0.0,,12.7,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
João Gomes,br BRA,"MF,FW",22-035,1.8,1,3,1,33.3,1.7,0.57,0.33,1.0,21.9,0,0,0,0.2,0.2,0.09,0.8,0.8,Matches
Sasa Kalajdzic,at AUT,FW,25-255,0.5,0,1,0,0.0,2.0,0.0,0.0,,4.4,0,0,0,0.3,0.3,0.27,-0.3,-0.3,Matches
Chem Campbell,wls WAL,"FW,MF",20-079,0.8,0,2,0,0.0,2.43,0.0,0.0,,11.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Dexter Lembikisa,jm JAM,DF,19-135,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Connor Ronan,ie IRL,MF,25-013,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.3,28.0,20,317,91,28.7,11.32,3.25,0.06,0.2,17.9,14,2,2,28.9,27.4,0.09,-8.9,-9.4,
Opponent Total,,,27.1,28.0,40,385,117,30.4,13.75,4.18,0.1,0.33,17.3,21,1,3,40.5,38.1,0.1,-0.5,0.9,
