name,price,position,dob,nationality,height,foot,join_date,contract_expiration,minutes_played,matches_played,matches_started,tackles,tackles_won,defensive_third_tackles,midfield_tackles,attacking_third_tackles,shots_blocked,interceptions,clearances,errors_leading_to_goal,shot_creating_actions,sca_live_passes,sca_dead_passes,sca_take_ons,sca_shots,sca_fouls_drawn,sca_defensive_actions,goal_creation_actions,gca_live_passes,gca_dead_passes,gca_take_ons,gca_shots,gca_fouls_drawn,gca_defensive_actions,yellow_cards,red_cards,fouls,fouls_drawn,offsides,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,short_passes_completed,short_passes_attempted,medium_passes_completed,medium_passes_attempted,long_passes_completed,long_passes_attempted,assists,expected_assists,key_passes,passes_into_final_third,passes_into_penalty_box,crosses_into_penalty_area,progressive_passes,touches_penalty_area_defending,touches_defensive_third,touches_middle_third,touches_attacking_third,touches_penalty_area_attacking,attempted_take_ons,successful_take_ons,tackled_take_ons,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,carry_miscontrols,carry_dispossessions,goals,total_shots,shots_on_target,goals_per_shot,average_shot_distance,freekick_shots,penalty_kicks_converted,penalty_kicks_attempted,xG
Yehvann Diouf,€5.00m,Goalkeeper,"Nov 16, 1999 (23)",France,"1,84m",right,"Jul 1, 2019","Jun 30, 2027",1890.0,21,21,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,31.0,6.0,1.0,66.0,67.0,283.0,287.0,197.0,345.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,628.0,754.0,2.0,0.0,0.0,2.0,2.0,0.0,548.0,2838.0,1587.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
Alexandre Olliero,€700k,Goalkeeper,"Feb 15, 1996 (27)",France,"1,93m",right,"Jan 31, 2023","Jun 30, 2026",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Penneteau,€150k,Goalkeeper,"Feb 28, 1981 (42)",France,"1,85m",left,"Jul 1, 2021","Jun 30, 2023",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmanuel Agbadou,€6.00m,Centre-Back,"Jun 17, 1997 (25)",Cote d'Ivoire,"1,92m",right,"Jul 1, 2022","Jun 30, 2027",1705.0,21,19,51.0,32.0,39.0,11.0,1.0,9.0,23.0,80.0,2.0,23.0,18.0,1.0,0.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,20.0,5.0,0.0,0.0,0.0,0.0,160.0,37.0,26.0,242.0,273.0,438.0,476.0,133.0,191.0,2.0,1.0,8.0,61.0,9.0,0.0,64.0,156.0,613.0,530.0,54.0,16.0,8.0,5.0,3.0,831.0,4981.0,2514.0,11.0,13.0,2.0,18.0,9.0,0.0,17.0,3.0,0.0,15.4,0.0,0.0,0.0,1.5
Yunis Abdelhamid,€800k,Centre-Back,"Sep 28, 1987 (35)",Morocco,"1,90m",left,"Jul 1, 2017","Jun 30, 2024",2520.0,28,28,66.0,40.0,38.0,27.0,1.0,20.0,51.0,99.0,1.0,34.0,28.0,0.0,0.0,4.0,0.0,2.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,36.0,19.0,1.0,0.0,0.0,0.0,201.0,64.0,35.0,329.0,384.0,730.0,806.0,111.0,212.0,1.0,0.6,10.0,96.0,3.0,0.0,147.0,179.0,831.0,903.0,76.0,27.0,21.0,10.0,10.0,1244.0,7689.0,4150.0,20.0,12.0,2.0,20.0,20.0,1.0,24.0,2.0,0.04,15.3,0.0,0.0,0.0,1.8
Thibault De Smet,€2.50m,Left-Back,"Jun 5, 1998 (24)",Belgium,"1,83m",left,"Jul 1, 2020","Jun 30, 2024",1246.0,14,14,22.0,16.0,8.0,14.0,0.0,4.0,15.0,32.0,0.0,15.0,13.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,7.0,1.0,0.0,0.0,0.0,66.0,23.0,6.0,305.0,356.0,266.0,321.0,37.0,80.0,1.0,0.4,5.0,69.0,11.0,5.0,63.0,51.0,265.0,488.0,181.0,1.0,11.0,3.0,7.0,569.0,3089.0,1427.0,25.0,21.0,0.0,14.0,4.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
Thomas Foket,€4.50m,Right-Back,"Sep 25, 1994 (28)",Belgium,"1,77m",right,"Aug 31, 2018","Jun 30, 2025",1159.0,14,13,25.0,17.0,12.0,8.0,5.0,6.0,21.0,14.0,2.0,23.0,21.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,2.0,0.0,0.0,0.0,92.0,6.0,9.0,256.0,303.0,262.0,316.0,43.0,64.0,0.0,1.4,15.0,35.0,11.0,7.0,44.0,31.0,201.0,374.0,256.0,21.0,12.0,7.0,3.0,561.0,3027.0,1272.0,30.0,19.0,1.0,14.0,12.0,0.0,1.0,0.0,0.0,15.3,0.0,0.0,0.0,0.1
Maxime Busi,€3.00m,Right-Back,"Oct 14, 1999 (23)",Belgium,"1,82m",right,"Jul 1, 2022","Jun 30, 2026",641.0,12,7,16.0,12.0,8.0,7.0,1.0,3.0,8.0,15.0,0.0,13.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,3.0,0.0,0.0,1.0,0.0,48.0,7.0,9.0,122.0,151.0,84.0,113.0,33.0,58.0,1.0,0.4,4.0,21.0,8.0,4.0,23.0,27.0,116.0,196.0,106.0,8.0,19.0,4.0,11.0,251.0,1643.0,835.0,15.0,15.0,3.0,13.0,4.0,0.0,3.0,0.0,0.0,27.5,0.0,0.0,0.0,0.1
Azor Matusiwa,€6.00m,Defensive Midfield,"Apr 28, 1998 (24)",Netherlands,"1,73m",right,"Aug 31, 2021","Jun 30, 2026",1804.0,22,21,56.0,37.0,28.0,22.0,6.0,7.0,37.0,37.0,0.0,44.0,43.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,24.0,0.0,0.0,0.0,0.0,177.0,25.0,24.0,346.0,410.0,449.0,493.0,142.0,174.0,0.0,0.9,14.0,105.0,10.0,0.0,148.0,69.0,404.0,797.0,166.0,2.0,17.0,10.0,5.0,968.0,4782.0,2157.0,9.0,14.0,0.0,19.0,9.0,0.0,6.0,2.0,0.0,27.2,0.0,0.0,0.0,0.3
Marshall Munetsi,€5.00m,Defensive Midfield,"Jun 22, 1996 (26)",Zimbabwe,"1,88m",right,"Jul 1, 2019","Jun 30, 2026",1847.0,24,21,43.0,20.0,10.0,24.0,9.0,5.0,18.0,29.0,1.0,53.0,40.0,0.0,3.0,4.0,5.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,42.0,31.0,2.0,0.0,0.0,0.0,114.0,44.0,36.0,229.0,297.0,156.0,202.0,41.0,78.0,3.0,1.2,22.0,54.0,7.0,1.0,66.0,41.0,167.0,465.0,259.0,67.0,33.0,16.0,13.0,580.0,2989.0,1313.0,26.0,13.0,6.0,40.0,11.0,5.0,49.0,17.0,0.1,17.3,0.0,0.0,0.0,6.4
