Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Benjamin Leroy,fr FRA,GK,33-346,24,24,2078.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mounaim El Idrissy,fr FRA,FW,24-037,24,22,1859.0,20.7,5.0,0.0,5.0,5.0,0.0,0.0,8.0,0.0,6.1,6.1,0.9,6.9,19.0,33.0,138.0,0.24,0.0,0.24,0.24,0.24,0.29,0.04,0.33,0.29,0.33,Matches
Vincent Marchetti,fr FRA,MF,25-258,23,22,1835.0,20.4,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.7,1.7,1.1,2.7,49.0,114.0,47.0,0.0,0.05,0.05,0.0,0.05,0.08,0.05,0.13,0.08,0.13,Matches
Mohamed Youssouf,km COM,DF,34-358,22,20,1836.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,1.0,1.1,42.0,77.0,70.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.05,0.01,0.05,Matches
Oumar Gonzalez,cm CMR,DF,25-022,21,20,1768.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.4,0.4,0.0,0.4,9.0,43.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Cyrille Bayala,bf BFA,MF,26-299,26,20,1590.0,17.7,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.9,1.9,1.8,3.8,40.0,57.0,93.0,0.06,0.06,0.11,0.06,0.11,0.11,0.1,0.21,0.11,0.21,Matches
Ismael Diallo,ci CIV,DF,26-049,21,19,1706.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.2,0.2,0.4,0.6,31.0,61.0,22.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
Cédric Avinel,gp GLP,DF,36-189,18,16,1462.0,16.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,30.0,0.0,0.06,0.0,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,Matches
Mathieu Coutadeur,fr FRA,MF,36-364,17,14,1252.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,17.0,83.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Youcef Belaïli,dz ALG,"MF,FW",31-005,15,13,1030.0,11.4,6.0,3.0,9.0,1.0,5.0,6.0,1.0,0.0,6.1,1.7,3.0,4.8,28.0,47.0,61.0,0.52,0.26,0.79,0.09,0.35,0.53,0.27,0.8,0.15,0.42,Matches
Riad Nouri,fr FRA,MF,37-285,23,12,1258.0,14.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,2.2,1.4,2.1,3.5,26.0,28.0,114.0,0.07,0.07,0.14,0.07,0.14,0.16,0.15,0.31,0.1,0.25,Matches
Clément Vidal,fr FRA,"DF,MF",22-274,17,12,1091.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.6,0.6,0.2,0.8,3.0,52.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches
Mickaël Alphonse,gp GLP,DF,33-250,20,11,1041.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.4,0.9,24.0,37.0,27.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches
Romain Hamouma,fr FRA,"FW,MF",35-355,15,11,852.0,9.5,2.0,2.0,4.0,2.0,0.0,0.0,5.0,2.0,3.0,3.0,2.3,5.3,25.0,38.0,88.0,0.21,0.21,0.42,0.21,0.42,0.32,0.24,0.56,0.32,0.56,Matches
Thomas Mangani,fr FRA,MF,35-324,18,9,895.0,9.9,1.0,1.0,2.0,0.0,1.0,2.0,3.0,0.0,1.9,0.3,1.6,1.9,9.0,72.0,12.0,0.1,0.1,0.2,0.0,0.1,0.19,0.16,0.35,0.03,0.19,Matches
Bevic Moussiti-Oko,cg CGO,FW,28-050,17,7,698.0,7.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.8,1.8,0.8,2.7,10.0,10.0,45.0,0.13,0.0,0.13,0.13,0.13,0.24,0.11,0.35,0.24,0.35,Matches
Youssouf Koné,ml MLI,DF,27-257,7,7,520.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Mickaël Barreto,fr FRA,MF,32-060,11,6,625.0,6.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.4,1.7,12.0,43.0,33.0,0.0,0.14,0.14,0.0,0.14,0.04,0.2,0.25,0.04,0.25,Matches
Fernand Mayembo,cg CGO,DF,27-069,8,6,541.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2,1.2,0.0,1.2,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.01,0.2,0.19,0.2,Matches
Kevin Spadanuda,ch SUI,"MF,FW",26-062,13,6,503.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,9.0,10.0,31.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches
Yoann Touzghar,tn TUN,FW,36-111,8,5,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.3,3.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.06,0.06,0.06,Matches
Florian Chabrolle,fr FRA,MF,24-346,6,3,321.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Yanis Cimignani,fr FRA,"MF,DF",21-056,8,3,279.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,3.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09,Matches
François-Joseph Sollacaro,fr FRA,GK,28-363,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kouamé Botué,bf BFA,"FW,MF",20-224,8,2,229.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.1,1.3,4.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.48,0.05,0.53,0.48,0.53,Matches
Qazim Laçi,al ALB,MF,27-059,9,2,212.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.15,0.06,0.15,Matches
Moussa Soumano,fr FRA,"FW,MF",17-253,5,1,136.0,1.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,2.0,0.0,5.0,0.66,0.0,0.66,0.66,0.66,0.24,0.07,0.31,0.24,0.31,Matches
Moussa Djitte,sn SEN,FW,23-166,5,1,117.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.1,0.08,0.1,Matches
Ghjuvanni Quilichini,fr FRA,GK,20-199,1,0,82.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paolo Lebas,pt POR,MF,19-333,1,0,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ruan Levine,br BRA,MF,24-059,2,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.59,0.48,1.06,0.59,1.06,Matches
Mehdi Puch Herrantz,fr FRA,MF,19-058,2,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.35,Matches
