Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Cédric Hountondji,bj BEN,DF,29-077,28.2,40,29,23,15,2,13,21,61.9,8,34,19,15,43,83,102,0,Matches
Batista Mendy,fr FRA,"MF,DF",23-084,23.6,51,20,26,18,7,30,39,76.9,9,26,4,22,17,68,22,0,Matches
Nabil Bentaleb,dz ALG,MF,28-133,22.2,65,37,28,30,7,31,52,59.6,21,27,8,19,38,103,24,3,Matches
Adrien Hunou,fr FRA,"FW,MF",29-077,19.6,34,18,16,13,5,13,32,40.6,19,26,0,26,3,37,7,0,Matches
Paul Bernardoni,fr FRA,GK,25-353,21.0,2,0,2,0,0,2,2,100.0,0,1,0,1,1,3,9,1,Matches
Souleyman Doumbia,ci CIV,"DF,FW",26-194,19.4,43,29,29,13,1,17,31,54.8,14,19,2,17,26,69,27,1,Matches
Yan Valery,tn TUN,DF,24-043,19.1,32,22,16,14,2,10,20,50.0,10,22,7,15,24,56,53,0,Matches
Miha Blažič,si SVN,DF,29-333,19.7,6,5,6,0,0,6,12,50.0,6,24,18,6,21,27,68,1,Matches
Abdallah Sima,sn SEN,FW,21-293,15.1,15,9,2,10,3,4,11,36.4,7,6,0,6,3,18,14,0,Matches
Himad Abdelli,fr FRA,"MF,FW",23-140,15.0,43,23,15,21,7,19,36,52.8,17,19,1,18,17,60,9,0,Matches
Pierrick Capelle,fr FRA,"MF,DF",35-356,13.6,33,19,16,14,3,20,47,42.6,27,18,2,16,13,46,23,0,Matches
Azzedine Ounahi,ma MAR,"MF,FW",22-352,12.5,19,8,5,13,1,10,20,50.0,10,8,0,8,15,34,4,1,Matches
Amine Salama,fr FRA,"FW,MF",22-262,13.9,11,9,3,7,1,2,12,16.7,10,8,2,6,10,21,2,0,Matches
Sofiane Boufal,ma MAR,"FW,MF",29-201,9.3,14,9,7,4,3,3,14,21.4,11,6,0,6,5,19,1,0,Matches
Yahia Fofana,fr FRA,GK,22-228,8.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,Matches
Farid El Melali,dz ALG,"DF,FW",25-336,7.7,19,11,6,11,2,9,15,60.0,6,14,0,14,8,27,4,0,Matches
Ibrahima Niane,sn SEN,FW,24-026,5.8,2,0,0,2,0,0,3,0.0,3,3,0,3,1,3,3,0,Matches
Abdoulaye Bamba,ci CIV,DF,32-346,7.4,16,8,10,5,1,11,11,100.0,0,4,1,3,11,27,12,0,Matches
Sada Thioub,sn SEN,"FW,MF",27-309,6.4,14,6,7,5,2,4,8,50.0,4,7,0,7,2,16,3,0,Matches
Lois Diony,fr FRA,FW,30-107,4.9,1,0,0,1,0,1,3,33.3,2,2,0,2,0,1,1,0,Matches
Ousmane Camara,fr FRA,DF,20-031,4.6,7,4,3,4,0,4,9,44.4,5,4,2,2,9,16,14,0,Matches
Ibrahim Amadou,fr FRA,"DF,MF",30-000,4.7,10,7,6,3,1,7,11,63.6,4,7,3,4,10,20,20,0,Matches
Halid Šabanović,ba BIH,"DF,FW",23-227,3.9,4,2,4,0,0,3,5,60.0,2,4,1,3,4,8,7,0,Matches
Faouzi Ghoulam,dz ALG,DF,32-064,3.7,1,1,0,0,1,1,3,33.3,2,4,2,2,4,5,11,0,Matches
Ilyes Cheti,dz ALG,DF,28-074,2.3,6,4,4,0,2,5,8,62.5,3,5,1,4,4,10,7,0,Matches
Waniss Taibi,fr FRA,MF,21-030,2.1,7,4,4,2,1,2,4,50.0,2,0,0,0,2,9,2,0,Matches
Justin-Noël Kalumba,fr FRA,DF,18-102,0.6,1,0,1,0,0,0,0,,0,0,0,0,1,2,2,0,Matches
Lilian Raolisoa,fr FRA,"MF,DF",22-294,0.5,1,1,0,0,1,1,1,100.0,0,0,0,0,2,3,0,0,Matches
Jean Mattéo Bahoya,fr FRA,"FW,MF",17-334,0.5,2,1,0,1,1,1,1,100.0,0,2,0,2,0,2,0,0,Matches
Zinédine Ould Khaled,fr FRA,"MF,FW",23-082,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,0,0,Matches
Marin Jakoliš,hr CRO,FW,26-101,0.3,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
Jason Mbock,fr FRA,"MF,FW",23-156,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Antonin Bobichon,fr FRA,MF,27-204,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Squad Total,,,26.7,29.0,500,287,239,206,55,229,432,53.0,203,301,73,228,297,797,452,8,
Opponent Total,,,27.3,29.0,570,343,274,219,77,301,627,48.0,326,272,65,207,291,861,402,11,
