Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Cédric Hountondji,bj BEN,DF,29-074,28,2452.0,88.0,97.3,27.2,27,90.0,26,1,35.0,0,0.36,21.0,59.0,-38.0,-1.39,3.9,31.6,43.7,-12.1,-0.44,1.28,Matches
Batista Mendy,fr FRA,"MF,DF",23-081,25,2053.0,82.0,81.5,22.8,25,82.0,16,0,,0,0.4,14.0,54.0,-40.0,-1.75,-1.37,24.6,36.7,-12.1,-0.53,-0.29,Matches
Adrien Hunou,fr FRA,"FW,MF",29-074,25,1766.0,71.0,70.1,19.6,23,75.0,5,2,20.0,3,0.4,13.0,42.0,-29.0,-1.48,0.07,21.6,31.6,-10.0,-0.51,-0.11,Matches
Nabil Bentaleb,dz ALG,MF,28-130,23,1905.0,83.0,75.6,21.2,22,86.0,17,1,15.0,0,0.39,17.0,51.0,-34.0,-1.61,-0.44,22.3,34.6,-12.3,-0.58,-0.44,Matches
Souleyman Doumbia,ci CIV,"DF,FW",26-191,21,1714.0,82.0,68.0,19.0,21,82.0,15,0,,0,0.38,14.0,42.0,-28.0,-1.47,0.09,22.1,28.5,-6.4,-0.34,0.44,Matches
Paul Bernardoni,fr FRA,GK,25-350,20,1800.0,90.0,71.4,20.0,20,90.0,20,0,,8,0.2,13.0,48.0,-35.0,-1.75,-0.87,21.8,32.9,-11.1,-0.55,-0.26,Matches
Miha Blažič,si SVN,DF,29-330,21,1772.0,84.0,70.3,19.7,20,86.0,18,1,45.0,5,0.48,13.0,36.0,-23.0,-1.17,1.12,22.0,28.6,-6.6,-0.34,0.48,Matches
Yan Valery,tn TUN,DF,24-040,20,1632.0,82.0,64.8,18.1,20,82.0,13,0,,0,0.4,10.0,40.0,-30.0,-1.65,-0.44,20.3,29.8,-9.4,-0.52,-0.12,Matches
Abdallah Sima,sn SEN,FW,21-290,24,1338.0,56.0,53.1,14.9,15,75.0,5,9,23.0,0,0.33,12.0,35.0,-23.0,-1.55,-0.1,16.9,24.6,-7.6,-0.51,-0.08,Matches
Himad Abdelli,fr FRA,"MF,FW",23-137,20,1261.0,63.0,50.0,14.0,14,80.0,7,6,23.0,6,0.1,10.0,31.0,-21.0,-1.5,0.0,15.9,24.6,-8.7,-0.62,-0.29,Matches
Azzedine Ounahi,ma MAR,"MF,FW",22-349,15,1129.0,75.0,44.8,12.5,13,83.0,6,2,27.0,0,0.53,13.0,29.0,-16.0,-1.28,0.41,14.2,20.5,-6.3,-0.5,-0.04,Matches
Amine Salama,fr FRA,"FW,MF",22-259,25,1249.0,50.0,49.6,13.9,12,78.0,4,13,24.0,2,0.16,10.0,28.0,-18.0,-1.3,0.4,17.5,20.7,-3.2,-0.23,0.49,Matches
Pierrick Capelle,fr FRA,"MF,DF",35-353,21,1138.0,54.0,45.2,12.6,12,80.0,7,9,19.0,3,0.33,6.0,24.0,-18.0,-1.42,0.14,12.2,19.5,-7.3,-0.58,-0.18,Matches
Sofiane Boufal,ma MAR,"FW,MF",29-198,13,834.0,64.0,33.1,9.3,9,79.0,2,4,31.0,0,0.54,12.0,23.0,-11.0,-1.19,0.47,13.5,15.6,-2.1,-0.23,0.37,Matches
Yahia Fofana,fr FRA,GK,22-225,8,720.0,90.0,28.6,8.0,8,90.0,8,0,,9,0.75,8.0,15.0,-7.0,-0.87,0.87,10.1,12.4,-2.3,-0.29,0.26,Matches
Farid El Melali,dz ALG,"DF,FW",25-333,13,615.0,47.0,24.4,6.8,7,72.0,1,6,19.0,2,0.0,3.0,14.0,-11.0,-1.61,-0.15,6.4,10.1,-3.7,-0.53,-0.07,Matches
Ibrahima Niane,sn SEN,FW,24-023,7,455.0,65.0,18.1,5.1,6,71.0,2,1,27.0,0,0.29,2.0,10.0,-8.0,-1.58,-0.1,5.5,8.7,-3.2,-0.64,-0.2,Matches
Abdoulaye Bamba,ci CIV,DF,32-343,11,648.0,59.0,25.7,7.2,5,90.0,5,6,33.0,14,0.27,7.0,21.0,-14.0,-1.94,-0.6,9.0,11.5,-2.6,-0.36,0.16,Matches
Sada Thioub,sn SEN,"FW,MF",27-306,20,572.0,29.0,22.7,6.4,5,68.0,0,15,15.0,8,0.45,7.0,15.0,-8.0,-1.26,0.31,8.2,11.2,-3.0,-0.47,0.01,Matches
Lois Diony,fr FRA,FW,30-104,8,437.0,55.0,17.3,4.9,5,74.0,2,3,22.0,0,1.0,4.0,12.0,-8.0,-1.65,-0.18,5.7,7.0,-1.3,-0.27,0.25,Matches
Ousmane Camara,fr FRA,DF,20-028,7,418.0,60.0,16.6,4.6,5,74.0,3,2,24.0,11,0.0,5.0,17.0,-12.0,-2.58,-1.3,6.3,9.2,-2.9,-0.63,-0.18,Matches
Ibrahim Amadou,fr FRA,"DF,MF",29-362,7,424.0,61.0,16.8,4.7,4,90.0,4,3,21.0,4,0.14,5.0,9.0,-4.0,-0.85,0.78,5.9,9.8,-3.9,-0.83,-0.42,Matches
Halid Šabanović,ba BIH,"DF,FW",23-224,7,333.0,48.0,13.2,3.7,4,65.0,2,3,25.0,8,0.29,3.0,10.0,-7.0,-1.89,-0.45,4.0,6.1,-2.1,-0.56,-0.09,Matches
Faouzi Ghoulam,dz ALG,DF,32-061,4,268.0,67.0,10.6,3.0,3,81.0,1,1,25.0,0,0.5,2.0,4.0,-2.0,-0.67,0.93,3.1,4.2,-1.1,-0.36,0.13,Matches
Ilyes Cheti,dz ALG,DF,28-071,6,207.0,35.0,8.2,2.3,2,55.0,0,4,24.0,13,0.5,1.0,7.0,-6.0,-2.61,-1.21,3.2,5.3,-2.2,-0.94,-0.51,Matches
Waniss Taibi,fr FRA,MF,21-027,10,186.0,19.0,7.4,2.1,1,45.0,0,9,16.0,9,0.1,2.0,5.0,-3.0,-1.45,0.05,2.3,3.3,-1.0,-0.47,0.01,Matches
Lilian Raolisoa,fr FRA,"MF,DF",22-291,2,47.0,24.0,1.9,0.5,0,,0,2,24.0,2,0.0,1.0,1.0,0.0,0.0,1.53,0.8,0.2,0.6,1.18,1.69,Matches
Zinédine Ould Khaled,fr FRA,"MF,FW",23-079,2,42.0,21.0,1.7,0.5,0,,0,2,21.0,2,0.5,0.0,2.0,-2.0,-4.29,-2.83,0.6,0.7,-0.1,-0.23,0.25,Matches
