Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Birama Touré,ml MLI,MF,30-301,28.8,970,1215,79.8,18948,5690,354,414,85.5,408,473,86.3,166,238,69.7,0,0.1,0.7,-0.1,3,90,9,0,113,Matches
Jubal,br BRA,DF,29-217,26.7,853,1040,82.0,18946,6289,221,269,82.2,449,494,90.9,164,254,64.6,1,0.4,0.7,0.6,3,59,4,2,60,Matches
Gideon Mensah,gh GHA,DF,24-259,19.1,843,1106,76.2,14571,5530,416,477,87.2,335,417,80.3,74,154,48.1,0,1.0,1.5,-1.0,17,74,14,7,83,Matches
Benoît Costil,fr FRA,GK,35-274,19.0,414,593,69.8,13801,10403,54,54,100.0,173,179,96.6,186,357,52.1,0,0.0,0.0,0.0,0,11,0,0,1,Matches
Rayan Raveloson,mg MAD,"DF,MF",26-077,18.2,584,727,80.3,10936,3910,224,258,86.8,266,323,82.4,69,108,63.9,0,0.4,0.9,-0.4,7,48,9,4,64,Matches
Hamza Sakhi,ma MAR,MF,26-300,17.7,717,896,80.0,14271,4287,261,293,89.1,284,338,84.0,136,205,66.3,2,3.0,2.9,-1.0,34,94,21,7,130,Matches
Mathias Autret,fr FRA,"MF,FW",32-033,14.0,441,582,75.8,9096,2740,167,198,84.3,173,215,80.5,89,136,65.4,2,2.0,2.0,0.0,27,58,15,4,72,Matches
Julian Jeanvier,gn GUI,DF,31-003,14.5,523,623,83.9,10505,3657,169,194,87.1,274,303,90.4,69,107,64.5,0,0.0,0.1,0.0,0,14,0,0,22,Matches
Nuno da Costa,cv CPV,"FW,MF",32-052,15.2,181,265,68.3,2948,959,80,120,66.7,56,75,74.7,23,30,76.7,3,2.4,1.9,0.6,17,14,8,4,23,Matches
Lassine Sinayoko,ml MLI,"MF,FW",23-116,14.4,346,465,74.4,4963,1439,194,247,78.5,109,144,75.7,19,35,54.3,2,1.8,1.1,0.2,14,28,23,6,60,Matches
Gauthier Hein,fr FRA,"MF,FW",26-239,13.4,404,512,78.9,7084,1647,196,219,89.5,130,165,78.8,55,95,57.9,0,2.1,1.6,-2.1,20,33,12,3,49,Matches
M'Baye Niang,sn SEN,FW,28-105,13.3,157,247,63.6,2430,574,83,120,69.2,55,81,67.9,11,17,64.7,0,0.3,0.5,-0.3,3,8,6,1,25,Matches
Gaëtan Perrin,fr FRA,"MF,FW",26-300,12.7,261,354,73.7,4760,1445,117,144,81.3,100,130,76.9,34,53,64.2,1,1.8,1.0,-0.8,21,32,13,3,56,Matches
Akim Zedadka,dz ALG,DF,27-308,11.2,358,471,76.0,5609,1938,183,213,85.9,143,189,75.7,20,44,45.5,0,0.7,0.7,-0.7,8,23,9,6,31,Matches
Souleymane Touré,fr FRA,DF,20-006,10.8,404,468,86.3,7927,2421,118,143,82.5,222,237,93.7,51,67,76.1,0,0.2,0.2,-0.2,5,24,2,0,28,Matches
