Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Marco Bizot,nl NED,GK,32-009,26.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lilian Brassier,fr FRA,DF,23-137,23.4,0,13,1,7.7,0.56,0.04,0.0,0.0,19.0,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Franck Honorat,fr FRA,"FW,MF",26-220,21.1,5,34,15,44.1,1.61,0.71,0.15,0.33,18.1,3,0,0,3.6,3.6,0.11,1.4,1.4,Matches
Pierre Lees-Melou,fr FRA,MF,29-298,20.7,3,27,7,25.9,1.3,0.34,0.11,0.43,23.5,2,0,0,1.3,1.3,0.05,1.7,1.7,Matches
Haris Belkebla,dz ALG,MF,29-050,19.8,1,8,2,25.0,0.4,0.1,0.13,0.5,24.3,0,0,0,0.4,0.4,0.05,0.6,0.6,Matches
Jean-Kevin Duverne,fr FRA,DF,25-250,18.4,0,3,1,33.3,0.16,0.05,0.0,0.0,13.2,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches
Brendan Chardonnet,fr FRA,DF,28-087,17.5,0,8,1,12.5,0.46,0.06,0.0,0.0,12.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Mahdi Camara,fr FRA,MF,24-262,15.3,0,15,4,26.7,0.98,0.26,0.0,0.0,17.5,0,0,0,1.4,1.4,0.09,-1.4,-1.4,Matches
Hugo Magnetti,fr FRA,MF,24-293,14.6,0,14,4,28.6,0.96,0.27,0.0,0.0,25.4,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
Jérémy Le Douaron,fr FRA,"FW,MF",24-332,14.4,6,36,14,38.9,2.5,0.97,0.17,0.43,10.6,0,0,0,6.2,6.2,0.18,-0.2,-0.2,Matches
Achraf Dari,ma MAR,DF,23-317,13.8,1,4,2,50.0,0.29,0.15,0.25,0.5,15.4,0,0,0,0.4,0.4,0.09,0.6,0.6,Matches
Noah Fadiga,sn SEN,DF,23-106,12.3,1,9,3,33.3,0.73,0.24,0.11,0.33,18.8,0,0,0,0.6,0.6,0.06,0.4,0.4,Matches
Mathias Pereira Lage,pt POR,"MF,FW",26-109,12.0,1,18,7,38.9,1.5,0.58,0.06,0.14,19.9,1,0,0,1.0,1.0,0.06,0.0,0.0,Matches
Christophe Hérelle,mq MTQ,DF,30-209,11.8,0,3,0,0.0,0.25,0.0,0.0,,16.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Islam Slimani,dz ALG,FW,34-274,11.0,1,14,2,14.3,1.28,0.18,0.07,0.5,14.1,0,0,1,2.5,1.7,0.12,-1.5,-0.7,Matches
Romain Del Castillo,fr FRA,"FW,MF",26-355,9.7,4,22,8,36.4,2.28,0.83,0.05,0.13,19.6,2,3,3,3.9,1.6,0.07,0.1,-0.6,Matches
Steve Mounié,bj BEN,FW,28-171,7.7,4,27,7,25.9,3.49,0.9,0.11,0.43,14.7,0,1,1,4.3,3.5,0.14,-0.3,-0.5,Matches
Kenny Lala,fr FRA,DF,31-167,6.7,0,2,1,50.0,0.3,0.15,0.0,0.0,21.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Youcef Belaïli,dz ALG,"FW,MF",31-005,4.0,0,9,1,11.1,2.28,0.25,0.0,0.0,16.0,1,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
Jere Uronen,fi FIN,DF,28-249,3.3,0,1,0,0.0,0.3,0.0,0.0,,29.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Alberth Elis,hn HON,"MF,FW",27-035,2.5,0,3,1,33.3,1.19,0.4,0.0,0.0,12.4,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
Irvin Cardona,fr FRA,"FW,MF",25-223,2.6,0,4,2,50.0,1.55,0.77,0.0,0.0,13.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Banzouzi Locko,fr FRA,DF,20-317,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Taïryk Arconte,fr FRA,FW,19-127,1.4,0,2,1,50.0,1.41,0.7,0.0,0.0,12.5,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
Félix Lemaréchal,ci CIV,MF,19-224,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Joaquín Blázquez,ar ARG,GK,22-050,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Karamoko Dembele,sct SCO,"FW,MF",20-025,1.8,0,4,2,50.0,2.21,1.1,0.0,0.0,16.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Axel Camblan,fr FRA,"FW,MF",19-201,0.8,0,1,1,100.0,1.32,1.32,0.0,0.0,6.8,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
Hianga Mananga Mbock,fr FRA,MF,23-081,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.3,27.0,27,281,87,31.0,10.41,3.22,0.08,0.26,17.4,9,4,5,29.4,25.4,0.09,-2.4,-2.4,
Opponent Total,,,26.7,27.0,42,362,133,36.7,13.41,4.93,0.1,0.28,16.2,12,5,7,43.1,37.7,0.11,-1.1,-0.7,
