Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Mory Diaw,sn SEN,GK,29-270,27.0,0,0,0,0,2,0,0,2,0,0,0,0,23,4,0,100.0,Matches
Mateusz Wieteska,pl POL,DF,26-036,26.0,5,0,0,20,19,0,1,42,18,0,1,0,136,50,31,61.7,Matches
Neto Borges,br BRA,DF,26-187,23.0,4,1,1,14,34,3,57,33,37,0,1,0,134,24,18,57.1,Matches
Yohann Magnin,fr FRA,MF,25-271,22.5,5,0,0,38,41,3,14,21,43,0,3,0,123,20,32,38.5,Matches
Alidu Seidu,gh GHA,DF,22-288,19.5,6,0,0,25,50,1,18,37,23,0,0,0,148,14,6,70.0,Matches
Johan Gastien,fr FRA,MF,35-053,17.9,5,0,0,9,18,0,31,22,23,0,0,0,149,9,6,60.0,Matches
Saîf-Eddine Khaoui,tn TUN,MF,27-326,17.7,4,0,0,18,28,6,53,26,19,0,1,0,98,8,8,50.0,Matches
Jim Allevinah,ga GAB,"DF,FW",28-020,17.4,2,0,0,15,41,1,49,12,21,0,0,0,107,5,10,33.3,Matches
Muhammed Saracevic Cham,at AUT,MF,22-174,16.1,2,0,0,15,27,0,51,6,11,0,1,0,73,4,7,36.4,Matches
Elba Rashani,xk KVX,"MF,DF",29-314,16.0,2,0,0,23,20,3,42,17,14,1,0,0,79,12,25,32.4,Matches
Maximiliano Caufriez,be BEL,DF,26-031,15.4,8,1,1,16,18,1,0,24,11,0,0,0,85,14,8,63.6,Matches
Komnen Andrić,rs SRB,FW,27-261,15.2,3,0,0,14,39,6,1,8,5,1,0,0,36,43,54,44.3,Matches
Grejohn Kyei,fr FRA,FW,27-219,14.7,2,0,0,37,21,11,5,3,3,0,0,0,28,26,41,38.8,Matches
Florent Ogier,fr FRA,DF,33-363,14.5,3,0,0,11,8,0,3,12,13,0,1,0,71,24,20,54.5,Matches
Maxime Gonalons,fr FRA,MF,34-009,8.7,3,0,0,12,12,0,0,10,13,0,0,0,46,7,4,63.6,Matches
Jérémie Bela,ao ANG,"DF,MF",29-345,7.5,0,0,0,6,16,0,33,7,4,0,0,0,27,2,0,100.0,Matches
Cheick Konaté,ci CIV,DF,19-016,4.0,1,0,0,6,2,0,3,8,5,0,0,0,23,2,2,50.0,Matches
Aïman Maurer,ma MAR,MF,18-175,3.7,0,0,0,4,11,1,9,2,1,0,0,0,14,2,4,33.3,Matches
Jodel Dossou,bj BEN,"MF,DF",31-002,2.9,0,0,0,3,3,3,10,1,4,0,0,0,7,1,4,20.0,Matches
Arial Mendy,sn SEN,DF,28-132,2.5,0,0,0,1,7,1,10,4,2,0,1,0,14,5,4,55.6,Matches
Mehdi Zeffane,dz ALG,"DF,MF",30-304,1.5,1,0,0,2,1,1,11,6,0,0,0,0,9,0,1,0.0,Matches
Baila Diallo,fr FRA,"DF,MF",21-268,0.9,0,0,0,0,1,0,4,0,0,0,0,0,2,4,3,57.1,Matches
Yanis Massolin,fr FRA,MF,20-180,0.7,0,0,0,0,1,0,0,2,1,0,0,0,11,2,2,50.0,Matches
Brandon Baiye,be BEL,MF,22-082,0.6,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,0.0,Matches
Souleymane Cissé,fr FRA,DF,20-223,0.4,0,0,0,2,1,0,0,1,1,0,0,0,3,1,0,100.0,Matches
Jason Berthomier,fr FRA,MF,33-072,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,Matches
Jean-Claude Billong,cm CMR,MF,29-081,0.3,0,0,0,0,0,0,1,1,0,0,0,0,3,2,2,50.0,Matches
Squad Total,,,27.7,27.0,56,2,2,291,421,41,406,308,274,2,9,0,1453,285,294,49.2,
Opponent Total,,,27.0,27.0,50,7,3,441,274,36,449,297,269,6,4,1,1587,294,285,50.8,
