Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Mory Diaw,sn SEN,GK,29-288,29.0,1110,771,337,127,0,7,0,0,0,0,0,0,782,2,1,Matches
Mateusz Wieteska,pl POL,DF,26-054,28.0,1349,1279,64,40,1,6,1,22,0,0,0,0,1107,6,11,Matches
Neto Borges,br BRA,DF,26-205,25.0,1203,962,237,17,3,0,65,213,0,0,0,0,935,4,31,Matches
Yohann Magnin,fr FRA,MF,25-289,22.8,1159,1128,29,16,2,7,14,12,1,0,0,0,970,2,23,Matches
Alidu Seidu,gh GHA,DF,22-306,20.4,1026,929,96,21,0,3,18,75,0,0,0,0,873,1,17,Matches
Johan Gastien,fr FRA,MF,35-071,19.9,1511,1373,135,102,3,15,37,8,25,13,7,1,1251,3,14,Matches
Saîf-Eddine Khaoui,tn TUN,MF,27-344,19.2,641,567,67,23,2,2,53,0,44,16,19,0,439,7,15,Matches
Jim Allevinah,ga GAB,"DF,FW",28-038,19.4,624,588,35,7,0,2,55,27,0,0,0,0,484,1,25,Matches
Elba Rashani,xk KVX,"MF,DF",29-332,16.9,518,495,21,4,1,2,43,16,1,0,0,0,374,2,32,Matches
Grejohn Kyei,fr FRA,FW,27-237,16.6,330,298,28,0,1,3,6,0,0,0,0,0,227,4,10,Matches
Muhammed Saracevic Cham,at AUT,MF,22-192,16.5,755,674,75,30,11,1,55,7,34,22,7,1,587,6,26,Matches
Maximiliano Caufriez,be BEL,DF,26-049,15.7,732,693,39,32,1,9,0,3,0,0,0,0,651,0,6,Matches
Komnen Andrić,rs SRB,FW,27-279,15.3,412,375,35,0,0,4,1,0,0,0,0,0,308,2,15,Matches
Florent Ogier,fr FRA,DF,34-016,14.6,769,712,57,28,0,3,3,22,0,0,0,0,614,0,13,Matches
Maxime Gonalons,fr FRA,MF,34-027,10.4,547,523,21,20,1,16,2,1,0,0,0,0,478,3,8,Matches
Jérémie Bela,ao ANG,"DF,MF",29-363,7.7,244,205,39,1,0,1,33,32,5,1,4,0,164,0,17,Matches
Cheick Konaté,ci CIV,DF,19-034,5.7,279,231,48,11,1,3,4,37,0,0,0,0,199,0,12,Matches
Aïman Maurer,ma MAR,MF,18-193,4.5,99,85,14,6,1,0,14,0,8,5,3,0,71,0,5,Matches
Jodel Dossou,bj BEN,"MF,DF",31-020,2.9,59,55,4,0,0,0,10,4,0,0,0,0,39,0,2,Matches
Mehdi Zeffane,dz ALG,"DF,MF",30-322,2.5,99,95,4,1,0,1,11,2,1,1,0,0,72,0,3,Matches
Arial Mendy,sn SEN,DF,28-150,2.5,120,100,20,3,0,0,10,17,0,0,0,0,82,0,4,Matches
Baila Diallo,fr FRA,"DF,MF",21-286,1.0,47,32,15,0,0,0,5,15,0,0,0,0,32,0,2,Matches
Yanis Massolin,fr FRA,MF,20-198,0.7,39,39,0,0,0,0,0,0,0,0,0,0,30,0,0,Matches
Brandon Baiye,be BEL,MF,22-100,0.6,32,29,3,3,0,0,0,0,0,0,0,0,27,0,0,Matches
Souleymane Cissé,fr FRA,DF,20-241,0.4,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
Jason Berthomier,fr FRA,MF,33-090,0.3,19,17,2,1,0,0,0,0,1,0,0,0,19,0,0,Matches
Jean-Claude Billong,cm CMR,MF,29-099,0.3,34,33,1,1,0,0,1,0,0,0,0,0,33,0,0,Matches
Squad Total,,,27.8,29.0,13768,12299,1426,494,28,85,441,513,120,58,40,2,10856,43,292,
Opponent Total,,,27.2,29.0,14739,13444,1256,337,38,105,476,572,111,48,46,0,11900,39,267,
