Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Mory Diaw,sn SEN,GK,29-285,28.0,753,1074,70.1,22745,16525,110,111,99.1,329,341,96.5,307,612,50.2,0,0.1,0.1,-0.1,2,25,2,0,0,Matches
Mateusz Wieteska,pl POL,DF,26-051,27.0,1034,1268,81.5,19174,7999,403,457,88.2,515,585,88.0,95,187,50.8,1,0.3,0.5,0.7,3,73,3,0,80,Matches
Neto Borges,br BRA,DF,26-202,24.0,883,1131,78.1,13904,5312,452,514,87.9,362,466,77.7,49,88,55.7,0,2.1,2.4,-2.1,23,42,32,12,73,Matches
Yohann Magnin,fr FRA,MF,25-286,22.7,961,1150,83.6,15950,4766,435,495,87.9,393,452,86.9,83,128,64.8,0,1.0,1.1,-1.0,17,77,9,2,104,Matches
Alidu Seidu,gh GHA,DF,22-303,19.5,805,952,84.6,14073,4510,349,376,92.8,356,408,87.3,74,123,60.2,0,0.5,0.6,-0.5,6,37,10,6,45,Matches
Johan Gastien,fr FRA,MF,35-068,18.9,1171,1419,82.5,22768,7654,429,485,88.5,541,617,87.7,164,258,63.6,2,1.4,1.8,0.6,18,127,17,3,145,Matches
Saîf-Eddine Khaoui,tn TUN,MF,27-341,18.6,425,619,68.7,6450,2357,221,277,79.8,137,188,72.9,34,96,35.4,3,3.6,1.8,-0.6,34,41,11,2,64,Matches
Jim Allevinah,ga GAB,"DF,FW",28-035,18.4,454,588,77.2,6402,1481,264,314,84.1,150,189,79.4,17,38,44.7,0,1.4,1.5,-1.4,12,25,9,6,42,Matches
Muhammed Saracevic Cham,at AUT,MF,22-189,16.1,575,739,77.8,9406,2381,280,329,85.1,201,241,83.4,58,101,57.4,2,2.0,2.2,0.0,23,47,21,1,70,Matches
Elba Rashani,xk KVX,"MF,DF",29-329,16.0,355,497,71.4,5050,1145,194,237,81.9,128,163,78.5,11,36,30.6,1,1.7,1.0,-0.7,9,26,6,1,35,Matches
Grejohn Kyei,fr FRA,FW,27-234,15.6,208,304,68.4,2992,496,111,147,75.5,64,91,70.3,13,21,61.9,2,0.8,0.9,1.2,6,12,6,2,16,Matches
Maximiliano Caufriez,be BEL,DF,26-046,15.4,636,714,89.1,11610,4145,248,266,93.2,294,318,92.5,72,100,72.0,0,0.0,0.2,0.0,0,45,3,0,63,Matches
Komnen Andrić,rs SRB,FW,27-276,15.3,308,412,74.8,4591,641,168,222,75.7,94,118,79.7,22,26,84.6,3,0.9,0.7,2.1,15,22,5,0,26,Matches
Florent Ogier,fr FRA,DF,34-013,14.5,607,761,79.8,11438,4959,234,263,89.0,278,330,84.2,78,141,55.3,1,1.3,0.6,-0.3,5,44,2,0,53,Matches
Maxime Gonalons,fr FRA,MF,34-024,9.5,431,493,87.4,7971,2588,157,179,87.7,211,223,94.6,46,64,71.9,0,0.3,0.5,-0.3,5,49,4,0,65,Matches
Jérémie Bela,ao ANG,"DF,MF",29-360,7.7,164,244,67.2,2225,890,96,127,75.6,56,78,71.8,3,15,20.0,1,0.2,0.4,0.8,3,18,7,3,22,Matches
Cheick Konaté,ci CIV,DF,19-031,5.0,160,228,70.2,2812,1186,70,85,82.4,71,94,75.5,15,36,41.7,0,0.2,0.1,-0.2,2,11,1,1,16,Matches
Aïman Maurer,ma MAR,MF,18-190,4.4,68,93,73.1,1123,312,35,43,81.4,28,34,82.4,4,13,30.8,0,0.5,0.7,-0.5,3,2,3,1,6,Matches
Jodel Dossou,bj BEN,"MF,DF",31-017,2.9,39,59,66.1,552,196,26,32,81.3,10,18,55.6,2,5,40.0,0,0.2,0.2,-0.2,3,5,1,1,6,Matches
Mehdi Zeffane,dz ALG,"DF,MF",30-319,2.5,72,99,72.7,1179,426,34,42,81.0,28,37,75.7,7,13,53.8,0,0.1,0.1,-0.1,4,7,1,0,6,Matches
Arial Mendy,sn SEN,DF,28-147,2.5,82,120,68.3,1347,382,42,55,76.4,32,45,71.1,7,14,50.0,0,0.1,0.3,-0.1,1,7,4,2,7,Matches
Baila Diallo,fr FRA,"DF,MF",21-283,1.0,32,47,68.1,516,233,12,16,75.0,16,23,69.6,2,5,40.0,0,0.0,0.2,0.0,0,0,2,1,1,Matches
Yanis Massolin,fr FRA,MF,20-195,0.7,30,39,76.9,497,155,15,18,83.3,13,17,76.5,2,3,66.7,0,0.0,0.0,0.0,0,3,0,0,4,Matches
Brandon Baiye,be BEL,MF,22-097,0.6,27,32,84.4,416,120,14,15,93.3,10,13,76.9,2,2,100.0,0,0.1,0.1,-0.1,1,1,0,0,2,Matches
Souleymane Cissé,fr FRA,DF,20-238,0.4,8,11,72.7,128,9,5,5,100.0,3,5,60.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Jason Berthomier,fr FRA,MF,33-087,0.3,19,19,100.0,248,34,13,13,100.0,4,4,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Jean-Claude Billong,cm CMR,MF,29-096,0.3,33,34,97.1,619,231,10,10,100.0,21,21,100.0,2,3,66.7,0,0.0,0.0,0.0,0,0,0,0,4,Matches
Squad Total,,,27.8,28.0,10340,13146,78.7,186186,71133,4427,5133,86.2,4345,5119,84.9,1170,2129,55.0,16,18.6,18.1,-2.6,195,747,159,44,956,
Opponent Total,,,27.1,28.0,11707,14435,81.1,210540,73377,4958,5713,86.8,5081,5860,86.7,1252,2060,60.8,27,29.2,29.2,-2.2,259,1104,215,55,1282,
