Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Mory Diaw,sn SEN,GK,29-285,28.0,1151,942,1143,8,0,0,1151,0,0,,0,,759,4226,2806,0,0,0,0,0,486,0,Matches
Mateusz Wieteska,pl POL,DF,26-051,27.0,1505,203,781,691,46,24,1505,7,5,71.4,0,0.0,1044,6410,3520,12,7,0,9,4,929,7,Matches
Neto Borges,br BRA,DF,26-202,24.0,1428,82,459,594,398,51,1428,71,33,46.5,33,46.5,886,5074,2471,44,39,8,29,14,775,125,Matches
Yohann Magnin,fr FRA,MF,25-286,22.7,1409,56,371,859,190,22,1409,29,6,20.7,17,58.6,999,4578,1835,12,22,2,16,9,918,54,Matches
Alidu Seidu,gh GHA,DF,22-303,19.5,1147,86,481,561,126,3,1147,45,23,51.1,8,17.8,828,5227,2515,17,23,2,25,10,684,31,Matches
Johan Gastien,fr FRA,MF,35-068,18.9,1588,61,449,957,194,4,1588,18,6,33.3,11,61.1,1220,5717,2360,9,18,0,21,10,1115,17,Matches
Saîf-Eddine Khaoui,tn TUN,MF,27-341,18.6,816,14,128,437,273,36,816,43,20,46.5,17,39.5,558,3036,1302,20,25,4,34,19,494,67,Matches
Jim Allevinah,ga GAB,"DF,FW",28-035,18.4,811,30,171,361,294,51,811,70,29,41.4,32,45.7,618,4752,2084,66,41,10,35,35,543,112,Matches
Muhammed Saracevic Cham,at AUT,MF,22-189,16.1,911,12,114,439,371,42,910,40,18,45.0,15,37.5,710,4144,1882,49,45,9,30,46,676,91,Matches
Elba Rashani,xk KVX,"MF,DF",29-329,16.0,674,19,131,303,253,57,674,37,13,35.1,18,48.6,467,2966,1143,34,23,17,33,16,423,100,Matches
Grejohn Kyei,fr FRA,FW,27-234,15.6,517,16,40,281,203,54,516,47,22,46.8,23,48.9,376,2013,527,17,7,9,66,36,408,101,Matches
Maximiliano Caufriez,be BEL,DF,26-046,15.4,867,115,431,400,43,6,867,8,3,37.5,4,50.0,637,4272,2092,17,14,0,6,2,558,6,Matches
Komnen Andrić,rs SRB,FW,27-276,15.3,568,12,38,337,196,51,566,11,5,45.5,4,36.4,410,2050,465,8,12,4,44,27,457,86,Matches
Florent Ogier,fr FRA,DF,34-013,14.5,880,103,455,393,34,7,880,8,4,50.0,3,37.5,623,3083,1544,4,5,0,6,0,571,3,Matches
Maxime Gonalons,fr FRA,MF,34-024,9.5,585,20,153,385,54,2,585,17,10,58.8,6,35.3,434,2152,959,7,7,0,11,6,398,1,Matches
Jérémie Bela,ao ANG,"DF,MF",29-360,7.7,329,15,70,123,142,12,329,26,9,34.6,13,50.0,225,1523,616,21,14,4,16,8,206,48,Matches
Cheick Konaté,ci CIV,DF,19-031,5.0,279,12,121,143,25,2,279,22,17,77.3,4,18.2,175,1147,622,8,11,1,3,4,154,2,Matches
Aïman Maurer,ma MAR,MF,18-190,4.4,144,4,24,66,58,16,144,25,14,56.0,9,36.0,110,954,474,16,7,7,13,3,100,31,Matches
Jodel Dossou,bj BEN,"MF,DF",31-017,2.9,101,1,13,40,51,9,101,21,8,38.1,10,47.6,67,446,214,8,4,2,8,5,64,23,Matches
Mehdi Zeffane,dz ALG,"DF,MF",30-319,2.5,127,6,28,63,39,1,127,1,0,0.0,1,100.0,96,414,168,2,5,0,5,0,82,12,Matches
Arial Mendy,sn SEN,DF,28-147,2.5,147,7,45,57,46,5,147,5,0,0.0,2,40.0,92,499,211,6,4,0,2,2,81,22,Matches
Baila Diallo,fr FRA,"DF,MF",21-283,1.0,55,3,13,18,24,4,55,1,0,0.0,1,100.0,25,160,59,3,2,2,1,1,26,9,Matches
Yanis Massolin,fr FRA,MF,20-195,0.7,50,1,17,25,9,1,50,3,0,0.0,3,100.0,37,180,68,0,1,0,0,0,30,0,Matches
Brandon Baiye,be BEL,MF,22-097,0.6,42,5,10,24,8,1,42,1,1,100.0,0,0.0,27,159,54,0,0,0,1,1,24,0,Matches
Souleymane Cissé,fr FRA,DF,20-238,0.4,19,4,11,6,2,1,19,1,0,0.0,1,100.0,13,61,7,0,0,0,1,1,10,1,Matches
Jason Berthomier,fr FRA,MF,33-087,0.3,20,0,1,13,6,0,20,0,0,,0,,16,69,20,0,0,0,0,0,17,2,Matches
Jean-Claude Billong,cm CMR,MF,29-096,0.3,35,4,10,24,1,0,35,0,0,,0,,29,158,56,0,0,0,0,0,26,0,Matches
Squad Total,,,27.8,28.0,16205,1833,5708,7608,3086,462,16201,557,246,44.2,235,42.2,11481,65470,30074,380,336,81,415,259,10255,951,
Opponent Total,,,27.1,28.0,17469,1477,4668,8663,4328,565,17460,624,300,48.1,248,39.7,12873,70886,32706,496,410,117,440,250,11613,1267,
