Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Mory Diaw,sn SEN,GK,29-288,29.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mateusz Wieteska,pl POL,DF,26-054,28.0,0,13,5,38.5,0.46,0.18,0.0,0.0,8.6,0,0,0,1.6,1.6,0.13,-1.6,-1.6,Matches
Neto Borges,br BRA,DF,26-205,25.0,2,20,5,25.0,0.8,0.2,0.1,0.4,14.5,0,0,0,2.8,2.8,0.14,-0.8,-0.8,Matches
Yohann Magnin,fr FRA,MF,25-289,22.8,0,13,0,0.0,0.57,0.0,0.0,,19.9,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
Alidu Seidu,gh GHA,DF,22-306,20.4,0,5,1,20.0,0.25,0.05,0.0,0.0,33.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Johan Gastien,fr FRA,MF,35-071,19.9,2,12,6,50.0,0.6,0.3,0.17,0.33,25.9,1,0,0,0.6,0.6,0.05,1.4,1.4,Matches
Saîf-Eddine Khaoui,tn TUN,MF,27-344,19.2,4,37,15,40.5,1.93,0.78,0.11,0.27,22.9,6,0,0,3.2,3.2,0.09,0.8,0.8,Matches
Jim Allevinah,ga GAB,"DF,FW",28-038,19.4,1,27,7,25.9,1.39,0.36,0.04,0.14,16.4,0,0,0,2.3,2.3,0.09,-1.3,-1.3,Matches
Elba Rashani,xk KVX,"MF,DF",29-332,16.9,3,26,12,46.2,1.54,0.71,0.12,0.25,14.4,0,0,0,3.8,3.8,0.15,-0.8,-0.8,Matches
Grejohn Kyei,fr FRA,FW,27-237,16.6,5,37,14,37.8,2.23,0.85,0.08,0.21,17.2,0,2,3,6.7,4.3,0.12,-1.7,-1.3,Matches
Muhammed Saracevic Cham,at AUT,MF,22-192,16.5,4,37,14,37.8,2.24,0.85,0.08,0.21,20.3,5,1,1,4.0,3.2,0.09,0.0,-0.2,Matches
Maximiliano Caufriez,be BEL,DF,26-049,15.7,0,6,2,33.3,0.38,0.13,0.0,0.0,18.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Komnen Andrić,rs SRB,FW,27-279,15.3,4,27,11,40.7,1.76,0.72,0.11,0.27,13.9,0,1,2,5.4,3.8,0.14,-1.4,-0.8,Matches
Florent Ogier,fr FRA,DF,34-016,14.6,0,2,0,0.0,0.14,0.0,0.0,,18.2,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
Maxime Gonalons,fr FRA,MF,34-027,10.4,1,5,1,20.0,0.48,0.1,0.2,1.0,23.1,0,0,0,0.5,0.5,0.09,0.5,0.5,Matches
Jérémie Bela,ao ANG,"DF,MF",29-363,7.7,1,11,5,45.5,1.43,0.65,0.09,0.2,21.7,1,0,0,0.5,0.5,0.05,0.5,0.5,Matches
Cheick Konaté,ci CIV,DF,19-034,5.7,0,2,0,0.0,0.35,0.0,0.0,,34.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Aïman Maurer,ma MAR,MF,18-193,4.5,0,8,4,50.0,1.76,0.88,0.0,0.0,17.6,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Jodel Dossou,bj BEN,"MF,DF",31-020,2.9,1,6,3,50.0,2.09,1.05,0.17,0.33,16.7,0,0,0,0.4,0.4,0.07,0.6,0.6,Matches
Mehdi Zeffane,dz ALG,"DF,MF",30-322,2.5,0,1,0,0.0,0.41,0.0,0.0,,29.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Arial Mendy,sn SEN,DF,28-150,2.5,0,2,0,0.0,0.81,0.0,0.0,,20.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Baila Diallo,fr FRA,"DF,MF",21-286,1.0,0,1,0,0.0,1.01,0.0,0.0,,31.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Yanis Massolin,fr FRA,MF,20-198,0.7,0,1,0,0.0,1.5,0.0,0.0,,21.4,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Brandon Baiye,be BEL,MF,22-100,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Souleymane Cissé,fr FRA,DF,20-241,0.4,0,1,0,0.0,2.5,0.0,0.0,,13.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Jason Berthomier,fr FRA,MF,33-090,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jean-Claude Billong,cm CMR,MF,29-099,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.8,29.0,28,300,105,35.0,10.34,3.62,0.08,0.23,18.4,14,4,6,33.1,28.4,0.1,-5.1,-4.4,
Opponent Total,,,27.2,29.0,41,372,122,32.8,12.83,4.21,0.09,0.28,18.0,15,7,9,47.8,40.7,0.11,-6.8,-6.7,
