Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Kevin Danso,at AUT,DF,24-181,28,2520.0,90.0,100.0,28.0,28,90.0,28,0,,0,2.04,47.0,21.0,26.0,0.93,,49.9,30.5,19.4,0.69,,Matches
Brice Samba,cg CGO,GK,28-328,28,2520.0,90.0,100.0,28.0,28,90.0,28,0,,0,2.04,47.0,21.0,26.0,0.93,,49.9,30.5,19.4,0.69,,Matches
Salis Abdul Samed,gh GHA,MF,22-358,26,2336.0,90.0,92.7,26.0,26,90.0,24,0,,0,2.15,45.0,18.0,27.0,1.04,1.53,46.7,27.5,19.2,0.74,0.61,Matches
Florian Sotoca,fr FRA,"FW,MF",32-145,28,2297.0,82.0,91.2,25.5,26,86.0,15,2,31.0,0,2.04,46.0,18.0,28.0,1.1,1.9,46.6,24.5,22.1,0.87,1.95,Matches
Seko Fofana,ci CIV,MF,27-316,26,2263.0,87.0,89.8,25.1,25,89.0,19,1,45.0,0,2.04,40.0,18.0,22.0,0.87,-0.53,43.5,26.7,16.8,0.67,-0.28,Matches
Facundo Medina,ar ARG,DF,23-295,23,1970.0,86.0,78.2,21.9,23,86.0,19,0,,1,2.0,34.0,18.0,16.0,0.73,-0.91,38.8,24.1,14.7,0.67,-0.1,Matches
Jonathan Gradit,fr FRA,DF,30-115,23,1930.0,84.0,76.6,21.4,23,84.0,17,0,,0,2.04,40.0,19.0,21.0,0.98,0.22,39.7,21.9,17.9,0.83,0.59,Matches
Przemysław Frankowski,pl POL,"DF,MF",27-341,28,2042.0,73.0,81.0,22.7,22,84.0,12,6,32.0,0,2.04,40.0,13.0,27.0,1.19,1.38,38.8,23.0,15.8,0.7,0.01,Matches
Loïs Openda,be BEL,FW,23-031,28,1693.0,60.0,67.2,18.8,19,74.0,3,9,32.0,0,2.04,32.0,13.0,19.0,1.01,0.25,34.1,20.0,14.1,0.75,0.17,Matches
Deiver Machado,co COL,"DF,MF",29-198,25,1687.0,67.0,66.9,18.7,19,80.0,1,6,28.0,1,2.0,29.0,17.0,12.0,0.64,-0.87,32.1,19.8,12.3,0.65,-0.12,Matches
David Pereira da Costa,pt POR,"MF,FW",22-073,26,1346.0,52.0,53.4,15.0,16,70.0,1,10,23.0,0,2.04,24.0,7.0,17.0,1.14,0.45,29.9,15.4,14.5,0.97,0.59,Matches
Massadio Haïdara,ml MLI,"DF,MF",30-107,26,1334.0,51.0,52.9,14.8,15,79.0,10,11,14.0,0,2.04,18.0,6.0,12.0,0.81,-0.25,25.9,14.8,11.1,0.75,0.11,Matches
Adrien Thomasson,fr FRA,"MF,FW",29-099,10,590.0,59.0,23.4,6.6,7,75.0,2,3,22.0,0,1.6,13.0,7.0,6.0,0.92,-0.02,10.4,8.1,2.3,0.35,-0.44,Matches
Wesley Saïd,fr FRA,"FW,MF",27-334,17,597.0,35.0,23.7,6.6,6,57.0,0,11,23.0,1,2.29,10.0,5.0,5.0,0.75,-0.23,11.5,9.3,2.1,0.32,-0.49,Matches
Angelo Fulgini,fr FRA,"MF,FW",26-211,7,415.0,59.0,16.5,4.6,6,66.0,0,1,19.0,0,1.71,12.0,3.0,9.0,1.95,1.22,8.0,2.3,5.7,1.23,0.64,Matches
Jimmy Cabot,fr FRA,"DF,MF",28-335,11,511.0,46.0,20.3,5.7,5,81.0,3,6,17.0,0,2.18,8.0,6.0,2.0,0.35,-0.72,11.2,6.7,4.5,0.78,0.11,Matches
Jean Onana,cm CMR,MF,23-070,14,379.0,27.0,15.0,4.2,5,60.0,0,9,9.0,9,2.36,3.0,5.0,-2.0,-0.47,-1.65,6.4,6.7,-0.2,-0.06,-0.89,Matches
Alexis Claude-Maurice,fr FRA,"MF,FW",24-286,15,485.0,32.0,19.2,5.4,4,66.0,0,11,20.0,1,2.27,10.0,5.0,5.0,0.93,0.0,8.9,5.7,3.2,0.59,-0.13,Matches
Łukasz Poręba,pl POL,MF,23-006,7,247.0,35.0,9.8,2.7,3,67.0,0,4,12.0,20,2.0,6.0,2.0,4.0,1.46,0.59,5.8,3.2,2.6,0.96,0.3,Matches
Julien Le Cardinal,fr FRA,DF,25-228,5,145.0,29.0,5.8,1.6,2,69.0,0,3,2.0,8,1.2,1.0,2.0,-1.0,-0.62,-1.64,3.2,2.2,1.0,0.64,-0.05,Matches
Rémy Labeau Lascary,gp GLP,"FW,MF",20-016,9,115.0,13.0,4.6,1.3,0,,0,9,13.0,9,1.44,2.0,0.0,2.0,1.57,0.67,2.6,2.5,0.0,0.02,-0.71,Matches
Ismaëlben Boura,fr FRA,"DF,FW",22-217,9,93.0,10.0,3.7,1.0,0,,0,9,10.0,15,1.78,5.0,2.0,3.0,2.9,2.05,2.6,3.3,-0.7,-0.71,-1.45,Matches
Adam Buksa,pl POL,"FW,MF",26-250,4,63.0,16.0,2.5,0.7,0,,0,4,16.0,1,1.75,0.0,0.0,0.0,0.0,-0.95,0.1,1.5,-1.4,-1.96,-2.73,Matches
Ignatius Ganago,cm CMR,FW,24-031,4,59.0,15.0,2.3,0.7,0,,0,4,15.0,0,2.5,1.0,2.0,-1.0,-1.53,-2.51,0.5,1.9,-1.4,-2.09,-2.85,Matches
Patrick Berg,no NOR,"MF,FW",25-115,3,25.0,8.0,1.0,0.3,0,,0,3,8.0,1,3.0,0.0,2.0,-2.0,-7.2,-8.21,0.3,1.2,-0.9,-3.19,-3.92,Matches
Gaël Kakuta,cd COD,FW,31-271,2,22.0,11.0,0.9,0.2,0,,0,2,11.0,4,2.0,1.0,0.0,1.0,4.09,3.19,0.5,0.4,0.0,0.03,-0.67,Matches
Steven Fortes,cv CPV,DF,30-336,1,7.0,7.0,0.3,0.1,0,,0,1,7.0,10,3.0,2.0,0.0,2.0,25.71,24.85,0.4,0.0,0.4,4.67,3.99,Matches
