Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Kevin Danso,at AUT,DF,24-196,29.0,2186,191,820,1302,77,27,2186,29,16,55.2,8,27.6,1628,10308,5791,25,21,1,15,10,1481,2,Matches
Brice Samba,fr FRA,GK,28-343,29.0,1021,715,1006,17,0,0,1021,1,1,100.0,0,0.0,770,4064,2379,0,0,0,1,0,568,0,Matches
Salis Abdul Samed,gh GHA,MF,23-008,27.0,1900,49,331,1288,299,15,1900,44,28,63.6,10,22.7,1559,8127,2941,28,51,3,35,27,1458,37,Matches
Florian Sotoca,fr FRA,"FW,MF",32-160,26.5,1442,35,150,701,603,123,1439,28,9,32.1,15,53.6,1082,5325,1764,35,42,13,37,20,1098,240,Matches
Seko Fofana,ci CIV,MF,27-331,26.1,1600,23,169,907,540,85,1598,79,43,54.4,30,38.0,1370,8458,3606,95,77,22,48,33,1302,195,Matches
Facundo Medina,ar ARG,DF,23-310,22.9,2117,111,622,1340,177,18,2117,33,21,63.6,7,21.2,1762,11158,6494,66,51,1,17,18,1637,28,Matches
Jonathan Gradit,fr FRA,DF,30-130,22.4,1704,101,526,1073,117,7,1704,20,10,50.0,9,45.0,1330,7987,4568,28,40,2,16,7,1270,7,Matches
Przemysław Frankowski,pl POL,"DF,MF",27-356,23.6,1642,58,304,624,730,46,1641,20,6,30.0,11,55.0,1037,5318,1975,40,37,8,27,7,955,202,Matches
Loïs Openda,be BEL,FW,23-046,19.7,508,2,14,171,336,118,508,37,9,24.3,24,64.9,358,2601,1087,43,31,29,38,19,352,158,Matches
Deiver Machado,co COL,"DF,MF",29-213,18.9,874,41,212,370,303,27,874,37,11,29.7,17,45.9,580,3564,1557,44,33,8,24,8,512,113,Matches
David Pereira da Costa,pt POR,"MF,FW",22-088,15.1,867,5,54,431,393,42,867,47,27,57.4,15,31.9,739,5003,2439,60,67,9,31,26,705,132,Matches
Massadio Haïdara,ml MLI,"DF,MF",30-122,14.8,1012,62,284,545,188,23,1012,18,8,44.4,4,22.2,718,3857,1922,20,22,5,18,5,655,46,Matches
Adrien Thomasson,fr FRA,"MF,FW",29-114,7.4,382,4,58,176,149,23,382,7,4,57.1,1,14.3,301,1508,545,14,13,1,13,10,284,52,Matches
Angelo Fulgini,fr FRA,"FW,MF",26-226,5.4,325,3,23,165,142,7,325,15,7,46.7,7,46.7,250,1289,488,9,12,1,12,8,240,45,Matches
Wesley Saïd,fr FRA,"FW,MF",27-349,6.7,245,2,11,134,107,36,245,24,16,66.7,8,33.3,200,1172,437,17,10,4,17,6,196,56,Matches
Jimmy Cabot,fr FRA,"DF,MF",28-350,5.7,432,13,88,162,193,19,432,24,12,50.0,11,45.8,282,2002,887,26,17,8,26,6,247,65,Matches
Jean Onana,cm CMR,MF,23-085,4.2,258,11,51,163,46,5,258,2,2,100.0,0,0.0,194,1083,317,4,7,2,4,6,180,10,Matches
Alexis Claude-Maurice,fr FRA,"MF,FW",24-301,5.6,269,5,32,137,105,21,269,23,8,34.8,12,52.2,207,1210,457,10,5,5,16,9,211,40,Matches
Łukasz Poręba,pl POL,MF,23-021,2.7,156,3,17,83,56,1,156,2,1,50.0,1,50.0,116,577,206,3,8,0,5,1,110,18,Matches
Julien Le Cardinal,fr FRA,DF,25-243,1.6,142,7,24,63,56,5,142,4,2,50.0,1,25.0,92,532,211,4,9,0,4,1,87,13,Matches
Rémy Labeau Lascary,gp GLP,"FW,MF",20-031,1.3,51,1,9,13,29,11,51,7,2,28.6,5,71.4,38,287,96,3,1,0,7,3,37,15,Matches
Ismaëlben Boura,fr FRA,"DF,FW",22-232,1.0,88,5,21,40,27,1,88,6,4,66.7,2,33.3,58,372,159,6,4,1,6,0,50,11,Matches
Adam Buksa,pl POL,"FW,MF",26-265,0.7,26,0,0,15,11,5,26,0,0,,0,,21,81,11,0,0,0,7,2,23,7,Matches
Ignatius Ganago,cm CMR,FW,24-046,0.7,17,0,2,13,3,0,17,1,0,0.0,1,100.0,13,120,30,0,1,0,2,2,11,3,Matches
Patrick Berg,no NOR,"MF,FW",25-130,0.3,23,0,5,15,3,0,23,1,0,0.0,1,100.0,17,83,29,0,0,0,1,0,16,4,Matches
Gaël Kakuta,cd COD,FW,31-286,0.2,18,0,4,11,4,0,18,0,0,,0,,16,103,53,2,2,0,0,0,16,1,Matches
Steven Fortes,cv CPV,DF,30-351,0.1,3,0,2,1,0,0,3,0,0,,0,,1,2,2,0,0,0,0,0,1,0,Matches
Christopher Wooh,cm CMR,MF,21-197,0.0,3,0,1,2,0,0,3,0,0,,0,,2,4,2,0,0,0,0,0,2,0,Matches
Squad Total,,,27.0,29.0,19311,1447,4840,9962,4694,665,19305,509,247,48.5,200,39.3,14741,86195,40453,582,561,123,427,234,13704,1500,
Opponent Total,,,26.8,29.0,15666,2000,5598,7300,2939,465,15664,494,222,44.9,202,40.9,11073,62579,28270,393,309,90,429,230,9946,931,
