Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Jonathan David,ca CAN,FW,23-082,26.4,913.0,19.0,68.0,400.0,454.0,165.0,906.0,59.0,23.0,39.0,26.0,44.1,710.0,3745.0,1463.0,51.0,31.0,32.0,72.0,36.0,692.0,220.0,Matches
Angel Gomes,eng ENG,MF,22-218,24.5,1564.0,24.0,260.0,926.0,386.0,35.0,1563.0,41.0,23.0,56.1,8.0,19.5,1309.0,6246.0,2634.0,26.0,35.0,7.0,34.0,21.0,1266.0,92.0,Matches
Benjamin André,fr FRA,MF,32-246,25.5,2162.0,95.0,507.0,1399.0,275.0,25.0,2162.0,31.0,19.0,61.3,10.0,32.3,1628.0,8207.0,3475.0,30.0,34.0,0.0,32.0,30.0,1496.0,36.0,Matches
Tiago Djaló,pt POR,DF,22-362,22.4,1780.0,173.0,763.0,976.0,57.0,18.0,1780.0,14.0,5.0,35.7,6.0,42.9,1409.0,7349.0,3933.0,9.0,15.0,1.0,5.0,8.0,1272.0,4.0,Matches
Lucas Chevalier,fr FRA,GK,21-151,23.0,770.0,609.0,769.0,1.0,0.0,0.0,770.0,0.0,0.0,,0.0,,639.0,3214.0,2169.0,0.0,0.0,0.0,1.0,0.0,475.0,0.0,Matches
Jonathan Bamba,fr FRA,FW,27-011,23.0,1365.0,18.0,127.0,592.0,667.0,104.0,1365.0,74.0,23.0,31.1,45.0,60.8,1081.0,6676.0,2695.0,85.0,66.0,21.0,49.0,45.0,1036.0,252.0,Matches
José Fonte,pt POR,DF,39-105,21.8,1656.0,216.0,767.0,826.0,67.0,22.0,1656.0,0.0,0.0,,0.0,,1248.0,6146.0,3156.0,4.0,9.0,0.0,7.0,1.0,1181.0,8.0,Matches
Bafodé Diakité,fr FRA,DF,22-090,22.0,1616.0,65.0,430.0,873.0,325.0,27.0,1616.0,21.0,11.0,52.4,8.0,38.1,1137.0,5380.0,2598.0,29.0,34.0,6.0,22.0,11.0,1052.0,60.0,Matches
Rémy Cabella,fr FRA,"MF,FW",33-029,20.0,1484.0,11.0,123.0,682.0,695.0,97.0,1484.0,55.0,25.0,45.5,21.0,38.2,1135.0,6712.0,2954.0,84.0,58.0,20.0,35.0,27.0,1074.0,168.0,Matches
Ismaily,br BRA,DF,33-085,16.1,1124.0,41.0,259.0,556.0,320.0,39.0,1124.0,27.0,10.0,37.0,13.0,48.1,742.0,3735.0,1735.0,31.0,37.0,8.0,19.0,23.0,677.0,94.0,Matches
Timothy Weah,us USA,"DF,FW",23-043,14.0,856.0,17.0,163.0,408.0,295.0,27.0,856.0,23.0,12.0,52.2,8.0,34.8,636.0,4026.0,1944.0,55.0,39.0,12.0,17.0,8.0,600.0,114.0,Matches
André Gomes,pt POR,MF,29-250,13.5,1097.0,35.0,206.0,703.0,203.0,13.0,1097.0,28.0,19.0,67.9,7.0,25.0,884.0,4147.0,1528.0,14.0,28.0,3.0,18.0,23.0,813.0,29.0,Matches
Adam Ounas,dz ALG,FW,26-146,10.0,602.0,6.0,47.0,242.0,330.0,30.0,602.0,76.0,36.0,47.4,27.0,35.5,459.0,3525.0,1739.0,49.0,36.0,7.0,22.0,25.0,432.0,100.0,Matches
Alexsandro Ribeiro,br BRA,DF,23-240,9.9,805.0,99.0,396.0,394.0,19.0,12.0,805.0,13.0,10.0,76.9,3.0,23.1,607.0,3256.0,1537.0,6.0,3.0,0.0,6.0,4.0,562.0,1.0,Matches
Edon Zhegrova,xk KVX,"FW,DF",24-006,8.3,541.0,1.0,29.0,151.0,368.0,61.0,541.0,67.0,30.0,44.8,34.0,50.7,428.0,3224.0,1662.0,56.0,34.0,28.0,26.0,14.0,401.0,143.0,Matches
Leny Yoro,fr FRA,DF,17-144,6.5,481.0,43.0,228.0,252.0,4.0,3.0,481.0,3.0,3.0,100.0,0.0,0.0,368.0,1857.0,820.0,0.0,1.0,0.0,4.0,1.0,337.0,1.0,Matches
Leonardo César Jardim,br BRA,GK,28-017,6.0,,,,,,,,,,,,,,,,,,,,,,,Matches
Mohamed Lamine Bayo,gn GUI,"FW,MF",24-306,6.1,164.0,2.0,6.0,59.0,102.0,35.0,164.0,13.0,9.0,69.2,2.0,15.4,122.0,654.0,245.0,8.0,7.0,5.0,18.0,10.0,132.0,42.0,Matches
Gabriel Gudmundsson,se SWE,"DF,FW",23-342,5.8,344.0,17.0,90.0,149.0,109.0,19.0,344.0,20.0,12.0,60.0,4.0,20.0,223.0,1611.0,857.0,32.0,16.0,8.0,10.0,6.0,201.0,38.0,Matches
Akim Zedadka,dz ALG,"DF,MF",27-311,3.9,252.0,10.0,71.0,115.0,69.0,7.0,252.0,8.0,3.0,37.5,4.0,50.0,188.0,958.0,519.0,6.0,8.0,1.0,4.0,3.0,173.0,18.0,Matches
Carlos Baleba,cm CMR,MF,19-093,3.2,264.0,7.0,28.0,180.0,60.0,1.0,264.0,21.0,12.0,57.1,7.0,33.3,209.0,1388.0,767.0,12.0,13.0,1.0,6.0,13.0,194.0,6.0,Matches
Yusuf Yazıcı,tr TUR,MF,26-067,2.2,116.0,1.0,15.0,48.0,54.0,6.0,116.0,6.0,1.0,16.7,5.0,83.3,95.0,570.0,230.0,5.0,6.0,0.0,2.0,2.0,90.0,18.0,Matches
Alan Virginius,fr FRA,FW,20-093,2.6,104.0,1.0,6.0,25.0,74.0,21.0,104.0,6.0,0.0,0.0,6.0,100.0,74.0,561.0,257.0,10.0,6.0,6.0,7.0,6.0,72.0,28.0,Matches
Jonas Martin,fr FRA,MF,32-362,2.1,214.0,6.0,48.0,144.0,22.0,3.0,214.0,0.0,0.0,,0.0,,167.0,796.0,334.0,3.0,6.0,0.0,2.0,1.0,159.0,1.0,Matches
Simon Ramet,fr FRA,DF,20-024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,26.7,29.0,20433.0,1652.0,5565.0,10101.0,4955.0,770.0,20425.0,606.0,286.0,47.2,244.0,40.3,15628.0,84540.0,39530.0,605.0,522.0,166.0,418.0,318.0,14484.0,1473.0,
Opponent Total,,,27.0,29.0,15145.0,2058.0,5901.0,6492.0,2976.0,468.0,15141.0,581.0,266.0,45.8,247.0,42.5,10334.0,58411.0,26326.0,411.0,320.0,102.0,452.0,262.0,9092.0,836.0,
