Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Montassar Talbi,tn TUN,DF,24-315,29.0,37,17,30,7,0,18,27,66.7,9,34,23,11,25,62,133,3,Matches
Vincent Le Goff,fr FRA,DF,33-173,28.0,56,25,40,13,3,34,48,70.8,14,21,5,16,31,87,83,1,Matches
Enzo Le Fée,fr FRA,MF,23-062,26.9,92,55,45,35,12,35,95,36.8,60,43,5,38,28,120,34,1,Matches
Gedeon Kalulu,cd COD,DF,25-220,22.0,54,30,36,11,7,26,41,63.4,15,27,2,25,27,81,61,1,Matches
Laurent Abergel,fr FRA,MF,30-064,18.1,70,42,47,21,2,26,61,42.6,35,30,6,24,19,89,27,0,Matches
Dango Ouattara,bf BFA,"FW,MF",21-054,17.2,41,26,20,11,10,15,28,53.6,13,24,6,18,19,60,21,0,Matches
Julien Laporte,fr FRA,DF,29-153,17.1,21,15,17,3,1,16,22,72.7,6,29,25,4,18,39,108,2,Matches
Julien Ponceau,fr FRA,MF,22-129,15.7,21,14,7,10,4,9,26,34.6,17,23,3,20,12,33,8,0,Matches
Terem Moffi,ng NGA,FW,23-316,15.4,8,5,1,4,3,3,5,60.0,2,11,3,8,3,11,10,0,Matches
Vito Mannone,it ITA,GK,35-035,15.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,2,Matches
Théo Le Bris,fr FRA,"MF,DF",20-187,14.1,28,17,16,10,2,15,32,46.9,17,18,1,17,16,44,19,0,Matches
Yvon Mvogo,ch SUI,GK,28-304,13.1,0,0,0,0,0,0,0,,0,0,0,0,2,2,3,2,Matches
Stéphane Diarra,fr FRA,"FW,MF",24-118,11.2,23,16,12,9,2,11,28,39.3,17,13,1,12,20,43,8,0,Matches
Bonke Innocent,ng NGA,MF,27-076,10.2,25,14,13,11,1,10,28,35.7,18,17,4,13,18,43,24,0,Matches
Bamo Meïté,ci CIV,DF,21-290,9.8,7,4,6,0,1,3,8,37.5,5,20,16,4,4,11,43,0,Matches
Ibrahima Koné,ml MLI,FW,23-294,11.0,8,4,2,5,1,3,8,37.5,5,7,0,7,3,11,9,0,Matches
Yoann Cathline,fr FRA,"FW,MF",20-258,9.1,14,9,4,5,5,2,8,25.0,6,8,0,8,7,21,8,1,Matches
Jean-Victor Makengo,fr FRA,MF,24-298,7.8,11,4,4,7,0,5,16,31.3,11,4,2,2,9,20,10,0,Matches
Bamba Dieng,sn SEN,FW,23-014,5.7,15,8,4,10,1,2,8,25.0,6,3,0,3,2,17,3,0,Matches
Romain Faivre,fr FRA,"FW,MF",24-266,6.0,9,5,2,3,4,3,10,30.0,7,6,0,6,0,9,3,0,Matches
Igor Carioca,br BRA,DF,26-228,3.3,17,10,11,2,4,11,17,64.7,6,7,0,7,4,21,14,0,Matches
Armand Lauriente,fr FRA,FW,24-123,3.0,8,7,3,4,1,3,7,42.9,4,5,1,4,4,12,1,0,Matches
Chrislain Matsima,fr FRA,"DF,MF",20-326,2.5,0,0,0,0,0,0,0,,0,3,3,0,2,2,7,0,Matches
Quentin Boisgard,fr FRA,MF,26-020,2.0,6,2,1,4,1,3,4,75.0,1,3,1,2,4,10,2,0,Matches
Darlin Yongwa,cm CMR,"DF,FW",22-196,1.8,4,4,2,2,0,1,5,20.0,4,1,0,1,1,5,3,0,Matches
Adil Aouchiche,fr FRA,"MF,FW",20-265,1.5,4,1,2,1,1,1,4,25.0,3,1,0,1,2,6,0,0,Matches
Ckene Doucouré,km COM,"FW,MF",20-363,1.0,2,2,2,0,0,1,1,100.0,0,0,0,0,1,3,0,0,Matches
Adrian Grbić,at AUT,"MF,FW",26-245,0.3,0,0,0,0,0,0,1,0.0,1,3,0,3,0,0,0,0,Matches
Squad Total,,,25.9,29.0,581,336,327,188,66,256,538,47.6,282,361,107,254,281,862,646,13,
Opponent Total,,,27.1,29.0,544,341,245,203,96,285,588,48.5,303,316,87,229,303,847,395,9,
