Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Nicolás Tagliafico,ar ARG,DF,30-218,27,27,2406.0,26.7,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,2.2,1.7,3.4,5.1,30.0,131.0,142.0,0.04,0.11,0.15,0.04,0.15,0.08,0.13,0.21,0.06,0.19,Matches
Castello Lukeba,fr FRA,DF,20-110,26,25,2267.0,25.2,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.6,0.6,0.3,0.9,17.0,135.0,7.0,0.04,0.0,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03,Matches
Alexandre Lacazette,fr FRA,FW,31-313,26,25,2119.0,23.5,17.0,4.0,21.0,13.0,4.0,5.0,2.0,0.0,15.3,11.3,4.4,15.7,28.0,81.0,167.0,0.72,0.17,0.89,0.55,0.72,0.65,0.19,0.83,0.48,0.67,Matches
Anthony Lopes,pt POR,GK,32-187,23,23,2006.0,22.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Maxence Caqueret,fr FRA,MF,23-050,27,23,1999.0,22.2,1.0,5.0,6.0,1.0,0.0,0.0,2.0,0.0,1.9,1.9,3.7,5.6,28.0,139.0,87.0,0.05,0.23,0.27,0.05,0.27,0.09,0.17,0.25,0.09,0.25,Matches
Thiago Mendes,br BRA,"MF,DF",31-022,24,19,1703.0,18.9,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,0.6,1.3,6.0,143.0,12.0,0.05,0.05,0.11,0.05,0.11,0.03,0.03,0.07,0.03,0.07,Matches
Johann Lepenant,fr FRA,MF,20-166,24,18,1635.0,18.2,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,0.6,1.3,19.0,106.0,38.0,0.06,0.06,0.11,0.06,0.11,0.04,0.03,0.07,0.04,0.07,Matches
Malo Gusto,fr FRA,DF,19-322,17,17,1442.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,3.0,3.2,60.0,76.0,137.0,0.0,0.06,0.06,0.0,0.06,0.01,0.18,0.2,0.01,0.2,Matches
Corentin Tolisso,fr FRA,MF,28-246,22,17,1337.0,14.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,2.9,3.8,22.0,162.0,41.0,0.0,0.07,0.07,0.0,0.07,0.05,0.2,0.25,0.05,0.25,Matches
Sinaly Diomande,ci CIV,DF,21-362,17,16,1389.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.6,4.0,80.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.03,0.04,Matches
Karl Toko Ekambi,cm CMR,"FW,MF",30-204,19,15,1353.0,15.0,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,4.4,4.4,3.0,7.4,58.0,36.0,188.0,0.27,0.13,0.4,0.27,0.4,0.3,0.2,0.49,0.3,0.49,Matches
Tetê,br BRA,"FW,MF",23-050,17,14,1107.0,12.3,6.0,2.0,8.0,6.0,0.0,0.0,3.0,0.0,4.2,4.2,1.3,5.5,49.0,52.0,130.0,0.49,0.16,0.65,0.49,0.65,0.35,0.1,0.45,0.35,0.45,Matches
