Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Chancel Mbemba,cd COD,DF,28-241,25.7,1141,1376,82.9,20861,6450,431,482,89.4,573,652,87.9,106,171,62.0,0,0.1,0.6,-0.1,3,103,16,4,134,Matches
Valentin Rongier,fr FRA,MF,28-120,25.7,1417,1615,87.7,23773,6633,634,703,90.2,605,657,92.1,114,150,76.0,0,1.3,1.6,-1.3,19,168,22,1,160,Matches
Pau López,es ESP,GK,28-114,24.0,621,802,77.4,16742,10591,102,104,98.1,322,328,98.2,195,365,53.4,2,0.4,0.3,1.6,2,11,1,0,1,Matches
Leonardo Balerdi,ar ARG,DF,24-070,22.9,1060,1257,84.3,21020,6034,303,345,87.8,582,656,88.7,141,194,72.7,1,0.1,0.3,0.9,4,79,2,1,71,Matches
Alexis Sánchez,cl CHI,FW,34-108,22.0,534,723,73.9,8690,2107,255,337,75.7,186,239,77.8,51,72,70.8,1,4.4,4.0,-3.4,40,50,51,3,101,Matches
Jonathan Clauss,fr FRA,DF,30-193,20.5,771,1032,74.7,12298,4526,405,487,83.2,294,370,79.5,45,102,44.1,8,5.9,5.2,2.1,35,68,36,16,87,Matches
Jordan Veretout,fr FRA,MF,30-036,22.8,1277,1507,84.7,24376,6686,488,551,88.6,568,639,88.9,173,243,71.2,2,2.4,2.8,-0.4,22,181,16,6,168,Matches
Nuno Tavares,pt POR,"DF,MF",23-070,22.5,920,1185,77.6,13932,4867,551,621,88.7,286,391,73.1,55,101,54.5,0,2.4,3.6,-2.4,23,64,40,12,95,Matches
Mattéo Guendouzi,fr FRA,MF,23-357,19.7,909,1046,86.9,15512,4328,408,457,89.3,373,412,90.5,90,111,81.1,3,1.5,1.9,1.5,16,108,23,2,133,Matches
Cengiz Ünder,tr TUR,"MF,DF",25-266,18.8,514,736,69.8,8654,2705,280,330,84.8,161,231,69.7,56,122,45.9,4,4.9,4.8,-0.9,29,48,29,15,66,Matches
Sead Kolašinac,ba BIH,DF,29-290,16.5,741,879,84.3,11717,3158,374,413,90.6,314,365,86.0,34,60,56.7,1,0.9,1.2,0.1,10,60,7,2,71,Matches
Samuel Gigot,fr FRA,DF,29-176,16.5,776,893,86.9,13717,4152,287,318,90.3,416,451,92.2,49,89,55.1,2,0.4,0.4,1.6,4,48,2,0,58,Matches
Ruslan Malinovskyi,ua UKR,"MF,FW",29-337,8.4,259,340,76.2,4246,1152,130,158,82.3,95,119,79.8,24,40,60.0,0,1.5,1.1,-1.5,13,32,11,4,38,Matches
Dimitri Payet,fr FRA,"MF,FW",36-008,8.1,301,417,72.2,5409,1818,139,173,80.3,110,142,77.5,40,72,55.6,3,3.5,3.3,-0.5,31,32,23,1,58,Matches
Amine Harit,ma MAR,"MF,FW",25-292,5.7,221,271,81.5,3186,969,133,154,86.4,61,70,87.1,13,22,59.1,0,1.5,1.6,-1.5,15,21,16,1,38,Matches
