Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Chancel Mbemba,cd COD,DF,28-223,26,2195.0,84.0,90.3,24.4,25,86.0,22,1,45.0,0,2.15,47.0,23.0,24.0,0.98,0.98,40.5,30.1,10.3,0.42,-0.51,Matches
Valentin Rongier,fr FRA,MF,28-102,26,2132.0,82.0,87.7,23.7,24,86.0,19,2,35.0,0,2.04,40.0,25.0,15.0,0.63,-2.08,38.3,30.6,7.7,0.32,-1.21,Matches
Leonardo Balerdi,ar ARG,DF,24-052,27,2063.0,76.0,84.9,22.9,24,81.0,19,3,38.0,0,2.07,43.0,23.0,20.0,0.87,-0.11,39.0,28.5,10.5,0.46,-0.09,Matches
Pau López,es ESP,GK,28-096,23,2070.0,90.0,85.2,23.0,23,90.0,23,0,,1,2.22,44.0,22.0,22.0,0.96,0.46,40.2,29.0,11.2,0.49,0.09,Matches
Alexis Sánchez,cl CHI,FW,34-090,24,1802.0,75.0,74.2,20.0,21,80.0,5,3,41.0,2,2.04,37.0,17.0,20.0,1.0,0.43,35.5,24.5,11.0,0.55,0.3,Matches
Jonathan Clauss,fr FRA,DF,30-175,23,1710.0,74.0,70.4,19.0,21,79.0,10,2,30.0,0,2.13,38.0,15.0,23.0,1.21,1.09,32.0,24.5,7.5,0.4,-0.26,Matches
Jordan Veretout,fr FRA,MF,30-018,27,1873.0,69.0,77.1,20.8,20,84.0,13,7,27.0,0,2.07,39.0,18.0,21.0,1.01,0.52,35.7,25.3,10.3,0.5,0.1,Matches
Nuno Tavares,pt POR,"DF,MF",23-052,23,1846.0,80.0,76.0,20.5,19,88.0,14,4,46.0,0,1.91,34.0,24.0,10.0,0.49,-1.67,34.1,26.7,7.4,0.36,-0.46,Matches
Mattéo Guendouzi,fr FRA,MF,23-339,25,1626.0,65.0,66.9,18.1,19,78.0,10,6,25.0,0,2.12,28.0,19.0,9.0,0.5,-1.18,30.5,24.1,6.4,0.36,-0.36,Matches
Cengiz Ünder,tr TUR,"MF,DF",25-248,26,1571.0,60.0,64.7,17.5,18,78.0,7,8,21.0,1,2.04,36.0,16.0,20.0,1.15,0.73,29.5,19.6,9.9,0.57,0.27,Matches
Sead Kolašinac,ba BIH,DF,29-272,23,1396.0,61.0,57.4,15.5,17,76.0,9,6,17.0,0,2.17,35.0,12.0,23.0,1.48,1.4,29.1,18.5,10.7,0.69,0.5,Matches
Samuel Gigot,fr FRA,DF,29-158,18,1302.0,72.0,53.6,14.5,16,78.0,9,2,30.0,1,2.17,28.0,15.0,13.0,0.9,0.02,26.3,16.8,9.5,0.66,0.4,Matches
Dimitri Payet,fr FRA,"MF,FW",35-355,19,710.0,37.0,29.2,7.9,8,65.0,1,11,17.0,6,1.95,22.0,11.0,11.0,1.39,0.71,13.7,9.6,4.1,0.52,0.06,Matches
