Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Chancel Mbemba,cd COD,DF,28-238,25.7,4,24,8,33.3,0.93,0.31,0.17,0.5,11.3,0,0,0,2.7,2.7,0.11,1.3,1.3,Matches
Valentin Rongier,fr FRA,MF,28-117,25.7,1,15,2,13.3,0.58,0.08,0.07,0.5,20.6,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
Pau López,es ESP,GK,28-111,24.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Leonardo Balerdi,ar ARG,DF,24-067,22.9,0,4,0,0.0,0.17,0.0,0.0,,9.0,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches
Alexis Sánchez,cl CHI,FW,34-105,22.0,12,49,24,49.0,2.23,1.09,0.2,0.42,16.1,5,2,3,10.0,7.6,0.16,2.0,2.4,Matches
Jonathan Clauss,fr FRA,DF,30-190,20.5,1,34,9,26.5,1.66,0.44,0.03,0.11,17.9,0,0,0,2.9,2.9,0.08,-1.9,-1.9,Matches
Jordan Veretout,fr FRA,MF,30-033,22.8,3,22,7,31.8,0.96,0.31,0.14,0.43,19.7,1,0,0,2.6,2.6,0.12,0.4,0.4,Matches
Nuno Tavares,pt POR,"DF,MF",23-067,22.5,6,54,16,29.6,2.4,0.71,0.11,0.38,19.7,0,0,0,3.9,3.9,0.07,2.1,2.1,Matches
Mattéo Guendouzi,fr FRA,MF,23-354,19.7,2,23,5,21.7,1.17,0.25,0.04,0.2,16.8,0,1,1,3.2,2.4,0.11,-1.2,-1.4,Matches
Cengiz Ünder,tr TUR,"MF,DF",25-263,18.8,2,46,15,32.6,2.45,0.8,0.02,0.07,17.1,2,1,1,5.3,4.5,0.1,-3.3,-3.5,Matches
Sead Kolašinac,ba BIH,DF,29-287,16.5,4,16,9,56.3,0.97,0.55,0.25,0.44,8.9,0,0,0,3.4,3.4,0.21,0.6,0.6,Matches
Samuel Gigot,fr FRA,DF,29-173,16.5,2,10,3,30.0,0.61,0.18,0.2,0.67,8.4,0,0,0,2.3,2.3,0.23,-0.3,-0.3,Matches
Ruslan Malinovskyi,ua UKR,"MF,FW",29-334,8.4,1,21,4,19.0,2.51,0.48,0.05,0.25,24.6,4,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches
Dimitri Payet,fr FRA,"MF,FW",36-005,8.1,2,21,4,19.0,2.61,0.5,0.05,0.25,22.7,1,1,1,2.3,1.5,0.07,-0.3,-0.5,Matches
Amine Harit,ma MAR,"MF,FW",25-289,5.7,0,6,3,50.0,1.05,0.52,0.0,0.0,18.7,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
Gerson,br BRA,MF,25-318,4.6,2,9,6,66.7,1.94,1.29,0.22,0.33,15.8,0,0,0,0.8,0.8,0.09,1.2,1.2,Matches
Issa Kaboré,bf BFA,DF,21-326,7.0,1,6,2,33.3,0.86,0.29,0.17,0.5,19.1,0,0,0,0.7,0.7,0.11,0.3,0.3,Matches
Rubén Blanco,es ESP,GK,27-252,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pape Gueye,sn SEN,"MF,DF",24-069,5.5,1,8,4,50.0,1.46,0.73,0.13,0.25,16.8,0,0,0,0.7,0.7,0.09,0.3,0.3,Matches
Eric Bailly,ci CIV,DF,28-356,4.8,0,3,0,0.0,0.62,0.0,0.0,,13.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Luis Javier Suárez,co COL,FW,25-122,3.3,3,16,7,43.8,4.91,2.15,0.19,0.43,12.6,0,0,0,2.4,2.4,0.15,0.6,0.6,Matches
Arkadiusz Milik,pl POL,FW,29-034,1.4,0,1,0,0.0,0.7,0.0,0.0,,7.8,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
Vitinha,pt POR,FW,23-019,1.4,0,2,1,50.0,1.43,0.71,0.0,0.0,12.1,0,0,0,0.5,0.5,0.24,-0.5,-0.5,Matches
Bamba Dieng,sn SEN,"FW,MF",23-011,2.2,1,11,5,45.5,5.1,2.32,0.09,0.2,12.5,0,0,0,1.5,1.5,0.14,-0.5,-0.5,Matches
Azzedine Ounahi,ma MAR,"MF,FW",22-349,1.3,1,3,2,66.7,2.23,1.49,0.33,0.5,21.0,1,0,0,0.7,0.7,0.22,0.3,0.3,Matches
Souleymane Touré,fr FRA,DF,20-006,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Cédric Bakambu,cd COD,MF,31-357,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Duje Ćaleta-Car,hr CRO,DF,26-198,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Salim Ben Seghir,fr FRA,MF,20-038,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.9,29.0,49,404,136,33.7,13.93,4.69,0.11,0.32,17.0,14,5,6,49.0,44.4,0.11,0.0,-0.4,
Opponent Total,,,27.0,29.0,26,349,113,32.4,12.03,3.9,0.06,0.19,17.8,9,4,4,36.2,33.0,0.1,-10.2,-11.0,
