Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Alexander Nübel,de GER,GK,26-185,28.0,641,846,75.8,19117,14174,87,88,98.9,278,284,97.9,274,472,58.1,0,0.0,0.3,0.0,1,2,0,0,0,Matches
Axel Disasi,fr FRA,DF,25-023,27.0,1234,1483,83.2,25137,9558,382,432,88.4,684,765,89.4,149,241,61.8,3,1.1,1.5,1.9,8,166,11,3,159,Matches
Youssouf Fofana,fr FRA,MF,24-083,25.4,1075,1323,81.3,18934,5713,473,573,82.5,446,508,87.8,120,174,69.0,1,2.7,2.1,-1.7,23,137,24,0,173,Matches
Caio Henrique Oliveira Silva,br BRA,DF,25-246,23.5,1097,1460,75.1,17558,6717,544,608,89.5,447,566,79.0,70,209,33.5,7,3.7,4.2,3.3,35,97,25,7,141,Matches
Aleksandr Golovin,ru RUS,"MF,FW",26-308,20.9,590,838,70.4,9965,3318,290,368,78.8,200,264,75.8,73,142,51.4,6,4.8,4.6,1.2,47,53,38,5,93,Matches
Wissam Ben Yedder,fr FRA,FW,32-234,16.3,317,422,75.1,4184,891,186,226,82.3,93,123,75.6,9,23,39.1,4,2.7,2.9,1.3,15,22,22,0,50,Matches
Breel Embolo,ch SUI,FW,26-048,19.5,284,416,68.3,4179,1033,156,211,73.9,83,117,70.9,20,24,83.3,2,3.2,2.3,-1.2,28,25,18,0,47,Matches
Krépin Diatta,sn SEN,"MF,FW",24-037,18.4,462,616,75.0,6559,2058,268,330,81.2,147,201,73.1,20,36,55.6,2,2.7,2.5,-0.7,20,42,28,7,70,Matches
Guillermo Maripán,cl CHI,DF,28-332,17.5,757,868,87.2,16101,5251,193,219,88.1,452,493,91.7,102,131,77.9,0,0.1,0.2,-0.1,2,40,1,0,44,Matches
Mohamed Camara,ml MLI,MF,23-087,17.4,822,942,87.3,15786,4494,322,354,91.0,364,401,90.8,117,153,76.5,3,1.9,1.1,1.1,14,89,9,2,95,Matches
Vanderson,br BRA,"DF,MF",21-286,15.9,735,941,78.1,12720,4535,341,397,85.9,287,355,80.8,77,135,57.0,3,2.3,2.3,0.7,16,73,21,10,84,Matches
Ruben Aguilar,fr FRA,DF,29-342,9.6,488,599,81.5,7663,3168,246,274,89.8,205,247,83.0,25,50,50.0,0,0.9,1.1,-0.9,2,42,10,5,67,Matches
Benoît Badiashile,fr FRA,DF,22-008,9.3,403,468,86.1,8296,3424,123,137,89.8,210,235,89.4,60,83,72.3,0,0.4,0.8,-0.4,1,46,3,0,39,Matches
Eliot Matazo,be BEL,MF,21-047,9.0,291,350,83.1,5679,1271,110,131,84.0,138,159,86.8,41,50,82.0,0,0.1,0.2,-0.1,1,34,2,0,41,Matches
Eliesse Ben Seghir,fr FRA,"FW,MF",18-046,7.6,207,265,78.1,3112,887,104,130,80.0,79,93,84.9,11,19,57.9,1,0.9,0.8,0.1,9,22,16,0,37,Matches
Malang Sarr,fr FRA,DF,24-070,8.0,460,517,89.0,9845,3187,120,131,91.6,258,274,94.2,74,95,77.9,0,0.0,0.2,0.0,1,55,1,0,59,Matches
Takumi Minamino,jp JPN,"MF,FW",28-077,5.6,117,179,65.4,1774,507,53,74,71.6,42,52,80.8,8,25,32.0,3,1.1,1.6,1.9,8,9,7,0,19,Matches
Ismail Jakobs,sn SEN,"DF,MF",23-229,7.2,295,443,66.6,4315,1466,160,201,79.6,93,145,64.1,20,50,40.0,2,1.2,1.0,0.8,7,25,11,8,32,Matches
Kevin Volland,de GER,"MF,FW",30-247,3.9,78,120,65.0,1172,523,43,65,66.2,20,28,71.4,8,10,80.0,1,0.4,0.8,0.6,7,11,3,0,21,Matches
Maghnes Akliouche,fr FRA,"MF,FW",21-037,3.4,99,131,75.6,1266,377,61,73,83.6,26,37,70.3,3,6,50.0,0,0.3,0.2,-0.3,5,8,4,0,12,Matches
Gelson Martins,pt POR,"MF,FW",27-327,3.8,121,155,78.1,1651,377,74,86,86.0,39,49,79.6,3,8,37.5,0,0.3,0.4,-0.3,3,8,9,0,14,Matches
Jean Lucas,br BRA,MF,24-285,3.2,134,154,87.0,2491,633,60,67,89.6,54,59,91.5,17,22,77.3,0,0.2,0.2,-0.2,3,19,1,0,20,Matches
