Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Dante,br BRA,DF,39-167,27,2430.0,90.0,96.4,27.0,27,90.0,27,0,,0,1.59,36.0,24.0,12.0,0.44,0.44,37.3,30.6,6.7,0.25,-0.53,Matches
Kasper Schmeichel,dk DEN,GK,36-149,26,2340.0,90.0,92.9,26.0,26,90.0,26,0,,2,1.65,36.0,23.0,13.0,0.5,1.0,36.3,29.1,7.3,0.28,0.17,Matches
Jean-Clair Todibo,fr FRA,DF,23-094,26,2209.0,85.0,87.7,24.5,26,85.0,23,0,,0,1.69,36.0,19.0,17.0,0.69,2.14,35.4,27.3,8.1,0.33,0.52,Matches
Khéphren Thuram-Ulie,fr FRA,MF,22-008,28,2007.0,72.0,79.6,22.3,23,80.0,11,5,31.0,0,1.57,28.0,17.0,11.0,0.49,0.32,30.4,24.7,5.6,0.25,-0.07,Matches
Jordan Lotomba,ch SUI,DF,24-186,26,1935.0,74.0,76.8,21.5,21,84.0,14,5,35.0,1,1.54,28.0,19.0,9.0,0.42,-0.04,28.4,24.6,3.8,0.18,-0.38,Matches
Gaëtan Laborde,fr FRA,FW,28-335,23,1739.0,76.0,69.0,19.3,20,82.0,11,3,31.0,0,1.7,27.0,16.0,11.0,0.57,0.45,24.8,21.7,3.1,0.16,-0.34,Matches
Melvin Bard,fr FRA,DF,22-148,23,1723.0,75.0,68.4,19.1,19,85.0,15,4,27.0,2,1.43,23.0,21.0,2.0,0.1,-1.02,24.8,24.5,0.3,0.02,-0.79,Matches
Nicolas Pépé,ci CIV,"FW,MF",27-309,16,1315.0,82.0,52.2,14.6,15,84.0,8,1,51.0,1,1.5,16.0,13.0,3.0,0.21,-0.47,19.8,17.2,2.6,0.18,-0.2,Matches
Aaron Ramsey,wls WAL,MF,32-098,22,1243.0,57.0,49.3,13.8,14,73.0,5,8,28.0,0,1.64,21.0,6.0,15.0,1.09,1.3,20.3,13.2,7.2,0.52,0.5,Matches
Hicham Boudaoui,dz ALG,MF,23-192,18,1192.0,66.0,47.3,13.2,14,77.0,6,4,30.0,2,1.94,17.0,5.0,12.0,0.91,0.91,19.3,14.5,4.8,0.36,0.18,Matches
