Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Yunis Abdelhamid,ma MAR,DF,35-190,29,29,2610.0,29.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.8,1.8,0.4,2.2,22.0,150.0,6.0,0.03,0.03,0.07,0.03,0.07,0.06,0.02,0.08,0.06,0.08,Matches
Folarin Balogun,eng ENG,FW,21-277,28,25,2196.0,24.4,17.0,2.0,19.0,13.0,4.0,5.0,3.0,0.0,19.4,15.3,2.7,18.0,41.0,42.0,210.0,0.7,0.08,0.78,0.53,0.61,0.79,0.11,0.9,0.63,0.74,Matches
Junya Ito,jp JPN,FW,30-028,26,25,2121.0,23.6,5.0,5.0,10.0,5.0,0.0,0.0,3.0,1.0,5.0,5.0,6.2,11.2,96.0,103.0,221.0,0.21,0.21,0.42,0.21,0.42,0.21,0.26,0.48,0.21,0.48,Matches
Yehvann Diouf,fr FRA,GK,23-141,22,22,1980.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marshall Munetsi,zw ZIM,MF,26-288,25,22,1937.0,21.5,6.0,3.0,9.0,6.0,0.0,0.0,4.0,0.0,6.9,6.9,2.3,9.2,26.0,69.0,55.0,0.28,0.14,0.42,0.28,0.42,0.32,0.11,0.43,0.32,0.43,Matches
Azor Matusiwa,nl NED,MF,24-343,23,22,1894.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.7,1.0,10.0,154.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.01,0.05,Matches
Alexis Flips,fr FRA,"FW,DF",23-078,24,21,1464.0,16.3,4.0,6.0,10.0,4.0,0.0,0.0,2.0,1.0,3.0,3.0,5.7,8.7,21.0,77.0,111.0,0.25,0.37,0.61,0.25,0.61,0.18,0.35,0.53,0.18,0.53,Matches
Emmanuel Agbadou,ci CIV,DF,25-293,22,20,1795.0,19.9,0.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,1.5,1.5,1.6,3.1,11.0,66.0,5.0,0.0,0.1,0.1,0.0,0.1,0.07,0.08,0.15,0.07,0.15,Matches
Thibault De Smet,be BEL,DF,24-305,15,15,1336.0,14.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,26.0,68.0,55.0,0.0,0.07,0.07,0.0,0.07,0.0,0.01,0.01,0.0,0.01,Matches
Thomas Foket,be BEL,DF,28-193,15,14,1243.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.5,1.6,34.0,48.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches
Dion Lopy,sn SEN,MF,21-063,23,14,1160.0,12.9,0.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,0.7,0.7,1.6,2.2,16.0,81.0,30.0,0.0,0.08,0.08,0.0,0.08,0.05,0.12,0.17,0.05,0.17,Matches
Banzouzi Locko,fr FRA,DF,20-335,15,13,1059.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.5,0.7,31.0,55.0,39.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.06,0.02,0.06,Matches
Andrew Gravillon,gp GLP,DF,25-057,13,12,1038.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,0.4,1.1,18.0,38.0,14.0,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.1,0.07,0.1,Matches
Kamory Doumbia,ml MLI,MF,20-047,21,11,935.0,10.4,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,3.6,2.8,2.6,5.4,25.0,62.0,65.0,0.19,0.19,0.39,0.1,0.29,0.35,0.25,0.6,0.27,0.52,Matches
Arber Zeneli,xk KVX,"FW,MF",28-040,20,11,928.0,10.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.9,4.9,44.0,48.0,114.0,0.0,0.19,0.19,0.0,0.19,0.19,0.28,0.47,0.19,0.47,Matches
Jens Cajuste,se SWE,MF,23-239,23,9,1067.0,11.9,3.0,1.0,4.0,3.0,0.0,0.0,8.0,1.0,1.2,1.2,0.9,2.1,29.0,68.0,22.0,0.25,0.08,0.34,0.25,0.34,0.1,0.08,0.18,0.1,0.18,Matches
Maxime Busi,be BEL,DF,23-174,13,7,647.0,7.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.4,0.5,15.0,23.0,26.0,0.0,0.14,0.14,0.0,0.14,0.01,0.06,0.07,0.01,0.07,Matches
