Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Yunis Abdelhamid,ma MAR,DF,35-190,29.0,1492,1376,111,97,0,21,5,6,0,0,0,0,1221,5,17,Matches
Folarin Balogun,eng ENG,FW,21-277,24.4,402,366,32,0,3,3,17,2,0,0,0,0,272,4,14,Matches
Junya Ito,jp JPN,FW,30-028,23.6,814,738,70,11,17,2,135,10,44,12,24,0,510,6,33,Matches
Yehvann Diouf,fr FRA,GK,23-141,22.0,744,552,189,49,0,3,0,0,0,0,0,0,579,3,0,Matches
Marshall Munetsi,zw ZIM,MF,26-288,21.5,661,658,3,3,4,4,15,0,0,0,0,0,479,0,21,Matches
Azor Matusiwa,nl NED,MF,24-343,21.0,1193,1164,23,20,1,19,1,2,0,0,0,0,1014,6,20,Matches
Alexis Flips,fr FRA,"FW,DF",23-078,16.3,752,627,118,39,7,4,96,48,29,9,15,0,486,7,23,Matches
Emmanuel Agbadou,ci CIV,DF,25-293,19.9,1010,966,41,38,4,14,0,2,0,0,0,0,862,3,9,Matches
Thibault De Smet,be BEL,DF,24-305,14.8,857,691,161,5,0,0,26,156,0,0,0,0,672,5,19,Matches
Thomas Foket,be BEL,DF,28-193,13.8,761,637,122,10,0,5,35,112,0,0,0,0,613,2,18,Matches
Dion Lopy,sn SEN,MF,21-063,12.9,612,601,9,7,0,8,5,1,1,0,0,0,519,2,7,Matches
Banzouzi Locko,fr FRA,DF,20-335,11.8,470,361,106,5,1,3,13,101,0,0,0,0,362,3,10,Matches
Andrew Gravillon,gp GLP,DF,25-057,11.5,445,384,58,19,2,5,16,39,0,0,0,0,330,3,7,Matches
Kamory Doumbia,ml MLI,MF,20-047,10.4,406,395,7,2,3,1,8,3,1,0,0,0,320,4,12,Matches
Arber Zeneli,xk KVX,"FW,MF",28-040,10.3,393,331,60,13,3,0,42,11,31,16,9,0,282,2,13,Matches
Jens Cajuste,se SWE,MF,23-239,11.9,506,492,13,10,5,5,5,2,1,0,0,0,403,1,15,Matches
Maxime Busi,be BEL,DF,23-174,7.2,344,272,71,4,1,1,14,66,1,0,0,0,248,1,10,Matches
Patrick Pentz,at AUT,GK,26-094,7.0,211,138,73,14,0,0,0,0,0,0,0,0,141,0,0,Matches
Check Keita,fr FRA,DF,20-004,5.9,254,238,15,14,0,0,0,1,0,0,0,0,224,1,0,Matches
Mitchell van Bergen,nl NED,"FW,DF",23-222,8.6,246,220,26,7,1,0,50,3,13,5,7,0,165,0,11,Matches
Wout Faes,be BEL,DF,25-003,3.0,115,106,8,7,1,0,0,0,0,0,0,0,95,1,1,Matches
Noah Holm,no NOR,"FW,MF",21-318,2.2,44,39,4,0,1,0,0,0,0,0,0,0,27,1,2,Matches
Myziane Maolida,fr FRA,"FW,MF",24-051,1.9,80,78,2,0,0,1,2,2,0,0,0,0,57,0,5,Matches
Ibrahim Diakité,gn GUI,DF,19-157,1.5,68,48,20,1,0,0,7,19,0,0,0,0,48,0,2,Matches
El Bilal Touré,ml MLI,FW,21-185,1.0,20,16,4,0,0,0,0,0,0,0,0,0,16,0,1,Matches
Martin Adeline,fr FRA,"MF,FW",19-125,1.2,41,38,3,1,0,0,0,1,1,0,0,0,29,0,1,Matches
Nathanael Mbuku,fr FRA,"FW,MF",21-021,0.7,27,25,2,2,0,0,2,0,0,0,0,0,22,0,2,Matches
Kaj Sierhuis,nl NED,"FW,MF",24-344,0.6,12,12,0,0,0,0,1,0,0,0,0,0,6,0,0,Matches
Valentin Atangana Edoa,fr FRA,MF,17-224,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rafik Guitane,fr FRA,FW,23-315,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,25.6,29.0,12980,11569,1351,378,54,99,495,587,122,42,55,0,10002,60,273,
Opponent Total,,,27.1,29.0,14930,13417,1459,416,38,105,547,593,131,46,55,1,11845,54,303,
