Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Yunis Abdelhamid,ma MAR,DF,35-190,29,2610.0,90.0,100.0,29.0,29,90.0,29,0,,0,1.59,39.0,28.0,11.0,0.38,,47.8,36.9,10.9,0.38,,Matches
Folarin Balogun,eng ENG,FW,21-277,28,2196.0,78.0,84.1,24.4,25,84.0,11,3,29.0,0,1.61,36.0,20.0,16.0,0.66,1.74,43.2,29.5,13.7,0.56,1.18,Matches
Junya Ito,jp JPN,FW,30-028,26,2121.0,82.0,81.3,23.6,25,84.0,12,1,15.0,0,1.69,33.0,19.0,14.0,0.59,1.15,38.7,27.7,11.0,0.47,0.48,Matches
Yehvann Diouf,fr FRA,GK,23-141,22,1980.0,90.0,75.9,22.0,22,90.0,22,0,,4,1.82,29.0,14.0,15.0,0.68,1.25,36.4,25.7,10.7,0.49,0.46,Matches
Marshall Munetsi,zw ZIM,MF,26-288,25,1937.0,77.0,74.2,21.5,22,84.0,15,3,31.0,0,1.6,30.0,22.0,8.0,0.37,-0.03,35.0,27.9,7.1,0.33,-0.19,Matches
Azor Matusiwa,nl NED,MF,24-343,23,1894.0,82.0,72.6,21.0,22,85.0,15,1,28.0,0,1.74,30.0,17.0,13.0,0.62,0.87,37.0,25.5,11.5,0.55,0.61,Matches
Alexis Flips,fr FRA,"FW,DF",23-078,24,1464.0,61.0,56.1,16.3,21,67.0,3,3,17.0,3,1.79,24.0,11.0,13.0,0.8,0.96,28.4,19.5,8.9,0.55,0.39,Matches
Emmanuel Agbadou,ci CIV,DF,25-293,22,1795.0,82.0,68.8,19.9,20,88.0,18,2,20.0,0,1.41,29.0,20.0,9.0,0.45,0.23,33.5,27.1,6.5,0.33,-0.17,Matches
Thibault De Smet,be BEL,DF,24-305,15,1336.0,89.0,51.2,14.8,15,89.0,13,0,,4,2.13,24.0,7.0,17.0,1.15,1.57,27.4,17.4,10.0,0.67,0.6,Matches
Thomas Foket,be BEL,DF,28-193,15,1243.0,83.0,47.6,13.8,14,88.0,11,1,13.0,0,2.0,23.0,8.0,15.0,1.09,1.35,23.6,15.6,8.0,0.58,0.39,Matches
Dion Lopy,sn SEN,MF,21-063,23,1160.0,50.0,44.4,12.9,14,72.0,4,9,16.0,1,1.52,13.0,11.0,2.0,0.16,-0.4,21.2,14.5,6.7,0.52,0.26,Matches
Banzouzi Locko,fr FRA,DF,20-335,15,1059.0,71.0,40.6,11.8,13,81.0,10,2,6.0,1,1.0,15.0,18.0,-3.0,-0.25,-1.07,18.1,16.5,1.7,0.14,-0.4,Matches
Andrew Gravillon,gp GLP,DF,25-057,13,1038.0,80.0,39.8,11.5,12,86.0,9,1,6.0,4,0.85,11.0,18.0,-7.0,-0.61,-1.64,15.3,16.0,-0.7,-0.06,-0.72,Matches
Kamory Doumbia,ml MLI,MF,20-047,21,935.0,45.0,35.8,10.4,11,64.0,0,10,23.0,8,1.52,16.0,11.0,5.0,0.48,0.16,20.4,13.2,7.1,0.69,0.48,Matches
Arber Zeneli,xk KVX,"FW,MF",28-040,20,928.0,46.0,35.6,10.3,11,66.0,0,9,23.0,9,1.65,11.0,5.0,6.0,0.58,0.31,15.8,12.9,2.9,0.28,-0.15,Matches
Jens Cajuste,se SWE,MF,23-239,23,1067.0,46.0,40.9,11.9,9,75.0,2,14,28.0,0,1.74,13.0,9.0,4.0,0.34,-0.07,16.4,15.8,0.6,0.05,-0.55,Matches
Maxime Busi,be BEL,DF,23-174,13,647.0,50.0,24.8,7.2,7,78.0,3,6,16.0,8,1.15,9.0,8.0,1.0,0.14,-0.32,11.6,10.3,1.3,0.19,-0.25,Matches
Patrick Pentz,at AUT,GK,26-094,7,630.0,90.0,24.1,7.0,7,90.0,7,0,,12,0.86,10.0,14.0,-4.0,-0.57,-1.25,11.4,11.2,0.2,0.03,-0.46,Matches
Check Keita,fr FRA,DF,20-004,7,530.0,76.0,20.3,5.9,6,83.0,2,1,31.0,8,2.0,7.0,3.0,4.0,0.68,0.38,10.1,5.5,4.7,0.79,0.52,Matches
Mitchell van Bergen,nl NED,"FW,DF",23-222,24,774.0,32.0,29.7,8.6,5,78.0,2,19,20.0,2,1.58,12.0,12.0,0.0,0.0,-0.54,16.1,11.1,5.0,0.58,0.28,Matches
Wout Faes,be BEL,DF,25-003,3,270.0,90.0,10.3,3.0,3,90.0,3,0,,0,0.67,3.0,6.0,-3.0,-1.0,-1.54,3.4,4.4,-1.1,-0.35,-0.81,Matches
Noah Holm,no NOR,"FW,MF",21-318,8,194.0,24.0,7.4,2.2,2,74.0,1,6,8.0,3,1.63,1.0,4.0,-3.0,-1.39,-1.91,1.6,4.8,-3.2,-1.48,-2.0,Matches
Myziane Maolida,fr FRA,"FW,MF",24-051,7,173.0,25.0,6.6,1.9,2,66.0,0,5,8.0,0,2.0,4.0,0.0,4.0,2.08,1.82,4.0,2.5,1.6,0.81,0.46,Matches
Ibrahim Diakité,gn GUI,DF,19-157,3,131.0,44.0,5.0,1.5,1,77.0,0,2,27.0,10,0.67,0.0,2.0,-2.0,-1.37,-1.85,1.9,3.1,-1.2,-0.84,-1.28,Matches
El Bilal Touré,ml MLI,FW,21-185,3,91.0,30.0,3.5,1.0,1,63.0,0,2,14.0,2,0.33,0.0,4.0,-4.0,-3.96,-4.49,0.8,0.8,0.1,0.06,-0.33,Matches
Martin Adeline,fr FRA,"MF,FW",19-125,5,107.0,21.0,4.1,1.2,0,,0,5,21.0,10,1.4,3.0,5.0,-2.0,-1.68,-2.15,2.1,2.7,-0.7,-0.57,-0.98,Matches
Nathanael Mbuku,fr FRA,"FW,MF",21-021,6,66.0,11.0,2.5,0.7,0,,0,6,11.0,7,1.0,1.0,2.0,-1.0,-1.36,-1.79,1.7,1.6,0.2,0.22,-0.16,Matches
Kaj Sierhuis,nl NED,"FW,MF",24-344,7,50.0,7.0,1.9,0.6,0,,0,7,7.0,5,2.71,1.0,0.0,1.0,1.8,1.45,0.6,0.3,0.3,0.59,0.22,Matches
Valentin Atangana Edoa,fr FRA,MF,17-224,1,3.0,3.0,0.1,0.0,0,,0,1,3.0,3,3.0,0.0,0.0,0.0,0.0,-0.38,0.1,0.0,0.1,2.48,2.1,Matches
Rafik Guitane,fr FRA,FW,23-315,1,3.0,3.0,0.1,0.0,0,,0,1,3.0,7,3.0,0.0,0.0,0.0,0.0,-0.38,0.0,0.0,0.0,0.27,-0.11,Matches
Samuel Koeberlé,fr FRA,MF,18-131,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
Therence Koudou,fr FRA,MF,18-114,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Moustapha Mbow,sn SEN,DF,23-029,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Alexandre Olliero,fr FRA,GK,27-050,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
Nicolas Penneteau,fr FRA,GK,42-037,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Squad Total,,,25.6,29,2610.0,90.0,100.0,29.0,319,82.0,192,120,19.0,141,1.59,39.0,28.0,11.0,0.38,,47.8,36.9,10.9,0.38,,
Opponent Total,,,27.1,29,2610.0,90.0,100.0,29.0,319,82.0,192,120,19.0,128,0.97,28.0,39.0,-11.0,-0.38,,36.9,47.8,-10.9,-0.38,,
