Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Yunis Abdelhamid,ma MAR,DF,35-172,27.0,1717,171,802,862,70,25,1717,20,9,45.0,10,50.0,1191,7279,3944,18,11,2,19,17,1027,5,Matches
Folarin Balogun,eng ENG,FW,21-259,22.5,649,12,52,253,352,136,644,64,22,34.4,35,54.7,495,3049,1126,39,16,28,68,54,494,193,Matches
Junya Ito,jp JPN,FW,30-010,21.7,979,5,102,367,531,73,979,94,42,44.7,40,42.6,750,5636,2715,88,55,29,67,30,708,200,Matches
Yehvann Diouf,fr FRA,GK,23-123,20.0,719,603,717,2,0,0,719,2,2,100.0,0,0.0,515,2676,1493,0,0,0,2,0,321,0,Matches
Marshall Munetsi,zw ZIM,MF,26-270,19.5,838,40,164,448,241,59,838,32,15,46.9,13,40.6,561,2889,1271,24,13,5,36,11,498,46,Matches
Azor Matusiwa,nl NED,MF,24-325,19.2,1282,67,382,758,157,1,1282,16,9,56.3,5,31.3,925,4562,2022,7,14,0,17,9,790,10,Matches
Emmanuel Agbadou,ci CIV,DF,25-275,18.8,1170,155,607,523,51,15,1170,8,5,62.5,3,37.5,823,4931,2482,11,13,2,17,9,695,5,Matches
Alexis Flips,fr FRA,"DF,FW",23-060,14.7,878,27,174,383,334,34,878,27,7,25.9,16,59.3,573,2772,1148,15,29,2,37,14,493,101,Matches
Thibault De Smet,be BEL,DF,24-287,12.8,858,44,246,451,169,1,858,11,3,27.3,7,63.6,521,2822,1249,24,20,0,14,4,466,51,Matches
Dion Lopy,sn SEN,MF,21-045,11.9,720,36,168,417,151,8,720,27,10,37.0,13,48.1,535,3339,1411,16,18,1,24,14,466,27,Matches
Banzouzi Locko,fr FRA,DF,20-317,11.8,630,44,217,290,138,8,630,36,15,41.7,18,50.0,374,2771,1537,31,15,3,27,15,304,39,Matches
Thomas Foket,be BEL,DF,28-175,11.9,765,27,181,357,233,16,765,12,7,58.3,3,25.0,526,2901,1237,29,19,1,13,9,461,92,Matches
Andrew Gravillon,gp GLP,DF,25-039,11.5,566,58,236,260,80,6,566,12,7,58.3,3,25.0,370,2213,1183,18,12,1,11,4,307,14,Matches
Kamory Doumbia,ml MLI,MF,20-029,10.1,523,7,65,277,186,31,522,26,13,50.0,12,46.2,390,2236,966,24,14,3,28,12,357,64,Matches
Arber Zeneli,xk KVX,"FW,MF",28-022,10.0,539,5,47,199,305,51,539,52,15,28.8,33,63.5,395,2956,1264,41,28,26,45,19,365,110,Matches
Jens Cajuste,se SWE,MF,23-221,11.0,634,31,164,335,145,28,634,39,14,35.9,16,41.0,450,2545,1443,27,23,6,23,12,397,17,Matches
Maxime Busi,be BEL,DF,23-156,7.1,408,27,114,196,103,8,408,19,4,21.1,11,57.9,249,1635,834,15,15,3,12,4,216,25,Matches
Patrick Pentz,at AUT,GK,26-076,7.0,221,191,221,0,0,0,221,0,0,,0,,144,845,503,0,1,1,0,0,91,0,Matches
Mitchell van Bergen,nl NED,"FW,DF",23-204,8.3,332,7,50,118,177,30,332,29,9,31.0,19,65.5,239,2266,1138,38,34,13,16,7,208,60,Matches
Check Keita,fr FRA,DF,19-351,5.1,267,22,118,143,8,0,267,2,1,50.0,0,0.0,197,1437,731,6,5,0,3,0,176,0,Matches
Wout Faes,be BEL,DF,24-350,3.0,150,38,85,64,2,1,150,2,1,50.0,1,50.0,91,402,210,1,0,0,1,1,76,1,Matches
Noah Holm,no NOR,"FW,MF",21-300,2.2,86,6,17,49,21,5,86,9,3,33.3,6,66.7,60,325,109,1,2,0,5,6,58,8,Matches
Myziane Maolida,fr FRA,"FW,MF",24-033,1.7,93,0,12,35,47,4,93,7,4,57.1,2,28.6,73,481,215,8,2,2,6,4,62,19,Matches
Ibrahim Diakité,gn GUI,DF,19-139,1.5,83,4,30,32,23,1,83,3,1,33.3,1,33.3,46,264,96,0,1,0,1,1,37,6,Matches
El Bilal Touré,ml MLI,FW,21-167,1.0,29,1,3,13,13,3,29,2,1,50.0,1,50.0,13,61,15,0,0,0,1,2,17,1,Matches
Martin Adeline,fr FRA,"MF,FW",19-107,1.2,59,4,22,22,16,1,59,3,1,33.3,2,66.7,31,173,83,1,0,0,4,2,27,1,Matches
Nathanael Mbuku,fr FRA,"FW,MF",21-003,0.7,37,2,7,17,14,2,37,2,1,50.0,1,50.0,30,206,123,4,2,2,2,1,26,6,Matches
Kaj Sierhuis,nl NED,"FW,MF",24-326,0.6,18,1,3,8,7,1,18,1,1,100.0,0,0.0,16,84,38,1,1,0,3,2,14,5,Matches
Valentin Atangana Edoa,fr FRA,MF,17-206,0.0,4,0,0,0,4,0,4,1,0,0.0,0,0.0,2,5,2,0,0,0,1,0,2,0,Matches
Rafik Guitane,fr FRA,FW,23-297,0.0,3,1,2,1,0,0,3,0,0,,0,,1,7,0,0,0,0,0,1,0,0,Matches
Squad Total,,,25.5,27.0,15257,1636,5008,6880,3578,548,15251,558,222,39.8,271,48.6,10586,63768,30588,487,363,130,503,264,9159,1106,
Opponent Total,,,26.9,27.0,17214,1778,5253,7991,4158,600,17212,600,270,45.0,264,44.0,12384,70233,31874,481,436,123,442,261,11125,1226,
