Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Arthur Theate,be BEL,DF,22-313,27.9,2,17,6,35.3,0.61,0.21,0.12,0.33,8.4,0,0,0,3.1,3.1,0.18,-1.1,-1.1,Matches
Benjamin Bourigeaud,fr FRA,"MF,FW",29-079,25.4,3,44,10,22.7,1.73,0.39,0.05,0.2,20.3,6,1,1,4.5,3.7,0.08,-1.5,-1.7,Matches
Steve Mandanda,fr FRA,GK,38-006,26.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Adrien Truffert,fr FRA,DF,21-134,21.7,0,10,3,30.0,0.46,0.14,0.0,0.0,21.3,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
Amine Gouiri,fr FRA,FW,23-046,19.2,9,50,22,44.0,2.6,1.14,0.18,0.41,13.7,0,0,0,8.4,8.4,0.17,0.6,0.6,Matches
Hamari Traoré,ml MLI,DF,31-066,19.4,1,19,6,31.6,0.98,0.31,0.05,0.17,17.6,0,0,0,1.0,1.0,0.05,0.0,0.0,Matches
Arnaud Kalimuendo,fr FRA,FW,21-073,16.2,7,33,17,51.5,2.04,1.05,0.21,0.41,14.2,0,0,0,5.8,5.8,0.18,1.2,1.2,Matches
Flavien Tait,fr FRA,MF,30-060,15.8,2,20,6,30.0,1.26,0.38,0.1,0.33,19.0,0,0,0,1.9,1.9,0.09,0.1,0.1,Matches
Martin Terrier,fr FRA,"FW,MF",26-030,14.7,9,47,27,57.4,3.21,1.84,0.19,0.33,15.2,0,0,0,5.6,5.6,0.12,3.4,3.4,Matches
Baptiste Santamaria,fr FRA,MF,28-025,14.1,1,13,6,46.2,0.92,0.43,0.08,0.17,24.1,0,0,0,0.6,0.6,0.05,0.4,0.4,Matches
Joe Rodon,wls WAL,DF,25-163,13.7,1,7,2,28.6,0.51,0.15,0.14,0.5,6.9,0,0,0,0.9,0.9,0.13,0.1,0.1,Matches
Lovro Majer,hr CRO,"MF,FW",25-076,12.2,1,22,5,22.7,1.8,0.41,0.0,0.0,22.0,4,1,1,2.3,1.5,0.07,-1.3,-1.5,Matches
Désiré Doué,fr FRA,"MF,FW",17-304,11.8,3,21,6,28.6,1.79,0.51,0.14,0.5,21.0,0,0,0,1.6,1.6,0.07,1.4,1.4,Matches
Christopher Wooh,cm CMR,DF,21-197,10.2,0,5,0,0.0,0.49,0.0,0.0,,8.9,0,0,0,0.7,0.7,0.13,-0.7,-0.7,Matches
Chimuanya Ugochukwu,fr FRA,MF,19-008,11.4,0,3,1,33.3,0.26,0.09,0.0,0.0,21.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Warmed Omari,fr FRA,DF,22-345,7.1,0,1,1,100.0,0.14,0.14,0.0,0.0,6.7,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
Karl Toko Ekambi,cm CMR,"MF,FW",30-201,6.4,1,14,3,21.4,2.17,0.47,0.07,0.33,13.7,0,0,0,2.1,2.1,0.15,-1.1,-1.1,Matches
Djed Spence,eng ENG,DF,22-237,6.4,0,3,1,33.3,0.47,0.16,0.0,0.0,14.0,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches
Birger Meling,no NOR,DF,28-107,9.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Xeka,pt POR,MF,28-144,6.1,0,5,0,0.0,0.82,0.0,0.0,,22.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Jeremy Doku,be BEL,"MF,FW",20-311,6.9,1,13,6,46.2,1.89,0.87,0.08,0.17,16.0,0,0,0,1.3,1.3,0.1,-0.3,-0.3,Matches
Gaëtan Laborde,fr FRA,FW,28-335,2.8,2,11,6,54.5,3.98,2.17,0.18,0.33,13.2,0,0,0,1.7,1.7,0.16,0.3,0.3,Matches
Kamaldeen Sulemana,gh GHA,"FW,MF",21-047,3.6,1,13,3,23.1,3.59,0.83,0.08,0.33,17.6,0,0,0,1.4,1.4,0.11,-0.4,-0.4,Matches
Doğan Alemdar,tr TUR,GK,20-156,2.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lorenz Assignon,tg TOG,DF,22-285,2.2,0,3,1,33.3,1.39,0.46,0.0,0.0,14.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
Ibrahim Salah,ma MAR,"FW,MF",21-216,1.5,0,3,1,33.3,2.03,0.68,0.0,0.0,18.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Jeanöel Belocian,fr FRA,DF,18-045,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Loïc Bade,fr FRA,DF,22-357,1.0,0,2,0,0.0,2.0,0.0,0.0,,8.7,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
Matthis Abline,fr FRA,"FW,MF",20-006,1.2,1,6,2,33.3,5.05,1.68,0.17,0.5,12.2,0,0,0,0.8,0.8,0.13,0.2,0.2,Matches
Sehrou Guirassy,gn GUI,MF,27-022,0.3,0,2,1,50.0,7.83,3.91,0.0,0.0,10.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Alan Do Marcolino,ga GAB,FW,21-015,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Guela Doué,fr FRA,FW,20-168,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,25.9,29.0,45,387,142,36.7,13.34,4.9,0.11,0.3,16.5,10,2,2,44.6,43.0,0.11,0.4,0.0,
Opponent Total,,,27.0,29.0,29,299,103,34.4,10.31,3.55,0.09,0.27,16.8,7,1,3,36.6,34.3,0.12,-7.6,-6.3,
